UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ANCIENT_CLAW,230.2,677.0,205247,3273498,842590,3778841,6.06,446.8,194.1,15.95
1638903006,ANCIENT_CLAW,230.3,677.0,205247,3274522,842590,3778841,6.07,446.7,194.0,15.95
1638903006,ANCIENT_CLAW,230.3,677.0,205247,3274522,842590,3778841,6.07,446.7,194.0,15.95
1638903057,ANCIENT_CLAW,230.4,676.9,205247,3274658,842590,3778865,6.07,446.5,193.8,15.95
1638903086,ANCIENT_CLAW,230.5,676.9,205279,3275158,842590,3778865,6.07,446.4,193.7,15.95
1638903086,ANCIENT_CLAW,230.5,676.9,205279,3275158,842590,3778865,6.07,446.4,193.7,15.95
1638903086,ANCIENT_CLAW,230.5,676.9,205279,3275158,842590,3778865,6.07,446.4,193.7,15.95
1638903086,ANCIENT_CLAW,230.5,676.9,205279,3275158,842590,3778865,6.07,446.4,193.7,15.95
1638903226,ANCIENT_CLAW,230.6,676.8,205482,3282996,842590,3779027,6.08,446.2,193.5,15.98
1638903233,ANCIENT_CLAW,230.6,676.8,205482,3282996,842590,3779027,6.08,446.2,193.5,15.98
1638903240,ANCIENT_CLAW,230.6,676.8,205482,3282996,842590,3779027,6.08,446.2,193.5,15.98
1638903248,ANCIENT_CLAW,230.6,676.8,205482,3282996,842590,3779027,6.08,446.2,193.5,15.98
1638903855,ANCIENT_CLAW,230.6,631.5,207477,3283710,843054,3779839,6.08,400.9,173.9,15.83
1638904100,ANCIENT_CLAW,230.8,631.4,207370,3285438,843094,3779860,6.08,400.6,173.6,15.84
1638904100,ANCIENT_CLAW,230.8,631.4,207370,3285438,843094,3779860,6.08,400.6,173.6,15.84
1638904100,ANCIENT_CLAW,230.8,631.4,207370,3285438,843094,3779860,6.08,400.6,173.6,15.84
1638904189,ANCIENT_CLAW,230.8,631.1,208118,3285438,843094,3779860,6.08,400.3,173.4,15.79
1638904196,ANCIENT_CLAW,230.8,631.1,208118,3285438,843094,3779860,6.08,400.3,173.4,15.79
1638905497,ANCIENT_CLAW,270.8,629.9,210108,3312434,843470,3780688,6.13,359.1,132.6,15.77
1638905504,ANCIENT_CLAW,270.8,629.9,210108,3312434,843470,3780688,6.13,359.1,132.6,15.77
1638906506,ANCIENT_CLAW,271.3,628.6,217390,3386053,844086,3781472,6.27,357.3,131.7,15.58
1638906538,ANCIENT_CLAW,271.3,628.4,218662,3386053,844086,3781472,6.27,357.1,131.6,15.49
1638906598,ANCIENT_CLAW,271.3,628.2,219015,3386049,844086,3781476,6.27,356.9,131.6,15.46
1638906612,ANCIENT_CLAW,271.3,628.2,219015,3386049,844086,3781476,6.27,356.9,131.6,15.46
1638906620,ANCIENT_CLAW,271.3,628.2,219015,3386049,844086,3781476,6.27,356.9,131.6,15.46
1638906646,ANCIENT_CLAW,271.4,628.1,219130,3386040,844086,3781485,6.27,356.7,131.4,15.45
1638906653,ANCIENT_CLAW,271.4,628.1,219130,3386198,844086,3781485,6.27,356.7,131.4,15.45
1638906660,ANCIENT_CLAW,271.4,628.1,219130,3386198,844086,3781485,6.27,356.7,131.4,15.45
1638906889,ANCIENT_CLAW,271.5,627.9,219533,3386739,844126,3781509,6.27,356.4,131.29999999999998,15.43
1638906898,ANCIENT_CLAW,271.3,627.9,219557,3386219,844126,3781509,6.27,356.6,131.4,15.42
1638906939,ANCIENT_CLAW,271.3,627.9,219517,3386040,844166,3781509,6.27,356.6,131.4,15.42
1638906980,ANCIENT_CLAW,271.3,627.9,219453,3386038,844230,3781511,6.27,356.6,131.4,15.43
1638907080,ANCIENT_CLAW,271.4,627.9,219333,3386230,844350,3781519,6.27,356.5,131.4,15.44
1638907129,ANCIENT_CLAW,271.4,627.9,219333,3386230,844350,3781519,6.27,356.5,131.4,15.44
1638907209,ANCIENT_CLAW,271.4,627.9,219333,3386229,844350,3781520,6.27,356.5,131.4,15.44
1638907229,ANCIENT_CLAW,271.4,627.9,219333,3386229,844350,3781520,6.27,356.5,131.4,15.44
1638907265,ANCIENT_CLAW,271.4,628.0,219333,3386229,844350,3781520,6.27,356.6,131.4,15.44
1638907280,ANCIENT_CLAW,271.5,628.0,219329,3386229,844350,3781520,6.27,356.5,131.29999999999998,15.44
1638907311,ANCIENT_CLAW,271.5,628.0,219249,3386674,844430,3781575,6.27,356.5,131.29999999999998,15.45
1638907322,ANCIENT_CLAW,271.6,628.0,219249,3386674,844430,3781575,6.27,356.4,131.20000000000002,15.45
1638907346,ANCIENT_CLAW,271.6,628.0,219249,3386865,844430,3781575,6.27,356.4,131.20000000000002,15.45
1638907359,ANCIENT_CLAW,271.6,628.0,219249,3386865,844430,3781575,6.27,356.4,131.20000000000002,15.45
1638907396,ANCIENT_CLAW,271.6,628.0,219185,3386865,844494,3781575,6.27,356.4,131.20000000000002,15.45
1638907404,ANCIENT_CLAW,271.6,628.0,219185,3386865,844494,3781575,6.27,356.4,131.20000000000002,15.45
1638907415,ANCIENT_CLAW,271.6,628.0,219121,3386865,844558,3781575,6.27,356.4,131.20000000000002,15.46
1638907521,ANCIENT_CLAW,271.5,592.3,219090,3386673,844598,3781576,6.27,320.8,118.2,15.46
1638907532,ANCIENT_CLAW,271.5,592.3,219090,3386673,844598,3781576,6.27,320.8,118.2,15.46
1638907545,ANCIENT_CLAW,271.5,592.0,221074,3315100,844598,3781576,6.14,320.5,118.0,15.0
1638907557,ANCIENT_CLAW,271.5,591.8,225111,3315100,844598,3781576,6.14,320.3,118.0,14.73
1638907570,ANCIENT_CLAW,271.5,591.6,228951,3315100,844598,3781576,6.14,320.1,117.9,14.48
1638907607,ANCIENT_CLAW,271.5,591.3,234514,3315095,844598,3781581,6.14,319.8,117.8,14.14
1638907625,ANCIENT_CLAW,271.5,591.2,234587,3315095,844662,3781581,6.14,319.7,117.8,14.13
1638907672,ANCIENT_CLAW,271.5,591.1,234596,3315031,844662,3781645,6.14,319.6,117.7,14.13
