UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.2,4112,21681,22878,29272,5.18,1716.7,17.9,5.27
1638903006,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.2,4112,21681,22878,29272,5.18,1716.7,17.9,5.27
1638903006,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.2,4112,21681,22878,29272,5.18,1716.7,17.9,5.27
1638903057,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.2,4112,21681,22878,29272,5.18,1716.7,17.9,5.27
1638903086,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.2,4112,21681,22878,29272,5.18,1716.7,17.9,5.27
1638903086,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.2,4112,21681,22878,29272,5.18,1716.7,17.9,5.27
1638903086,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.2,4112,21681,22878,29272,5.18,1716.7,17.9,5.27
1638903086,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.2,4112,21681,22878,29272,5.18,1716.7,17.9,5.27
1638903226,ARACHNE_KEEPER_FRAGMENT,9665.3,11296.3,4108,21683,22882,29274,5.18,1631.0,16.900000000000002,5.28
1638903233,ARACHNE_KEEPER_FRAGMENT,9665.3,11296.3,4108,21683,22882,29274,5.18,1631.0,16.900000000000002,5.28
1638903240,ARACHNE_KEEPER_FRAGMENT,9665.3,11296.3,4108,21683,22882,29274,5.18,1631.0,16.900000000000002,5.28
1638903248,ARACHNE_KEEPER_FRAGMENT,9665.3,11296.3,4108,21683,22882,29274,5.18,1631.0,16.900000000000002,5.28
1638903855,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.3,2021,21671,22916,29286,5.18,1716.8,17.9,10.72
1638904100,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.3,2013,21668,22924,29289,5.18,1716.8,17.9,10.76
1638904100,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.3,2013,21668,22924,29289,5.18,1716.8,17.9,10.76
1638904100,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.3,2013,21668,22924,29289,5.18,1716.8,17.9,10.76
1638904189,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.3,2013,21668,22924,29289,5.18,1716.8,17.9,10.76
1638904196,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.3,2013,21668,22924,29289,5.18,1716.8,17.9,10.76
1638905497,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.1,2045,21631,22945,29322,5.16,1716.6,17.9,10.58
1638905504,ARACHNE_KEEPER_FRAGMENT,9579.5,11296.1,2045,21631,22945,29322,5.16,1716.6,17.9,10.58
