UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,BLAZE_ROD,33.2,38.0,830848,852133,14195043,22624476,0.26,4.8,14.499999999999998,1.03
1638903006,BLAZE_ROD,33.3,38.0,819904,851536,14205987,22625055,0.26,4.7,14.099999999999998,1.04
1638903006,BLAZE_ROD,33.3,38.0,819904,851536,14205987,22625055,0.26,4.7,14.099999999999998,1.04
1638903057,BLAZE_ROD,33.5,38.0,816640,865598,14209251,22625286,0.27,4.5,13.4,1.06
1638903086,BLAZE_ROD,33.6,39.0,813396,866547,14212495,22625361,0.27,5.4,16.1,1.07
1638903086,BLAZE_ROD,33.6,39.0,813396,866547,14212495,22625361,0.27,5.4,16.1,1.07
1638903086,BLAZE_ROD,33.6,39.0,813396,866547,14212495,22625361,0.27,5.4,16.1,1.07
1638903086,BLAZE_ROD,33.6,39.0,813396,866547,14212495,22625361,0.27,5.4,16.1,1.07
1638903226,BLAZE_ROD,33.6,39.6,801362,866458,14224529,22630370,0.27,6.0,17.9,1.08
1638903233,BLAZE_ROD,33.6,39.6,801362,866458,14224529,22630370,0.27,6.0,17.9,1.08
1638903240,BLAZE_ROD,33.6,39.6,801362,866420,14224529,22630408,0.27,6.0,17.9,1.08
1638903248,BLAZE_ROD,33.6,39.6,801362,866420,14224529,22630408,0.27,6.0,17.9,1.08
1638903855,BLAZE_ROD,33.6,39.0,788250,859610,14241405,22644068,0.27,5.4,16.1,1.09
1638904100,BLAZE_ROD,33.4,38.7,793502,861532,14103356,22346819,0.27,5.3,15.9,1.09
1638904100,BLAZE_ROD,33.4,38.7,793502,861532,14103356,22346819,0.27,5.3,15.9,1.09
1638904100,BLAZE_ROD,33.4,38.7,793502,861532,14103356,22346819,0.27,5.3,15.9,1.09
1638904189,BLAZE_ROD,33.4,38.7,792960,861460,14103898,22346891,0.27,5.3,15.9,1.09
1638904196,BLAZE_ROD,33.4,38.7,792960,861460,14103898,22346891,0.27,5.3,15.9,1.09
1638905497,BLAZE_ROD,33.9,37.6,798892,917610,14129727,22392203,0.29,3.7,10.9,1.15
1638905504,BLAZE_ROD,33.9,37.6,798892,917610,14129727,22392203,0.29,3.7,10.9,1.15
1638906506,BLAZE_ROD,36.3,38.6,794816,966725,14143493,22421837,0.3,2.3,6.3,1.22
1638906538,BLAZE_ROD,36.3,38.6,794496,967933,14143813,22421909,0.3,2.3,6.3,1.22
1638906598,BLAZE_ROD,35.6,38.6,793406,959300,14144903,22430548,0.3,3.0,8.4,1.21
1638906612,BLAZE_ROD,35.6,38.6,793406,958919,14144903,22430929,0.3,3.0,8.4,1.21
1638906620,BLAZE_ROD,35.6,38.6,793406,958919,14144903,22430929,0.3,3.0,8.4,1.21
1638906646,BLAZE_ROD,35.6,38.6,793342,958917,14144967,22430931,0.3,3.0,8.4,1.21
1638906653,BLAZE_ROD,35.6,38.6,793341,956617,14144968,22433231,0.3,3.0,8.4,1.21
1638906660,BLAZE_ROD,35.6,38.6,793341,954446,14144968,22435402,0.3,3.0,8.4,1.2
1638906889,BLAZE_ROD,35.1,38.6,788392,949111,14149917,22438105,0.3,3.5,10.0,1.2
1638906898,BLAZE_ROD,35.2,39.1,788072,948952,14150237,22438264,0.3,3.9,11.1,1.2
1638906939,BLAZE_ROD,35.5,39.1,786123,950817,14152186,22438319,0.3,3.6,10.1,1.21
1638906980,BLAZE_ROD,35.6,39.1,786057,952025,14153530,22440023,0.3,3.5,9.8,1.21
1638907080,BLAZE_ROD,35.6,39.1,785929,951387,14153978,22440661,0.3,3.5,9.8,1.21
1638907129,BLAZE_ROD,36.0,39.1,785225,952712,14154682,22441023,0.3,3.1,8.6,1.21
1638907209,BLAZE_ROD,36.0,39.7,784649,953602,14155258,22441390,0.3,3.7,10.3,1.22
1638907229,BLAZE_ROD,36.0,39.7,784649,953303,14155258,22441689,0.3,3.7,10.3,1.21
1638907265,BLAZE_ROD,35.7,39.7,784521,950979,14155386,22444013,0.3,4.0,11.2,1.21
