UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,BLESSED_BAIT,261.8,412.3,336110,1322022,340854,989420,9.35,150.5,57.49999999999999,3.93
1638903006,BLESSED_BAIT,261.8,412.3,336110,1321990,340854,989452,9.35,150.5,57.49999999999999,3.93
1638903006,BLESSED_BAIT,261.8,412.3,336110,1321990,340854,989452,9.35,150.5,57.49999999999999,3.93
1638903057,BLESSED_BAIT,261.8,412.3,336110,1321990,340854,989452,9.35,150.5,57.49999999999999,3.93
1638903086,BLESSED_BAIT,261.8,412.3,336110,1321990,340854,989452,9.35,150.5,57.49999999999999,3.93
1638903086,BLESSED_BAIT,261.8,412.3,336110,1321990,340854,989452,9.35,150.5,57.49999999999999,3.93
1638903086,BLESSED_BAIT,261.8,412.3,336110,1321990,340854,989452,9.35,150.5,57.49999999999999,3.93
1638903086,BLESSED_BAIT,261.8,412.3,336110,1321990,340854,989452,9.35,150.5,57.49999999999999,3.93
1638903226,BLESSED_BAIT,261.8,383.6,338655,1321974,340854,989532,9.35,121.8,46.5,3.9
1638903233,BLESSED_BAIT,261.8,383.6,338655,1321974,340854,989532,9.35,121.8,46.5,3.9
1638903240,BLESSED_BAIT,261.8,383.6,338655,1321958,340854,989548,9.35,121.8,46.5,3.9
1638903248,BLESSED_BAIT,261.8,383.6,338655,1321958,340854,989548,9.35,121.8,46.5,3.9
1638903855,BLESSED_BAIT,261.8,383.0,342391,1321690,341046,989816,9.35,121.2,46.3,3.86
1638904100,BLESSED_BAIT,261.7,382.8,344702,1320643,341046,990863,9.33,121.1,46.3,3.83
1638904100,BLESSED_BAIT,261.7,382.8,344702,1320643,341046,990863,9.33,121.1,46.3,3.83
1638904100,BLESSED_BAIT,261.7,382.8,344702,1320643,341046,990863,9.33,121.1,46.3,3.83
1638904189,BLESSED_BAIT,261.7,382.8,344702,1320611,341046,990895,9.33,121.1,46.3,3.83
1638904196,BLESSED_BAIT,261.7,382.8,344702,1320611,341046,990895,9.33,121.1,46.3,3.83
1638905497,BLESSED_BAIT,253.7,338.1,350416,1312142,341046,999364,9.19,84.4,33.300000000000004,3.74
1638905504,BLESSED_BAIT,253.7,338.1,350416,1312142,341046,999364,9.19,84.4,33.300000000000004,3.74
