UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,BONE,1.6,3.1,1254760,1567363,7385336,25002763,0.44,1.5,93.8,1.25
1638903006,BONE,1.6,3.1,1252712,1564292,7387384,25005834,0.44,1.5,93.8,1.25
1638903006,BONE,1.6,3.1,1252712,1564292,7387384,25005834,0.44,1.5,93.8,1.25
1638903057,BONE,1.6,3.1,1250548,1562969,7389560,25007157,0.44,1.5,93.8,1.25
1638903086,BONE,1.6,3.1,1250548,1561917,7389560,25008209,0.44,1.5,93.8,1.25
1638903086,BONE,1.6,3.1,1250548,1561917,7389560,25008209,0.44,1.5,93.8,1.25
1638903086,BONE,1.6,3.1,1250548,1561917,7389560,25008209,0.44,1.5,93.8,1.25
1638903086,BONE,1.6,3.1,1250548,1561917,7389560,25008209,0.44,1.5,93.8,1.25
1638903226,BONE,1.6,3.0,1248764,1555841,7391736,25014285,0.44,1.4,87.5,1.25
1638903233,BONE,1.6,3.0,1248764,1555841,7391736,25014285,0.44,1.4,87.5,1.25
1638903240,BONE,1.6,3.0,1248572,1554941,7391928,25015185,0.44,1.4,87.5,1.25
1638903248,BONE,1.6,3.0,1248572,1554941,7391928,25015185,0.44,1.4,87.5,1.25
1638903855,BONE,1.6,2.9,1198229,1552024,7445115,25035576,0.43,1.3,81.2,1.3
1638904100,BONE,1.7,3.0,1197698,1592675,7446715,25064925,0.44,1.3,76.5,1.33
1638904100,BONE,1.7,3.0,1197698,1592675,7446715,25064925,0.44,1.3,76.5,1.33
1638904100,BONE,1.7,3.0,1197698,1592675,7446715,25064925,0.44,1.3,76.5,1.33
1638904189,BONE,1.8,3.0,1190567,1587019,7454396,25072581,0.44,1.2,66.7,1.33
1638904196,BONE,1.8,3.0,1190567,1587019,7454396,25072581,0.44,1.2,66.7,1.33
1638905497,BONE,2.1,4.2,1111996,1605913,7504745,25144713,0.45,2.1,100.0,1.44
1638905504,BONE,2.1,4.2,1111996,1605913,7504745,25144713,0.45,2.1,100.0,1.44
1638906506,BONE,2.2,3.1,1116417,1626101,7520403,25196655,0.45,0.9,40.9,1.46
1638906538,BONE,2.2,3.3,1114305,1625396,7522515,25197360,0.45,1.1,50.0,1.46
1638906598,BONE,2.2,3.5,1112257,1620775,7524563,25201981,0.45,1.3,59.1,1.46
1638906612,BONE,2.2,3.5,1112257,1620254,7524563,25202502,0.45,1.3,59.1,1.46
1638906620,BONE,2.2,3.5,1112257,1620254,7524563,25202502,0.45,1.3,59.1,1.46
1638906646,BONE,2.2,3.5,1112257,1619889,7524563,25202867,0.45,1.3,59.1,1.46
1638906653,BONE,2.2,3.5,1112257,1619852,7524563,25202904,0.45,1.3,59.1,1.46
1638906660,BONE,2.2,3.5,1112257,1619372,7524563,25203384,0.45,1.3,59.1,1.46
1638906889,BONE,2.4,3.4,1128988,1821100,7524691,25214656,0.51,1.0,41.7,1.61
1638906898,BONE,2.4,3.4,1129247,1963080,7524691,25214676,0.54,1.0,41.7,1.74
1638906939,BONE,2.4,3.4,1129247,2243063,7524691,25218693,0.62,1.0,41.7,1.99
1638906980,BONE,2.4,3.3,1129255,2240684,7524691,25221072,0.62,0.9,37.5,1.98
1638907080,BONE,2.4,3.3,1129255,2237845,7524691,25223911,0.62,0.9,37.5,1.98
1638907129,BONE,2.4,3.3,1129255,2235991,7524691,25225765,0.62,0.9,37.5,1.98
1638907209,BONE,2.4,3.3,1130324,2234165,7524823,25227591,0.62,0.9,37.5,1.98
1638907229,BONE,2.4,3.5,1130324,2232653,7524823,25229103,0.62,1.1,45.8,1.98
1638907265,BONE,2.4,3.5,1128916,2231423,7526231,25230333,0.62,1.1,45.8,1.98
1638907280,BONE,2.4,3.5,1128836,2230199,7526311,25231557,0.62,1.1,45.8,1.98
1638907311,BONE,2.4,3.4,1128970,2227471,7526311,25234285,0.62,1.0,41.7,1.97
1638907322,BONE,2.4,3.3,1128970,2227382,7526311,25234374,0.62,0.9,37.5,1.97
1638907346,BONE,2.4,3.3,1129129,2226099,7526311,25235657,0.62,0.9,37.5,1.97
1638907359,BONE,2.4,3.3,1129129,2226099,7526311,25235657,0.62,0.9,37.5,1.97
1638907396,BONE,2.4,3.3,1129129,2225414,7526311,25236342,0.62,0.9,37.5,1.97
1638907404,BONE,2.4,3.3,1129129,2225414,7526311,25236342,0.62,0.9,37.5,1.97
1638907415,BONE,2.4,3.3,1129129,2224822,7526311,25236934,0.62,0.9,37.5,1.97
1638907521,BONE,2.4,3.3,1129065,2221666,7526375,25240090,0.62,0.9,37.5,1.97
1638907532,BONE,2.4,3.3,1129065,2221666,7526375,25240090,0.62,0.9,37.5,1.97
1638907545,BONE,2.4,3.3,1129065,2220119,7526375,25241637,0.62,0.9,37.5,1.97
1638907557,BONE,2.4,3.3,1129065,2219929,7526375,25241827,0.62,0.9,37.5,1.97
1638907570,BONE,2.4,3.3,1129065,2219575,7526375,25242181,0.62,0.9,37.5,1.97
1638907607,BONE,2.4,3.3,1129065,2218698,7526375,25243058,0.62,0.9,37.5,1.97
1638907625,BONE,2.4,3.3,1129065,2218066,7526375,25243690,0.62,0.9,37.5,1.96
1638907672,BONE,2.4,3.3,1129065,2216155,7526375,25245601,0.61,0.9,37.5,1.96
