UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,CHEESE_FUEL,21157.0,23714.5,30462,374418,192794,162213,16.16,2557.5,12.1,12.29
1638903006,CHEESE_FUEL,21157.1,23458.6,30462,374903,192794,162228,16.18,2301.5,10.9,12.31
1638903006,CHEESE_FUEL,21157.1,23458.6,30462,374903,192794,162228,16.18,2301.5,10.9,12.31
1638903057,CHEESE_FUEL,21157.4,23714.3,30441,374903,192818,162228,16.18,2556.9,12.1,12.32
1638903086,CHEESE_FUEL,21157.4,23714.5,30185,374938,193074,162257,16.18,2557.1,12.1,12.42
1638903086,CHEESE_FUEL,21157.4,23714.5,30185,374938,193074,162257,16.18,2557.1,12.1,12.42
1638903086,CHEESE_FUEL,21157.4,23714.5,30185,374938,193074,162257,16.18,2557.1,12.1,12.42
1638903086,CHEESE_FUEL,21157.4,23714.5,30185,374938,193074,162257,16.18,2557.1,12.1,12.42
1638903226,CHEESE_FUEL,21157.2,23714.2,30255,374730,193076,162273,16.16,2557.0,12.1,12.39
1638903233,CHEESE_FUEL,21157.2,23714.2,30255,374730,193076,162273,16.16,2557.0,12.1,12.39
1638903240,CHEESE_FUEL,21157.2,23714.2,30447,374729,193076,162274,16.16,2557.0,12.1,12.31
1638903248,CHEESE_FUEL,21157.2,23714.2,30447,374729,193076,162274,16.16,2557.0,12.1,12.31
1638903855,CHEESE_FUEL,21157.8,23713.2,29937,378020,193081,163157,16.22,2555.4,12.1,12.63
1638904100,CHEESE_FUEL,21158.7,23712.9,29964,380364,193081,163213,16.31,2554.2,12.1,12.69
1638904100,CHEESE_FUEL,21158.7,23712.9,29964,380364,193081,163213,16.31,2554.2,12.1,12.69
1638904100,CHEESE_FUEL,21158.7,23712.9,29964,380364,193081,163213,16.31,2554.2,12.1,12.69
1638904189,CHEESE_FUEL,21158.7,23712.9,29944,380392,193081,163243,16.31,2554.2,12.1,12.7
1638904196,CHEESE_FUEL,21158.7,23712.9,29944,380392,193081,163243,16.31,2554.2,12.1,12.7
1638905497,CHEESE_FUEL,21155.2,23688.6,34655,363392,193676,165539,15.37,2533.4,12.0,10.49
1638905504,CHEESE_FUEL,21155.2,23688.6,34655,363392,193676,165539,15.37,2533.4,12.0,10.49
1638906506,CHEESE_FUEL,21155.2,21155.6,34789,363059,193756,166122,15.3,0.4,0.0,10.44
1638906538,CHEESE_FUEL,21155.3,21155.5,34794,363056,193756,166125,15.3,0.2,0.0,10.43
1638906598,CHEESE_FUEL,21001.5,23442.8,34806,362982,193756,166244,15.28,2441.3,11.6,10.43
1638906612,CHEESE_FUEL,21001.5,23443.4,34702,362981,193820,166245,15.28,2441.9,11.6,10.46
1638906620,CHEESE_FUEL,21001.5,23443.4,34702,362981,193820,166245,15.28,2441.9,11.6,10.46
1638906646,CHEESE_FUEL,21001.5,23443.3,34510,362981,194012,166245,15.28,2441.8,11.6,10.52
1638906653,CHEESE_FUEL,21001.5,23443.3,34531,362980,194012,166246,15.28,2441.8,11.6,10.51
1638906660,CHEESE_FUEL,21001.5,23443.3,34531,362934,194012,166292,15.28,2441.8,11.6,10.51
1638906889,CHEESE_FUEL,21000.8,23443.3,35156,362224,194140,167066,15.18,2442.5,11.6,10.3
1638906898,CHEESE_FUEL,21000.8,23443.3,34412,362224,194140,167066,15.18,2442.5,11.6,10.53
1638906939,CHEESE_FUEL,21000.8,23443.3,34412,362224,194140,167066,15.18,2442.5,11.6,10.53
1638906980,CHEESE_FUEL,21000.8,23443.2,34415,362218,194140,167072,15.18,2442.4,11.6,10.53
1638907080,CHEESE_FUEL,21000.8,23443.0,34481,362188,194140,167102,15.17,2442.2,11.6,10.5
1638907129,CHEESE_FUEL,21000.8,23443.0,34481,362175,194140,167115,15.17,2442.2,11.6,10.5
1638907209,CHEESE_FUEL,21000.8,23443.1,34481,362140,194140,167150,15.17,2442.3,11.6,10.5
1638907229,CHEESE_FUEL,21000.8,23443.0,34499,362094,194140,167196,15.16,2442.2,11.6,10.5
1638907265,CHEESE_FUEL,21000.8,23443.0,34499,362069,194140,167221,15.16,2442.2,11.6,10.5
1638907280,CHEESE_FUEL,21000.8,23443.0,34499,362069,194140,167221,15.16,2442.2,11.6,10.5
1638907311,CHEESE_FUEL,21000.8,23443.0,34461,362060,194140,167230,15.16,2442.2,11.6,10.51
1638907322,CHEESE_FUEL,21000.8,23443.0,34461,362060,194140,167230,15.16,2442.2,11.6,10.51
1638907346,CHEESE_FUEL,21000.8,23443.0,34461,362060,194140,167230,15.16,2442.2,11.6,10.51
1638907359,CHEESE_FUEL,21000.8,23443.0,34461,362060,194140,167230,15.16,2442.2,11.6,10.51
1638907396,CHEESE_FUEL,21000.8,23443.0,34461,361964,194140,167326,15.14,2442.2,11.6,10.5
