UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,CLAY_BALL,2.2,4.7,774362,814240,25687763,58233535,0.1,2.5,113.6,1.05
1638903006,CLAY_BALL,2.0,4.7,772890,808804,25689235,58238971,0.1,2.7,135.0,1.05
1638903006,CLAY_BALL,2.0,4.7,772890,808804,25689235,58238971,0.1,2.7,135.0,1.05
1638903057,CLAY_BALL,2.0,4.7,770086,806307,25692051,58241478,0.1,2.7,135.0,1.05
1638903086,CLAY_BALL,2.0,4.7,766438,791186,25695699,58256599,0.1,2.7,135.0,1.03
1638903086,CLAY_BALL,2.0,4.7,766438,791186,25695699,58256599,0.1,2.7,135.0,1.03
1638903086,CLAY_BALL,2.0,4.7,766438,791186,25695699,58256599,0.1,2.7,135.0,1.03
1638903086,CLAY_BALL,2.0,4.7,766438,791186,25695699,58256599,0.1,2.7,135.0,1.03
1638903226,CLAY_BALL,2.1,4.7,754086,796199,25708051,58261586,0.1,2.6,123.8,1.06
1638903233,CLAY_BALL,2.1,4.7,754086,796199,25708051,58261586,0.1,2.6,123.8,1.06
1638903240,CLAY_BALL,2.1,4.7,754086,794534,25708051,58263251,0.1,2.6,123.8,1.05
1638903248,CLAY_BALL,2.1,4.7,754086,794534,25708051,58263251,0.1,2.6,123.8,1.05
1638903855,CLAY_BALL,2.2,4.7,749092,805417,25730675,58325585,0.1,2.5,113.6,1.08
1638904100,CLAY_BALL,2.2,4.5,799172,786050,25740595,58344952,0.09,2.3,104.5,-1.02
1638904100,CLAY_BALL,2.2,4.5,799172,786050,25740595,58344952,0.09,2.3,104.5,-1.02
1638904100,CLAY_BALL,2.2,4.5,799172,786050,25740595,58344952,0.09,2.3,104.5,-1.02
1638904189,CLAY_BALL,2.2,4.4,799164,775196,25742259,58355806,0.09,2.2,100.0,-1.03
1638904196,CLAY_BALL,2.2,4.4,799164,775196,25742259,58355806,0.09,2.2,100.0,-1.03
1638905497,CLAY_BALL,1.8,4.4,811975,705968,25801603,58522074,0.08,2.6,144.4,-1.15
1638905504,CLAY_BALL,1.8,4.4,811975,705968,25801603,58522074,0.08,2.6,144.4,-1.15
1638906506,CLAY_BALL,2.1,4.4,800740,738334,25834446,58583121,0.09,2.3,109.5,-1.08
1638906538,CLAY_BALL,2.1,4.4,800740,736284,25834446,58585171,0.09,2.3,109.5,-1.09
1638906598,CLAY_BALL,2.2,4.4,800740,757363,25834446,58589093,0.09,2.2,100.0,-1.06
1638906612,CLAY_BALL,2.2,4.3,798755,755891,25836431,58590565,0.09,2.1,95.5,-1.06
1638906620,CLAY_BALL,2.2,4.3,798755,755891,25836431,58590565,0.09,2.1,95.5,-1.06
1638906646,CLAY_BALL,2.2,4.4,798179,754207,25837839,58592249,0.09,2.2,100.0,-1.06
1638906653,CLAY_BALL,2.2,4.4,798045,752732,25837973,58593724,0.09,2.2,100.0,-1.06
1638906660,CLAY_BALL,2.2,4.4,798036,751196,25837982,58595260,0.09,2.2,100.0,-1.06
1638906889,CLAY_BALL,2.2,4.4,795328,736144,25840754,58615311,0.09,2.2,100.0,-1.08
1638906898,CLAY_BALL,2.2,4.4,795328,736144,25840754,58615311,0.09,2.2,100.0,-1.08
1638906939,CLAY_BALL,2.2,4.3,801032,735209,25841010,58616246,0.09,2.1,95.5,-1.09
1638906980,CLAY_BALL,2.1,4.3,800520,731803,25841522,58619652,0.09,2.2,104.8,-1.09
1638907080,CLAY_BALL,2.1,4.3,800642,728275,25845240,58623180,0.09,2.2,104.8,-1.1
1638907129,CLAY_BALL,2.1,4.3,799042,725634,25846840,58625821,0.09,2.2,104.8,-1.1
1638907209,CLAY_BALL,2.2,4.4,795542,767918,25850340,58636912,0.09,2.2,100.0,-1.04
1638907229,CLAY_BALL,2.3,4.3,797206,779716,25850340,58638114,0.09,2.0,87.0,-1.02
1638907265,CLAY_BALL,2.4,4.3,796822,776366,25850724,58641464,0.09,1.9,79.2,-1.03
1638907280,CLAY_BALL,2.4,4.3,796822,777245,25850724,58641609,0.09,1.9,79.2,-1.03
1638907311,CLAY_BALL,2.3,4.3,795286,769808,25852260,58649046,0.09,2.0,87.0,-1.03
1638907322,CLAY_BALL,2.3,4.4,796310,769633,25852260,58649221,0.09,2.1,91.3,-1.03
1638907346,CLAY_BALL,2.3,4.4,794390,769098,25854180,58649756,0.09,2.1,91.3,-1.03
1638907359,CLAY_BALL,2.3,4.4,794390,769098,25854180,58649756,0.09,2.1,91.3,-1.03
1638907396,CLAY_BALL,2.2,4.3,794390,777007,25854180,58654069,0.09,2.1,95.5,-1.02
1638907404,CLAY_BALL,2.2,4.3,794390,777007,25854180,58654069,0.09,2.1,95.5,-1.02
1638907415,CLAY_BALL,2.2,4.3,796144,756154,25856164,58674922,0.09,2.1,95.5,-1.05
1638907521,CLAY_BALL,2.2,4.3,809528,751549,25861092,58679527,0.09,2.1,95.5,-1.08
1638907532,CLAY_BALL,2.2,4.3,809528,751549,25861092,58679527,0.09,2.1,95.5,-1.08
1638907545,CLAY_BALL,2.2,4.3,809528,752034,25861092,58680066,0.09,2.1,95.5,-1.08
1638907557,CLAY_BALL,2.2,4.1,812728,750562,25861092,58681538,0.09,1.9,86.4,-1.08
1638907570,CLAY_BALL,2.3,4.0,955934,750217,25861092,58681883,0.09,1.7,73.9,-1.27
1638907607,CLAY_BALL,2.2,4.0,954206,750500,25862820,58682155,0.09,1.8,81.8,-1.27
1638907625,CLAY_BALL,2.2,4.0,954014,748327,25863012,58684328,0.09,1.8,81.8,-1.27
1638907672,CLAY_BALL,2.2,4.0,957214,739323,25863140,58693887,0.09,1.8,81.8,-1.29
