UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,COAL,3.2,4.4,1464071,9029155,24366415,402491299,0.16,1.2,37.5,6.17
1638903006,COAL,3.1,4.4,1464147,8959389,24367375,402563113,0.16,1.3,41.9,6.12
1638903006,COAL,3.1,4.4,1464147,8959389,24367375,402563113,0.16,1.3,41.9,6.12
1638903057,COAL,3.1,4.4,1464143,8923806,24367379,402598856,0.16,1.3,41.9,6.09
1638903086,COAL,3.1,4.3,1464143,8909443,24367379,402613219,0.15,1.2,38.7,6.09
1638903086,COAL,3.1,4.3,1464143,8909443,24367379,402613219,0.15,1.2,38.7,6.09
1638903086,COAL,3.1,4.3,1464143,8909443,24367379,402613219,0.15,1.2,38.7,6.09
1638903086,COAL,3.1,4.3,1464143,8909443,24367379,402613219,0.15,1.2,38.7,6.09
1638903226,COAL,3.2,4.4,1462523,8811860,24371319,402711826,0.15,1.2,37.5,6.03
1638903233,COAL,3.2,4.4,1462523,8811860,24371319,402711826,0.15,1.2,37.5,6.03
1638903240,COAL,3.2,4.4,1462123,8864908,24371719,402730458,0.15,1.2,37.5,6.06
1638903248,COAL,3.2,4.4,1462123,8864908,24371719,402730458,0.15,1.2,37.5,6.06
1638903855,COAL,3.1,4.8,1428622,8424602,24407713,403237996,0.15,1.7,54.8,5.9
1638904100,COAL,3.2,4.9,1422731,8524005,24413668,403394593,0.15,1.7,53.1,5.99
1638904100,COAL,3.2,4.9,1422731,8524005,24413668,403394593,0.15,1.7,53.1,5.99
1638904100,COAL,3.2,4.9,1422731,8524005,24413668,403394593,0.15,1.7,53.1,5.99
1638904189,COAL,3.2,4.6,1562305,8456441,24415510,403513205,0.15,1.4,43.7,5.41
1638904196,COAL,3.2,4.6,1562305,8456441,24415510,403513205,0.15,1.4,43.7,5.41
1638905497,COAL,3.6,4.3,1702058,9873140,24459004,404661307,0.17,0.7,19.4,5.8
1638905504,COAL,3.6,4.3,1702058,9873140,24459004,404661307,0.17,0.7,19.4,5.8
1638906506,COAL,3.8,4.0,1764487,9876899,24472539,405372188,0.17,0.2,5.3,5.6
1638906538,COAL,3.9,4.1,1763414,10098151,24473612,405375976,0.17,0.2,5.1,5.73
1638906598,COAL,3.8,4.3,1759701,10340793,24477325,405420054,0.18,0.5,13.2,5.88
1638906612,COAL,3.8,4.3,1759637,10395141,24477389,405437386,0.18,0.5,13.2,5.91
1638906620,COAL,3.8,4.3,1759637,10395141,24477389,405437386,0.18,0.5,13.2,5.91
1638906646,COAL,3.8,4.2,1761557,10462764,24477389,405441443,0.18,0.4,10.5,5.94
1638906653,COAL,3.8,4.0,1761557,10454277,24477389,405449930,0.18,0.2,5.3,5.93
1638906660,COAL,3.8,4.0,1765397,10451519,24477389,405452688,0.18,0.2,5.3,5.92
1638906889,COAL,3.5,3.6,1770525,10199921,24481998,405619286,0.18,0.1,2.9000000000000004,5.76
1638906898,COAL,3.5,3.6,1770525,10193093,24481998,405626114,0.18,0.1,2.9000000000000004,5.76
1638906939,COAL,3.5,3.9,1768669,10204402,24483854,405686485,0.18,0.4,11.4,5.77
1638906980,COAL,3.6,3.7,1772317,10526939,24484558,405794028,0.18,0.1,2.8000000000000003,5.94
1638907080,COAL,3.7,3.9,1766044,10551351,24490831,405839379,0.18,0.2,5.4,5.97
1638907129,COAL,3.7,4.0,1763015,10525612,24493200,405865118,0.18,0.3,8.1,5.97
1638907209,COAL,3.8,3.9,1759174,10514436,24497041,405926294,0.18,0.1,2.6,5.98
1638907229,COAL,3.6,4.5,1757564,10469383,24498707,405971347,0.18,0.9,25.0,5.96
1638907265,COAL,3.6,4.7,1695388,10447235,24500883,405993495,0.18,1.1,30.6,6.16
1638907280,COAL,3.6,4.4,1697564,10444688,24500883,405996042,0.18,0.8,22.2,6.15
1638907311,COAL,4.1,4.4,1701851,10721845,24500948,406028886,0.18,0.3,7.3,6.3
1638907322,COAL,4.2,4.3,1701851,10791446,24500948,406029285,0.19,0.1,2.4,6.34
1638907346,COAL,4.1,4.4,1701257,10786458,24501780,406104273,0.19,0.3,7.3,6.34
1638907359,COAL,4.1,4.4,1701257,10786458,24501780,406104273,0.19,0.3,7.3,6.34
1638907396,COAL,4.2,4.4,1700744,10768858,24502293,406121873,0.19,0.2,4.8,6.33
1638907404,COAL,4.2,4.4,1700744,10768858,24502293,406121873,0.19,0.2,4.8,6.33
1638907415,COAL,4.0,4.5,1700680,10690233,24502357,406201586,0.18,0.5,12.5,6.29
1638907521,COAL,3.9,4.7,1688623,10646094,24514965,406317405,0.18,0.8,20.5,6.3
1638907532,COAL,3.9,4.7,1688623,10646094,24514965,406317405,0.18,0.8,20.5,6.3
1638907545,COAL,3.9,4.7,1686830,10644348,24516758,406319150,0.18,0.8,20.5,6.31
1638907557,COAL,3.9,4.9,1685870,10634924,24517718,406328574,0.18,1.0,25.6,6.31
1638907570,COAL,3.9,4.9,1685422,10629825,24518166,406333673,0.18,1.0,25.6,6.31
1638907607,COAL,3.9,4.9,1684270,10616149,24519318,406347349,0.18,1.0,25.6,6.3
1638907625,COAL,3.9,4.9,1684270,10669174,24519318,406366004,0.18,1.0,25.6,6.33
1638907672,COAL,3.9,4.8,1684060,10844106,24526056,406406112,0.19,0.9,23.1,6.44
