UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,COBBLESTONE,8.1,10.5,1035302,6565807,23269971,72821465,0.63,2.4,29.6,6.34
1638903006,COBBLESTONE,8.1,10.4,1031848,6560032,23275345,72829288,0.63,2.3,28.4,6.36
1638903006,COBBLESTONE,8.1,10.4,1031848,6560032,23275345,72829288,0.63,2.3,28.4,6.36
1638903057,COBBLESTONE,8.1,10.4,1031589,6558141,23277009,72832203,0.63,2.3,28.4,6.36
1638903086,COBBLESTONE,8.1,10.3,1032197,6555943,23277937,72834401,0.63,2.2,27.200000000000003,6.35
1638903086,COBBLESTONE,8.1,10.3,1032197,6555943,23277937,72834401,0.63,2.2,27.200000000000003,6.35
1638903086,COBBLESTONE,8.1,10.3,1032197,6555943,23277937,72834401,0.63,2.2,27.200000000000003,6.35
1638903086,COBBLESTONE,8.1,10.3,1032197,6555943,23277937,72834401,0.63,2.2,27.200000000000003,6.35
1638903226,COBBLESTONE,8.3,10.5,1030311,6681890,23149418,72492378,0.65,2.2,26.5,6.49
1638903233,COBBLESTONE,8.3,10.5,1030311,6681890,23149418,72492378,0.65,2.2,26.5,6.49
1638903240,COBBLESTONE,8.3,10.5,1028839,6680387,23150890,72493881,0.65,2.2,26.5,6.49
1638903248,COBBLESTONE,8.3,10.5,1028839,6680387,23150890,72493881,0.65,2.2,26.5,6.49
1638903855,COBBLESTONE,8.8,10.5,1018324,6818982,23174379,72559238,0.66,1.7,19.3,6.7
1638904100,COBBLESTONE,8.9,10.5,1014942,6844031,23181522,72578285,0.66,1.6,18.0,6.74
1638904100,COBBLESTONE,8.9,10.5,1014942,6844031,23181522,72578285,0.66,1.6,18.0,6.74
1638904100,COBBLESTONE,8.9,10.5,1014942,6844031,23181522,72578285,0.66,1.6,18.0,6.74
1638904189,COBBLESTONE,9.0,10.4,1013492,6832299,23186544,72592513,0.66,1.4,15.6,6.74
1638904196,COBBLESTONE,9.0,10.4,1013492,6832299,23186544,72592513,0.66,1.4,15.6,6.74
1638905497,COBBLESTONE,8.0,8.2,1050973,6390472,23228364,72850526,0.61,0.2,2.5,6.08
1638905504,COBBLESTONE,8.0,8.2,1050973,6390472,23228364,72850526,0.61,0.2,2.5,6.08
1638906506,COBBLESTONE,8.3,10.1,1039273,6463627,23314304,72997183,0.62,1.8,21.7,6.22
1638906538,COBBLESTONE,8.3,10.0,1035762,6458927,23318531,73001883,0.62,1.7,20.5,6.24
1638906598,COBBLESTONE,8.3,10.1,1029931,6449469,23324362,73011341,0.62,1.8,21.7,6.26
1638906612,COBBLESTONE,8.3,10.1,1029291,6449359,23325002,73011451,0.62,1.8,21.7,6.27
1638906620,COBBLESTONE,8.3,10.1,1029291,6449359,23325002,73011451,0.62,1.8,21.7,6.27
1638906646,COBBLESTONE,8.3,10.1,1026155,6445673,23328138,73015137,0.62,1.8,21.7,6.28
1638906653,COBBLESTONE,8.3,10.1,1026091,6444702,23328202,73016108,0.62,1.8,21.7,6.28
1638906660,COBBLESTONE,8.3,10.1,1026091,6438821,23328202,73021989,0.62,1.8,21.7,6.28
1638906889,COBBLESTONE,8.5,10.5,992507,6542801,23364365,73051270,0.63,2.0,23.5,6.59
1638906898,COBBLESTONE,8.4,10.5,992507,6540757,23364365,73054338,0.63,2.1,25.0,6.59
1638906939,COBBLESTONE,8.4,10.3,985699,6535988,23371173,73059107,0.63,1.9,22.6,6.63
1638906980,COBBLESTONE,8.4,10.2,986990,6532430,23371373,73062665,0.63,1.8,21.4,6.62
1638907080,COBBLESTONE,8.5,9.9,986855,6517577,23373425,73077518,0.62,1.4,16.5,6.6
1638907129,COBBLESTONE,8.4,9.7,987757,6516824,23374129,73079295,0.62,1.3,15.5,6.6
1638907209,COBBLESTONE,8.6,10.5,985647,6656638,23376241,73087841,0.64,1.9,22.1,6.75
1638907229,COBBLESTONE,8.7,10.5,985007,6651229,23376881,73093250,0.64,1.8,20.7,6.75
1638907265,COBBLESTONE,8.6,10.5,984872,6648117,23377016,73096426,0.64,1.9,22.1,6.75
1638907280,COBBLESTONE,8.6,10.4,984872,6641922,23377016,73102621,0.64,1.8,20.9,6.74
1638907311,COBBLESTONE,8.6,10.5,983089,6635856,23379961,73109775,0.64,1.9,22.1,6.75
1638907322,COBBLESTONE,8.6,10.5,983089,6613863,23379961,73131768,0.63,1.9,22.1,6.73
1638907346,COBBLESTONE,8.6,10.4,978801,6611399,23385465,73135416,0.63,1.8,20.9,6.75
1638907359,COBBLESTONE,8.6,10.4,978801,6611399,23385465,73135416,0.63,1.8,20.9,6.75
1638907396,COBBLESTONE,8.6,10.4,975827,6607439,23389655,73139376,0.63,1.8,20.9,6.77
1638907404,COBBLESTONE,8.6,10.4,975827,6607439,23389655,73139376,0.63,1.8,20.9,6.77
1638907415,COBBLESTONE,8.6,10.2,976851,6600040,23389655,73146775,0.63,1.6,18.6,6.76
1638907521,COBBLESTONE,8.6,10.5,972074,6589242,23394624,73161173,0.63,1.9,22.1,6.78
1638907532,COBBLESTONE,8.6,10.5,972074,6589242,23394624,73161173,0.63,1.9,22.1,6.78
1638907545,COBBLESTONE,8.5,10.4,972028,6583186,23394945,73167229,0.63,1.9,22.4,6.77
1638907557,COBBLESTONE,8.6,10.4,969724,6582980,23397249,73167435,0.63,1.8,20.9,6.79
1638907570,COBBLESTONE,8.5,10.5,968252,6583482,23400257,73167957,0.63,2.0,23.5,6.8
1638907607,COBBLESTONE,8.5,10.5,964603,6577147,23404354,73174292,0.63,2.0,23.5,6.82
1638907625,COBBLESTONE,8.5,10.5,961083,6573191,23407874,73178248,0.63,2.0,23.5,6.84
1638907672,COBBLESTONE,8.5,10.5,960314,6569079,23409923,73182360,0.63,2.0,23.5,6.84
