UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1427,206658,8385,6988,207.01,85472.2,11.7,144.82
1638903006,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1427,206647,8385,6988,207.0,85472.2,11.7,144.81
1638903006,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1427,206647,8385,6988,207.0,85472.2,11.7,144.81
1638903057,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1427,206647,8385,6988,207.0,85472.2,11.7,144.81
1638903086,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1427,206647,8385,6988,207.0,85472.2,11.7,144.81
1638903086,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1427,206647,8385,6988,207.0,85472.2,11.7,144.81
1638903086,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1427,206647,8385,6988,207.0,85472.2,11.7,144.81
1638903086,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1427,206647,8385,6988,207.0,85472.2,11.7,144.81
1638903226,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1426,206647,8386,6988,207.0,85472.2,11.7,144.91
1638903233,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1426,206647,8386,6988,207.0,85472.2,11.7,144.91
1638903240,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1426,206647,8386,6988,207.0,85472.2,11.7,144.91
1638903248,COLOSSAL_EXP_BOTTLE,728971.4,814443.6,1426,206647,8386,6988,207.0,85472.2,11.7,144.91
1638903855,COLOSSAL_EXP_BOTTLE,728971.8,805896.4,1424,206691,8391,6988,207.05,76924.6,10.6,145.15
1638904100,COLOSSAL_EXP_BOTTLE,728971.9,805896.3,1423,206691,8392,6989,207.02,76924.4,10.6,145.25
1638904100,COLOSSAL_EXP_BOTTLE,728971.9,805896.3,1423,206691,8392,6989,207.02,76924.4,10.6,145.25
1638904100,COLOSSAL_EXP_BOTTLE,728971.9,805896.3,1423,206691,8392,6989,207.02,76924.4,10.6,145.25
1638904189,COLOSSAL_EXP_BOTTLE,728972.1,805896.3,1422,206716,8393,6989,207.04,76924.2,10.6,145.37
1638904196,COLOSSAL_EXP_BOTTLE,728972.1,805896.3,1422,206716,8393,6989,207.04,76924.2,10.6,145.37
1638905497,COLOSSAL_EXP_BOTTLE,728972.3,814444.0,1404,206730,8412,6989,207.06,85471.7,11.7,147.24
1638905504,COLOSSAL_EXP_BOTTLE,728972.3,814444.0,1404,206730,8412,6989,207.06,85471.7,11.700000000000001,147.24
