UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,COMPACTOR,7492.7,8947.7,1061,15208,39798,38404,2.77,1455.0,19.4,14.33
1638903006,COMPACTOR,7492.6,8947.7,1062,15173,39798,38408,2.77,1455.1,19.4,14.29
1638903006,COMPACTOR,7492.6,8947.7,1062,15173,39798,38408,2.77,1455.1,19.4,14.29
1638903057,COMPACTOR,7492.6,8947.7,1061,15171,39799,38410,2.76,1455.1,19.4,14.3
1638903086,COMPACTOR,7492.6,8947.7,1061,15171,39799,38410,2.76,1455.1,19.4,14.3
1638903086,COMPACTOR,7492.6,8947.7,1061,15171,39799,38410,2.76,1455.1,19.4,14.3
1638903086,COMPACTOR,7492.6,8947.7,1061,15171,39799,38410,2.76,1455.1,19.4,14.3
1638903086,COMPACTOR,7492.6,8947.7,1061,15171,39799,38410,2.76,1455.1,19.4,14.3
1638903226,COMPACTOR,7492.5,8947.7,1060,15186,39809,38435,2.77,1455.2,19.4,14.33
1638903233,COMPACTOR,7492.5,8947.7,1060,15186,39809,38435,2.77,1455.2,19.4,14.33
1638903240,COMPACTOR,7492.5,8947.6,1072,15186,39809,38435,2.77,1455.1,19.4,14.17
1638903248,COMPACTOR,7492.5,8947.6,1072,15186,39809,38435,2.77,1455.1,19.4,14.17
1638903855,COMPACTOR,7492.7,8946.9,1076,15323,39847,38458,2.79,1454.2,19.4,14.24
1638904100,COMPACTOR,7492.7,8946.6,1100,15302,39853,38483,2.78,1453.9,19.4,13.91
1638904100,COMPACTOR,7492.7,8946.6,1100,15302,39853,38483,2.78,1453.9,19.4,13.91
1638904100,COMPACTOR,7492.7,8946.6,1100,15302,39853,38483,2.78,1453.9,19.4,13.91
1638904189,COMPACTOR,7492.8,8946.5,1098,15304,39538,38182,2.81,1453.7,19.4,13.94
1638904196,COMPACTOR,7492.8,8946.5,1098,15304,39538,38182,2.81,1453.7,19.4,13.94
1638905497,COMPACTOR,7492.9,8945.2,1208,15335,39492,38158,2.81,1452.3,19.4,12.69
1638905504,COMPACTOR,7492.9,8945.2,1208,15335,39492,38158,2.81,1452.3,19.4,12.69
1638906506,COMPACTOR,7493.4,8945.5,1166,15336,39556,38214,2.81,1452.1,19.4,13.15
1638906538,COMPACTOR,7493.4,8945.3,1172,15331,39557,38219,2.81,1451.9,19.4,13.08
1638906598,COMPACTOR,7492.7,8945.3,1175,15262,39558,38253,2.79,1452.6,19.4,12.99
1638906612,COMPACTOR,7492.7,8945.4,1175,15292,39558,38253,2.8,1452.7,19.4,13.01
1638906620,COMPACTOR,7492.7,8945.4,1175,15292,39558,38253,2.8,1452.7,19.4,13.01
1638906646,COMPACTOR,7492.7,8945.3,1170,15286,39563,38259,2.8,1452.6,19.4,13.06
1638906653,COMPACTOR,7492.7,8945.3,1194,15286,39563,38259,2.8,1452.6,19.4,12.8
1638906660,COMPACTOR,7492.7,8945.3,1185,15286,39564,38259,2.8,1452.6,19.4,12.9
1638906889,COMPACTOR,7492.7,8946.4,1154,15285,39596,38260,2.8,1453.7,19.4,13.25
1638906898,COMPACTOR,7492.7,8946.4,1154,15285,39596,38260,2.8,1453.7,19.4,13.25
1638906939,COMPACTOR,7492.7,8946.4,1151,15285,39599,38260,2.8,1453.7,19.4,13.28
1638906980,COMPACTOR,7492.7,8946.3,1145,15280,39605,38265,2.8,1453.6,19.4,13.34
1638907080,COMPACTOR,7492.7,8946.3,1149,15280,39610,38265,2.8,1453.6,19.4,13.3
1638907129,COMPACTOR,7492.7,8946.3,1148,15278,39611,38267,2.79,1453.6,19.4,13.31
1638907209,COMPACTOR,7492.8,8946.3,1147,15306,39612,38274,2.8,1453.5,19.4,13.34
1638907229,COMPACTOR,7492.9,8946.3,1146,15364,39613,38280,2.81,1453.4,19.4,13.41
1638907265,COMPACTOR,7492.9,8946.4,1144,15363,39615,38281,2.81,1453.5,19.4,13.43
