UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,DAEDALUS_STICK,16726694.7,18299999.0,28,728,335,460,11.08,1573304.3,9.4,26.0
1638903006,DAEDALUS_STICK,16726694.7,18299999.0,28,728,335,460,11.08,1573304.3,9.4,26.0
1638903006,DAEDALUS_STICK,16726694.7,18299999.0,28,728,335,460,11.08,1573304.3,9.4,26.0
1638903057,DAEDALUS_STICK,16726694.8,18299999.0,28,728,335,460,11.08,1573304.2,9.4,26.0
1638903086,DAEDALUS_STICK,16726694.8,18299999.0,28,729,335,460,11.09,1573304.2,9.4,26.04
1638903086,DAEDALUS_STICK,16726694.8,18299999.0,28,729,335,460,11.09,1573304.2,9.4,26.04
1638903086,DAEDALUS_STICK,16726694.8,18299999.0,28,729,335,460,11.09,1573304.2,9.4,26.04
1638903086,DAEDALUS_STICK,16726694.8,18299999.0,28,729,335,460,11.09,1573304.2,9.4,26.04
1638903226,DAEDALUS_STICK,16726694.8,18299999.0,28,729,335,460,11.09,1573304.2,9.4,26.04
1638903233,DAEDALUS_STICK,16726694.8,18299999.0,28,729,335,460,11.09,1573304.2,9.4,26.04
1638903240,DAEDALUS_STICK,16726694.8,18299999.0,28,729,335,460,11.09,1573304.2,9.4,26.04
1638903248,DAEDALUS_STICK,16726694.8,18299999.0,28,729,335,460,11.09,1573304.2,9.4,26.04
1638903855,DAEDALUS_STICK,16726694.9,18299999.0,28,731,327,446,11.47,1573304.1,9.4,26.11
1638904100,DAEDALUS_STICK,16726694.9,18299999.0,28,731,327,446,11.47,1573304.1,9.4,26.11
1638904100,DAEDALUS_STICK,16726694.9,18299999.0,28,731,327,446,11.47,1573304.1,9.4,26.11
1638904100,DAEDALUS_STICK,16726694.9,18299999.0,28,731,327,446,11.47,1573304.1,9.4,26.11
1638904189,DAEDALUS_STICK,16726694.9,18299999.0,28,731,327,446,11.47,1573304.1,9.4,26.11
1638904196,DAEDALUS_STICK,16726694.9,18299999.0,28,731,327,446,11.47,1573304.1,9.4,26.11
1638905497,DAEDALUS_STICK,16726695.0,18299999.0,29,733,327,446,11.5,1573304.0,9.4,25.28
1638905504,DAEDALUS_STICK,16726695.0,18299999.0,29,733,327,446,11.5,1573304.0,9.4,25.28
1638906506,DAEDALUS_STICK,16726695.0,18299999.0,29,734,327,446,11.52,1573304.0,9.4,25.31
1638906538,DAEDALUS_STICK,16726695.0,18299999.0,29,734,327,446,11.52,1573304.0,9.4,25.31
1638906598,DAEDALUS_STICK,16726695.0,18299999.0,29,734,327,446,11.52,1573304.0,9.4,25.31
1638906612,DAEDALUS_STICK,16726695.0,18299999.0,29,734,327,446,11.52,1573304.0,9.4,25.31
1638906620,DAEDALUS_STICK,16726695.0,18299999.0,29,734,327,446,11.52,1573304.0,9.4,25.31
1638906646,DAEDALUS_STICK,16726695.0,18299999.0,29,734,327,446,11.52,1573304.0,9.4,25.31
1638906653,DAEDALUS_STICK,16726695.0,18299999.0,29,734,327,446,11.52,1573304.0,9.4,25.31
1638906660,DAEDALUS_STICK,16726695.0,18299999.0,29,734,327,446,11.52,1573304.0,9.4,25.31
1638906889,DAEDALUS_STICK,16726695.0,18299999.0,29,733,327,446,11.5,1573304.0,9.4,25.28
1638906898,DAEDALUS_STICK,16726695.0,18299999.0,29,733,327,446,11.5,1573304.0,9.4,25.28
1638906939,DAEDALUS_STICK,16726695.0,18299999.0,29,733,327,446,11.5,1573304.0,9.4,25.28
1638906980,DAEDALUS_STICK,16726694.9,18299999.0,29,733,327,446,11.5,1573304.1,9.4,25.28
1638907080,DAEDALUS_STICK,16726694.9,18299999.0,29,733,327,446,11.5,1573304.1,9.4,25.28
1638907129,DAEDALUS_STICK,16726694.9,18299999.0,29,733,327,446,11.5,1573304.1,9.4,25.28
1638907209,DAEDALUS_STICK,16726694.9,18299999.0,29,731,327,446,11.47,1573304.1,9.4,25.21
1638907229,DAEDALUS_STICK,16726694.9,18299999.0,29,731,327,446,11.47,1573304.1,9.4,25.21
1638907265,DAEDALUS_STICK,16726694.9,18299999.0,29,731,327,446,11.47,1573304.1,9.4,25.21
1638907280,DAEDALUS_STICK,16726694.9,18299999.0,29,731,327,446,11.47,1573304.1,9.4,25.21
1638907311,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907322,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907346,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907359,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907396,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907404,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907415,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907521,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907532,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907545,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
1638907557,DAEDALUS_STICK,16726694.9,18299998.9,30,731,327,446,11.47,1573304.0,9.4,24.37
