UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,DARK_BAIT,979.1,1279.4,116029,834506,216412,654215,8.93,300.3,30.7,7.19
1638903006,DARK_BAIT,979.1,1279.4,116029,834484,216412,654237,8.93,300.3,30.7,7.19
1638903006,DARK_BAIT,979.1,1279.4,116029,834484,216412,654237,8.93,300.3,30.7,7.19
1638903057,DARK_BAIT,979.1,1279.4,116029,834479,216412,654242,8.93,300.3,30.7,7.19
1638903086,DARK_BAIT,979.2,1279.4,116029,834476,216412,654245,8.93,300.2,30.7,7.19
1638903086,DARK_BAIT,979.2,1279.4,116029,834476,216412,654245,8.93,300.2,30.7,7.19
1638903086,DARK_BAIT,979.2,1279.4,116029,834476,216412,654245,8.93,300.2,30.7,7.19
1638903086,DARK_BAIT,979.2,1279.4,116029,834476,216412,654245,8.93,300.2,30.7,7.19
1638903226,DARK_BAIT,979.2,1249.4,116125,843410,216412,654311,9.02,270.2,27.6,7.26
1638903233,DARK_BAIT,979.2,1249.4,116125,843410,216412,654311,9.02,270.2,27.6,7.26
1638903240,DARK_BAIT,979.2,1279.4,115869,843378,216476,654343,9.02,300.2,30.7,7.28
1638903248,DARK_BAIT,979.2,1279.4,115869,843378,216476,654343,9.02,300.2,30.7,7.28
1638903855,DARK_BAIT,979.2,1279.3,116765,843024,216604,654697,9.01,300.1,30.6,7.22
1638904100,DARK_BAIT,979.2,1279.2,116856,842934,216604,654787,9.01,300.0,30.6,7.21
1638904100,DARK_BAIT,979.2,1279.2,116856,842934,216604,654787,9.01,300.0,30.6,7.21
1638904100,DARK_BAIT,979.2,1279.2,116856,842934,216604,654787,9.01,300.0,30.6,7.21
1638904189,DARK_BAIT,979.2,1279.2,116856,842837,216604,654884,9.01,300.0,30.6,7.21
1638904196,DARK_BAIT,979.2,1279.2,116856,842837,216604,654884,9.01,300.0,30.6,7.21
1638905497,DARK_BAIT,979.2,1278.8,118364,842372,216604,655349,9.0,299.6,30.6,7.12
1638905504,DARK_BAIT,979.2,1278.8,118364,842372,216604,655349,9.0,299.6,30.599999999999998,7.12
