UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,DIAMOND,7.7,8.1,906808,7784759,10017221,159480483,0.34,0.4,5.2,8.58
1638903006,DIAMOND,7.7,8.1,905014,8034943,10019015,159504799,0.35,0.4,5.2,8.88
1638903006,DIAMOND,7.7,8.1,905014,8034943,10019015,159504799,0.35,0.4,5.2,8.88
1638903057,DIAMOND,7.7,8.0,905150,8234896,9916214,156199360,0.37,0.3,3.9,9.1
1638903086,DIAMOND,7.7,7.8,905167,8299994,9916278,156205286,0.37,0.1,1.3,9.17
1638903086,DIAMOND,7.7,7.8,905167,8299994,9916278,156205286,0.37,0.1,1.3,9.17
1638903086,DIAMOND,7.7,7.8,905167,8299994,9916278,156205286,0.37,0.1,1.3,9.17
1638903086,DIAMOND,7.7,7.8,905167,8299994,9916278,156205286,0.37,0.1,1.3,9.17
1638903226,DIAMOND,7.5,8.1,904879,8263150,9917686,156242130,0.37,0.6,8.0,9.13
1638903233,DIAMOND,7.5,8.1,904879,8263150,9917686,156242130,0.37,0.6,8.0,9.13
1638903240,DIAMOND,7.6,7.9,905645,8258593,9917686,156246687,0.37,0.3,3.9,9.12
1638903248,DIAMOND,7.6,7.9,905645,8258593,9917686,156246687,0.37,0.3,3.9,9.12
1638903855,DIAMOND,7.5,8.1,898993,7502082,9925887,156390451,0.34,0.6,8.0,8.34
1638904100,DIAMOND,7.4,8.0,891674,7443585,9933402,156448988,0.33,0.6,8.1,8.35
1638904100,DIAMOND,7.4,8.0,891674,7443585,9933402,156448988,0.33,0.6,8.1,8.35
1638904100,DIAMOND,7.4,8.0,891674,7443585,9933402,156448988,0.33,0.6,8.1,8.35
1638904189,DIAMOND,7.4,8.0,891660,7424147,9933416,156469450,0.33,0.6,8.1,8.33
1638904196,DIAMOND,7.4,8.0,891660,7424147,9933416,156469450,0.33,0.6,8.1,8.33
1638905497,DIAMOND,7.5,8.1,879939,7305190,9969461,156827964,0.33,0.6,8.0,8.3
1638905504,DIAMOND,7.5,8.1,879939,7305190,9969461,156827964,0.33,0.6,8.0,8.3
1638906506,DIAMOND,7.4,7.9,916088,7186016,10007361,157042520,0.32,0.5,6.800000000000001,7.84
1638906538,DIAMOND,7.5,7.9,915064,7179563,10008385,157048973,0.32,0.4,5.3,7.85
1638906598,DIAMOND,7.4,7.9,914053,7080132,10010563,157090324,0.32,0.5,6.800000000000001,7.75
1638906612,DIAMOND,7.4,7.9,912773,7072534,10011843,157097922,0.32,0.5,6.800000000000001,7.75
1638906620,DIAMOND,7.4,7.9,912773,7072534,10011843,157097922,0.32,0.5,6.800000000000001,7.75
1638906646,DIAMOND,7.4,7.9,911863,7062489,10012753,157107967,0.31,0.5,6.800000000000001,7.75
1638906653,DIAMOND,7.4,7.9,911861,7058233,10012755,157112223,0.31,0.5,6.800000000000001,7.74
1638906660,DIAMOND,7.4,7.9,911861,7037031,10012755,157133067,0.31,0.5,6.800000000000001,7.72
1638906889,DIAMOND,7.4,7.5,910436,7175504,10014382,157204594,0.32,0.1,1.4,7.88
1638906898,DIAMOND,7.4,7.5,910992,7172228,10014382,157207870,0.32,0.1,1.4,7.87
1638906939,DIAMOND,7.4,7.5,910928,7166935,10014446,157213163,0.32,0.1,1.4,7.87
1638906980,DIAMOND,7.5,7.8,909900,7224907,10015322,157225702,0.32,0.3,4.0,7.94
1638907080,DIAMOND,7.8,7.9,908259,7289868,10017235,157243821,0.32,0.1,1.3,8.03
1638907129,DIAMOND,7.8,7.9,908195,7281282,10017299,157252407,0.32,0.1,1.3,8.02
1638907209,DIAMOND,7.8,7.9,908118,7375689,10017376,157273000,0.33,0.1,1.3,8.12
1638907229,DIAMOND,7.8,7.9,907094,7370369,10018400,157278320,0.33,0.1,1.3,8.13
1638907265,DIAMOND,7.8,7.9,907094,7353369,10018400,157295320,0.33,0.1,1.3,8.11
1638907280,DIAMOND,7.8,7.9,907089,7351721,10018405,157296968,0.33,0.1,1.3,8.1
1638907311,DIAMOND,7.8,7.9,906429,7338137,10019065,157310552,0.33,0.1,1.3,8.1
1638907322,DIAMOND,7.8,7.9,906429,7337097,10019065,157311592,0.33,0.1,1.3,8.09
1638907346,DIAMOND,7.8,7.9,906045,7320422,10019449,157328267,0.33,0.1,1.3,8.08
1638907359,DIAMOND,7.8,7.9,906045,7320422,10019449,157328267,0.33,0.1,1.3,8.08
1638907396,DIAMOND,7.8,7.9,904957,7308037,10020537,157340652,0.33,0.1,1.3,8.08
1638907404,DIAMOND,7.8,7.9,904957,7308037,10020537,157340652,0.33,0.1,1.3,8.08
1638907415,DIAMOND,7.8,7.9,904952,7277589,10020542,157371100,0.32,0.1,1.3,8.04
1638907521,DIAMOND,7.9,8.1,855355,7177105,10070139,157390171,0.32,0.2,2.5,8.39
1638907532,DIAMOND,7.9,8.1,855355,7177105,10070139,157390171,0.32,0.2,2.5,8.39
1638907545,DIAMOND,7.9,8.0,855412,7244828,10070139,157392448,0.32,0.1,1.3,8.47
1638907557,DIAMOND,7.9,8.0,855412,7293391,10070139,157393885,0.32,0.1,1.3,8.53
1638907570,DIAMOND,7.9,8.1,854898,7288898,10070653,157398378,0.32,0.2,2.5,8.53
1638907607,DIAMOND,8.0,8.1,854274,7284315,10071277,157402961,0.32,0.1,1.2,8.53
1638907625,DIAMOND,7.4,8.1,852994,7277544,10072557,157410532,0.32,0.7,9.5,8.53
1638907672,DIAMOND,7.4,8.0,848112,7260622,10077439,157427454,0.32,0.6,8.1,8.56
