UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_BLAZE_POWDER,2043.7,2398.3,126886,684511,819581,931961,5.14,354.6,17.4,5.39
1638903006,ENCHANTED_BLAZE_POWDER,2043.5,2398.1,127350,684372,819583,932100,5.14,354.6,17.4,5.37
1638903006,ENCHANTED_BLAZE_POWDER,2043.5,2398.1,127350,684372,819583,932100,5.14,354.6,17.4,5.37
1638903057,ENCHANTED_BLAZE_POWDER,2042.4,2398.1,127350,684216,819583,932256,5.14,355.7,17.4,5.37
1638903086,ENCHANTED_BLAZE_POWDER,2042.4,2398.1,127350,683581,819583,932891,5.13,355.7,17.4,5.37
1638903086,ENCHANTED_BLAZE_POWDER,2042.4,2398.1,127350,683581,819583,932891,5.13,355.7,17.4,5.37
1638903086,ENCHANTED_BLAZE_POWDER,2042.4,2398.1,127350,683581,819583,932891,5.13,355.7,17.4,5.37
1638903086,ENCHANTED_BLAZE_POWDER,2042.4,2398.1,127350,683581,819583,932891,5.13,355.7,17.4,5.37
1638903226,ENCHANTED_BLAZE_POWDER,2042.4,2397.9,127972,683448,819583,933024,5.13,355.5,17.4,5.34
1638903233,ENCHANTED_BLAZE_POWDER,2042.4,2397.9,127972,683448,819583,933024,5.13,355.5,17.4,5.34
1638903240,ENCHANTED_BLAZE_POWDER,2042.4,2397.9,127668,683448,819587,933024,5.13,355.5,17.4,5.35
1638903248,ENCHANTED_BLAZE_POWDER,2042.4,2397.9,127668,683448,819587,933024,5.13,355.5,17.4,5.35
1638903855,ENCHANTED_BLAZE_POWDER,2042.6,2397.6,128258,687689,819701,934107,5.15,355.0,17.4,5.36
1638904100,ENCHANTED_BLAZE_POWDER,2042.5,2361.9,128870,687386,819711,934510,5.15,319.4,15.6,5.33
1638904100,ENCHANTED_BLAZE_POWDER,2042.5,2361.9,128870,687386,819711,934510,5.15,319.4,15.6,5.33
1638904100,ENCHANTED_BLAZE_POWDER,2042.5,2361.9,128870,687386,819711,934510,5.15,319.4,15.6,5.33
1638904189,ENCHANTED_BLAZE_POWDER,2042.6,2361.6,129960,688344,819711,934576,5.16,319.0,15.6,5.3
1638904196,ENCHANTED_BLAZE_POWDER,2042.6,2361.6,129960,688344,819711,934576,5.16,319.0,15.6,5.3
1638905497,ENCHANTED_BLAZE_POWDER,2042.8,2360.8,131476,692306,816732,931327,5.2,318.0,15.6,5.27
1638905504,ENCHANTED_BLAZE_POWDER,2042.8,2360.8,131476,692306,816732,931327,5.2,318.0,15.6,5.27
1638906506,ENCHANTED_BLAZE_POWDER,2042.8,2360.1,133121,691882,817128,933335,5.19,317.3,15.5,5.2
1638906538,ENCHANTED_BLAZE_POWDER,2042.8,2360.1,133520,691881,817128,933336,5.19,317.3,15.5,5.18
1638906598,ENCHANTED_BLAZE_POWDER,2042.8,2360.0,133204,691862,817129,933355,5.19,317.2,15.5,5.19
1638906612,ENCHANTED_BLAZE_POWDER,2042.8,2360.0,133204,691862,817129,933355,5.19,317.2,15.5,5.19
1638906620,ENCHANTED_BLAZE_POWDER,2042.8,2360.0,133204,691862,817129,933355,5.19,317.2,15.5,5.19
1638906646,ENCHANTED_BLAZE_POWDER,2042.8,2360.0,133204,691862,817129,933355,5.19,317.2,15.5,5.19
1638906653,ENCHANTED_BLAZE_POWDER,2042.8,2360.0,133204,691859,817129,933358,5.19,317.2,15.5,5.19
1638906660,ENCHANTED_BLAZE_POWDER,2042.8,2360.0,133204,691859,817129,933358,5.19,317.2,15.5,5.19
1638906889,ENCHANTED_BLAZE_POWDER,2042.7,2359.5,133527,691606,817140,933611,5.19,316.8,15.5,5.18
1638906898,ENCHANTED_BLAZE_POWDER,2042.7,2359.4,133527,691580,817140,933637,5.19,316.7,15.5,5.18
1638906939,ENCHANTED_BLAZE_POWDER,2042.7,2359.4,135036,691548,817140,933669,5.18,316.7,15.5,5.12
1638906980,ENCHANTED_BLAZE_POWDER,2042.7,2359.4,135036,691501,817140,933716,5.18,316.7,15.5,5.12
1638907080,ENCHANTED_BLAZE_POWDER,2042.7,2359.4,135036,691494,817140,933723,5.18,316.7,15.5,5.12
1638907129,ENCHANTED_BLAZE_POWDER,2042.7,2359.4,135036,691418,817140,933799,5.18,316.7,15.5,5.12
1638907209,ENCHANTED_BLAZE_POWDER,2042.7,2359.4,135036,691402,817140,933815,5.18,316.7,15.5,5.12
