UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_BLAZE_ROD,313021.6,336415.7,39945,295729,54053,37168,55.7,23394.1,7.5,7.4
1638903006,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40076,295729,54053,37168,55.7,23394.0,7.5,7.38
1638903006,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40076,295729,54053,37168,55.7,23394.0,7.5,7.38
1638903057,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40046,295699,54053,37198,55.65,23394.0,7.5,7.38
1638903086,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40046,295699,54053,37198,55.65,23394.0,7.5,7.38
1638903086,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40046,295699,54053,37198,55.65,23394.0,7.5,7.38
1638903086,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40046,295699,54053,37198,55.65,23394.0,7.5,7.38
1638903086,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40046,295699,54053,37198,55.65,23394.0,7.5,7.38
1638903226,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40046,295699,54053,37198,55.65,23394.0,7.5,7.38
1638903233,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40046,295699,54053,37198,55.65,23394.0,7.5,7.38
1638903240,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40046,295699,54053,37198,55.65,23394.0,7.5,7.38
1638903248,ENCHANTED_BLAZE_ROD,313021.6,336415.6,40046,295699,54053,37198,55.65,23394.0,7.5,7.38
1638903855,ENCHANTED_BLAZE_ROD,314191.7,336415.6,40014,295699,54085,37208,55.63,22223.9,7.1,7.39
1638904100,ENCHANTED_BLAZE_ROD,314191.9,336415.6,40083,295723,54085,37221,55.62,22223.7,7.1,7.38
1638904100,ENCHANTED_BLAZE_ROD,314191.9,336415.6,40083,295723,54085,37221,55.62,22223.7,7.1,7.38
1638904100,ENCHANTED_BLAZE_ROD,314191.9,336415.6,40083,295723,54085,37221,55.62,22223.7,7.1,7.38
1638904189,ENCHANTED_BLAZE_ROD,314192.1,336415.6,40014,295723,54085,37221,55.62,22223.5,7.1,7.39
1638904196,ENCHANTED_BLAZE_ROD,314192.1,336415.6,40014,295723,54085,37221,55.62,22223.5,7.1,7.39
1638905497,ENCHANTED_BLAZE_ROD,315305.4,336415.4,39999,295849,54100,37223,55.64,21110.0,6.7,7.4
1638905504,ENCHANTED_BLAZE_ROD,315305.4,336415.4,39999,295849,54100,37223,55.64,21110.0,6.7,7.4
