UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_BONE,372.8,428.3,297623,633745,1508106,2035793,2.18,55.5,14.9,2.13
1638903006,ENCHANTED_BONE,372.8,428.1,297786,633428,1508107,2035918,2.18,55.3,14.8,2.13
1638903006,ENCHANTED_BONE,372.8,428.1,297786,633428,1508107,2035918,2.18,55.3,14.8,2.13
1638903057,ENCHANTED_BONE,372.8,428.1,297906,633320,1508112,2036026,2.18,55.3,14.8,2.13
1638903086,ENCHANTED_BONE,372.9,428.1,297898,632939,1508120,2036567,2.18,55.2,14.8,2.12
1638903086,ENCHANTED_BONE,372.9,428.1,297898,632939,1508120,2036567,2.18,55.2,14.8,2.12
1638903086,ENCHANTED_BONE,372.9,428.1,297898,632939,1508120,2036567,2.18,55.2,14.8,2.12
1638903086,ENCHANTED_BONE,372.9,428.1,297898,632939,1508120,2036567,2.18,55.2,14.8,2.12
1638903226,ENCHANTED_BONE,372.8,427.9,297842,632098,1508184,2037233,2.17,55.1,14.8,2.12
1638903233,ENCHANTED_BONE,372.8,427.9,297842,632098,1508184,2037233,2.17,55.1,14.8,2.12
1638903240,ENCHANTED_BONE,372.8,427.9,297843,632072,1508184,2037259,2.17,55.1,14.8,2.12
1638903248,ENCHANTED_BONE,372.8,427.9,297843,632072,1508184,2037259,2.17,55.1,14.8,2.12
1638903855,ENCHANTED_BONE,369.8,427.9,297845,628963,1508449,2040596,2.16,58.1,15.7,2.11
1638904100,ENCHANTED_BONE,369.8,456.5,297573,628780,1508745,2040979,2.16,86.7,23.4,2.11
1638904100,ENCHANTED_BONE,369.8,456.5,297573,628780,1508745,2040979,2.16,86.7,23.4,2.11
1638904100,ENCHANTED_BONE,369.8,456.5,297573,628780,1508745,2040979,2.16,86.7,23.4,2.11
1638904189,ENCHANTED_BONE,369.8,456.4,297637,628422,1505203,2032553,2.16,86.6,23.4,2.11
1638904196,ENCHANTED_BONE,369.8,456.4,297637,628422,1505203,2032553,2.16,86.6,23.4,2.11
1638905497,ENCHANTED_BONE,370.0,456.1,299571,625565,1507823,2037534,2.15,86.1,23.3,2.09
1638905504,ENCHANTED_BONE,370.0,456.1,299571,625565,1507823,2037534,2.15,86.1,23.3,2.09
