UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_BREAD,56.3,61.4,14479,1011291,278974,989501,7.15,5.1,9.1,69.85
1638903006,ENCHANTED_BREAD,56.3,61.4,14479,1011291,278974,989501,7.15,5.1,9.1,69.85
1638903006,ENCHANTED_BREAD,56.3,61.4,14479,1011291,278974,989501,7.15,5.1,9.1,69.85
1638903057,ENCHANTED_BREAD,56.3,61.4,14479,1011291,278974,989501,7.15,5.1,9.1,69.85
1638903086,ENCHANTED_BREAD,56.3,61.4,14479,1011291,278974,989501,7.15,5.1,9.1,69.85
1638903086,ENCHANTED_BREAD,56.3,61.4,14479,1011291,278974,989501,7.15,5.1,9.1,69.85
1638903086,ENCHANTED_BREAD,56.3,61.4,14479,1011291,278974,989501,7.15,5.1,9.1,69.85
1638903086,ENCHANTED_BREAD,56.3,61.4,14479,1011291,278974,989501,7.15,5.1,9.1,69.85
1638903226,ENCHANTED_BREAD,56.3,61.4,14478,1011284,278975,989508,7.15,5.1,9.1,69.85
1638903233,ENCHANTED_BREAD,56.3,61.4,14478,1011284,278975,989508,7.15,5.1,9.1,69.85
1638903240,ENCHANTED_BREAD,56.3,61.4,14478,1011148,278975,989644,7.15,5.1,9.1,69.84
1638903248,ENCHANTED_BREAD,56.3,61.4,14478,1011148,278975,989644,7.15,5.1,9.1,69.84
1638903855,ENCHANTED_BREAD,56.2,70.0,10150,1050313,283329,990501,7.42,13.8,24.6,103.48
1638904100,ENCHANTED_BREAD,56.3,70.0,10148,1051326,283331,990512,7.43,13.7,24.3,103.6
1638904100,ENCHANTED_BREAD,56.3,70.0,10148,1051326,283331,990512,7.43,13.7,24.3,103.6
1638904100,ENCHANTED_BREAD,56.3,70.0,10148,1051326,283331,990512,7.43,13.7,24.3,103.6
1638904189,ENCHANTED_BREAD,56.4,70.0,10148,1011233,283331,990939,7.14,13.6,24.1,99.65
1638904196,ENCHANTED_BREAD,56.4,70.0,10148,1011233,283331,990939,7.14,13.6,24.1,99.65
1638905497,ENCHANTED_BREAD,55.3,69.9,10193,1008140,283333,993611,7.1,14.6,26.4,98.91
1638905504,ENCHANTED_BREAD,55.3,69.9,10193,1008140,283333,993611,7.1,14.6,26.4,98.91
1638906506,ENCHANTED_BREAD,55.1,69.7,10494,1007752,283334,993999,7.1,14.6,26.5,96.03
1638906538,ENCHANTED_BREAD,55.1,69.7,10493,1007752,283335,993999,7.1,14.6,26.5,96.04
