UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_CACTUS_GREEN,1699.5,1999.9,146401,1040388,720431,466153,15.62,300.4,17.7,7.11
1638903006,ENCHANTED_CACTUS_GREEN,1699.6,1999.9,146355,1040888,720500,466153,15.63,300.3,17.7,7.11
1638903006,ENCHANTED_CACTUS_GREEN,1699.6,1999.9,146355,1040888,720500,466153,15.63,300.3,17.7,7.11
1638903057,ENCHANTED_CACTUS_GREEN,1699.6,2032.9,146098,1040888,720757,466153,15.63,333.3,19.6,7.12
1638903086,ENCHANTED_CACTUS_GREEN,1699.6,2032.9,146098,1040888,720757,466153,15.63,333.3,19.6,7.12
1638903086,ENCHANTED_CACTUS_GREEN,1699.6,2032.9,146098,1040888,720757,466153,15.63,333.3,19.6,7.12
1638903086,ENCHANTED_CACTUS_GREEN,1699.6,2032.9,146098,1040888,720757,466153,15.63,333.3,19.6,7.12
1638903086,ENCHANTED_CACTUS_GREEN,1699.6,2032.9,146098,1040888,720757,466153,15.63,333.3,19.6,7.12
1638903226,ENCHANTED_CACTUS_GREEN,1699.7,2000.0,146132,1042238,720757,466153,15.65,300.3,17.7,7.13
1638903233,ENCHANTED_CACTUS_GREEN,1699.7,2000.0,146132,1042238,720757,466153,15.65,300.3,17.7,7.13
1638903240,ENCHANTED_CACTUS_GREEN,1699.7,2000.0,146132,1042238,720757,466153,15.65,300.3,17.7,7.13
1638903248,ENCHANTED_CACTUS_GREEN,1699.7,2000.0,146132,1042238,720757,466153,15.65,300.3,17.7,7.13
1638903855,ENCHANTED_CACTUS_GREEN,1699.8,2032.8,145638,1042077,721461,466322,15.64,333.0,19.6,7.16
1638904100,ENCHANTED_CACTUS_GREEN,1699.7,2032.7,145843,1042052,721461,466347,15.64,333.0,19.6,7.15
1638904100,ENCHANTED_CACTUS_GREEN,1699.7,2032.7,145843,1042052,721461,466347,15.64,333.0,19.6,7.15
1638904100,ENCHANTED_CACTUS_GREEN,1699.7,2032.7,145843,1042052,721461,466347,15.64,333.0,19.6,7.15
1638904189,ENCHANTED_CACTUS_GREEN,1699.7,2032.7,145843,1042052,721461,466347,15.64,333.0,19.6,7.15
1638904196,ENCHANTED_CACTUS_GREEN,1699.7,2032.7,145843,1042052,721461,466347,15.64,333.0,19.6,7.15
1638905497,ENCHANTED_CACTUS_GREEN,1699.8,2032.9,139718,1041932,724800,468499,15.57,333.1,19.6,7.46
1638905504,ENCHANTED_CACTUS_GREEN,1699.8,2032.9,139718,1041932,724800,468499,15.57,333.1,19.6,7.46
