UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_CARROT,327.1,338.3,2359422,2497186,4894898,28530342,0.61,11.2,3.4000000000000004,1.06
1638903006,ENCHANTED_CARROT,327.1,337.9,2363902,2494909,4895666,28532619,0.61,10.8,3.3000000000000003,1.06
1638903006,ENCHANTED_CARROT,327.1,337.9,2363902,2494909,4895666,28532619,0.61,10.8,3.3000000000000003,1.06
1638903057,ENCHANTED_CARROT,327.1,338.1,2360254,2494770,4899314,28532758,0.61,11.0,3.4000000000000004,1.06
1638903086,ENCHANTED_CARROT,327.1,338.1,2361148,2494770,4899378,28532758,0.61,11.0,3.4000000000000004,1.06
1638903086,ENCHANTED_CARROT,327.1,338.1,2361148,2494770,4899378,28532758,0.61,11.0,3.4000000000000004,1.06
1638903086,ENCHANTED_CARROT,327.1,338.1,2361148,2494770,4899378,28532758,0.61,11.0,3.4000000000000004,1.06
1638903086,ENCHANTED_CARROT,327.1,338.1,2361148,2494770,4899378,28532758,0.61,11.0,3.4000000000000004,1.06
1638903226,ENCHANTED_CARROT,327.2,338.0,2361339,2536926,4900402,28538090,0.62,10.8,3.3000000000000003,1.07
1638903233,ENCHANTED_CARROT,327.2,338.0,2361339,2536926,4900402,28538090,0.62,10.8,3.3000000000000003,1.07
1638903240,ENCHANTED_CARROT,327.2,338.0,2364685,2536924,4900466,28538092,0.62,10.8,3.3000000000000003,1.07
1638903248,ENCHANTED_CARROT,327.2,338.0,2364685,2536924,4900466,28538092,0.62,10.8,3.3000000000000003,1.07
1638903855,ENCHANTED_CARROT,327.1,337.6,2362727,2489643,4902037,28586371,0.61,10.5,3.2,1.05
1638904100,ENCHANTED_CARROT,327.2,337.7,2361415,2464309,4903541,28628035,0.6,10.5,3.2,1.04
1638904100,ENCHANTED_CARROT,327.2,337.7,2361415,2464309,4903541,28628035,0.6,10.5,3.2,1.04
1638904100,ENCHANTED_CARROT,327.2,337.7,2361415,2464309,4903541,28628035,0.6,10.5,3.2,1.04
1638904189,ENCHANTED_CARROT,327.2,337.7,2360436,2461850,4905614,28630494,0.6,10.5,3.2,1.04
1638904196,ENCHANTED_CARROT,327.2,337.7,2360436,2461850,4905614,28630494,0.6,10.5,3.2,1.04
1638905497,ENCHANTED_CARROT,327.4,338.9,2341347,2581821,4916478,28654187,0.63,11.5,3.5000000000000004,1.1
1638905504,ENCHANTED_CARROT,327.4,338.9,2341347,2581821,4916478,28654187,0.63,11.5,3.5000000000000004,1.1
1638906506,ENCHANTED_CARROT,328.0,335.0,2395664,2670049,4923443,28725032,0.65,7.0,2.1,1.11
1638906538,ENCHANTED_CARROT,328.1,335.0,2395664,2669882,4923443,28726895,0.65,6.9,2.1,1.11
1638906598,ENCHANTED_CARROT,328.2,335.3,2393104,2670916,4926003,28728421,0.65,7.1,2.2,1.12
1638906612,ENCHANTED_CARROT,328.2,335.4,2393104,2670913,4926003,28728424,0.65,7.2,2.2,1.12
1638906620,ENCHANTED_CARROT,328.2,335.4,2393104,2670913,4926003,28728424,0.65,7.2,2.2,1.12
1638906646,ENCHANTED_CARROT,328.3,335.4,2391888,2742369,4927219,28728648,0.67,7.1,2.2,1.15
1638906653,ENCHANTED_CARROT,328.3,335.4,2391888,2742369,4927219,28728648,0.67,7.1,2.2,1.15
1638906660,ENCHANTED_CARROT,328.3,335.4,2392898,2742369,4927219,28728648,0.67,7.1,2.2,1.15
1638906889,ENCHANTED_CARROT,328.5,334.5,2412297,2744114,4927893,28736310,0.67,6.0,1.7999999999999998,1.14
1638906898,ENCHANTED_CARROT,328.5,334.5,2412297,2744750,4927893,28736314,0.67,6.0,1.7999999999999998,1.14
1638906939,ENCHANTED_CARROT,328.5,334.4,2412361,2744483,4927893,28736581,0.67,5.9,1.7999999999999998,1.14
1638906980,ENCHANTED_CARROT,328.5,334.7,2410313,2744329,4929941,28736735,0.67,6.2,1.9,1.14
1638907080,ENCHANTED_CARROT,328.3,333.4,2410436,2742191,4929941,28738873,0.67,5.1,1.6,1.14
1638907129,ENCHANTED_CARROT,328.4,333.4,2412041,2748579,4929942,28740165,0.67,5.0,1.5,1.14
1638907209,ENCHANTED_CARROT,328.5,333.4,2412610,2761425,4929942,28740319,0.67,4.9,1.5,1.14
1638907229,ENCHANTED_CARROT,328.5,333.4,2412610,2761357,4929942,28740387,0.67,4.9,1.5,1.14
1638907265,ENCHANTED_CARROT,328.4,333.3,2412625,2743405,4929942,28758339,0.67,4.9,1.5,1.14
1638907280,ENCHANTED_CARROT,328.4,333.3,2412625,2743393,4929942,28758351,0.67,4.9,1.5,1.14
1638907311,ENCHANTED_CARROT,328.4,333.3,2412625,2743393,4929942,28758351,0.67,4.9,1.5,1.14
1638907322,ENCHANTED_CARROT,328.4,333.3,2412625,2743389,4929942,28758355,0.67,4.9,1.5,1.14
1638907346,ENCHANTED_CARROT,328.4,333.3,2412625,2743060,4929942,28758684,0.67,4.9,1.5,1.14
1638907359,ENCHANTED_CARROT,328.4,333.3,2412625,2743060,4929942,28758684,0.67,4.9,1.5,1.14
1638907396,ENCHANTED_CARROT,327.3,333.3,2412625,2589337,4929942,28906599,0.63,6.0,1.7999999999999998,1.07
1638907404,ENCHANTED_CARROT,327.3,333.3,2412625,2589337,4929942,28906599,0.63,6.0,1.7999999999999998,1.07
1638907415,ENCHANTED_CARROT,327.3,333.3,2412625,2490742,4929942,29005194,0.6,6.0,1.7999999999999998,1.03
1638907521,ENCHANTED_CARROT,327.3,333.1,2485156,2490669,4929943,29005267,0.6,5.8,1.7999999999999998,1.0
1638907532,ENCHANTED_CARROT,327.3,333.1,2485156,2490669,4929943,29005267,0.6,5.8,1.7999999999999998,1.0
1638907545,ENCHANTED_CARROT,327.3,333.4,2485156,2490661,4929943,29005275,0.6,6.1,1.9,1.0
1638907557,ENCHANTED_CARROT,327.3,333.4,2483300,2447383,4931799,29005347,0.59,6.1,1.9,-1.01
1638907570,ENCHANTED_CARROT,327.3,333.4,2482980,2445506,4932119,29007224,0.59,6.1,1.9,-1.02
1638907607,ENCHANTED_CARROT,327.3,333.4,2482980,2442345,4932119,29010385,0.59,6.1,1.9,-1.02
1638907625,ENCHANTED_CARROT,327.3,333.4,2482892,2442345,4932120,29010385,0.59,6.1,1.9,-1.02
1638907672,ENCHANTED_CARROT,327.3,333.4,2482892,2440991,4932120,29011739,0.59,6.1,1.9,-1.02
