UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_COAL,713.1,756.9,136596,195782,2455656,4831872,0.28,43.8,6.1,1.43
1638903006,ENCHANTED_COAL,713.0,756.9,137054,193990,2455778,4833664,0.28,43.9,6.2,1.42
1638903006,ENCHANTED_COAL,713.0,756.9,137054,193990,2455778,4833664,0.28,43.9,6.2,1.42
1638903057,ENCHANTED_COAL,713.0,756.6,139748,193587,2455789,4834067,0.28,43.6,6.1,1.39
1638903086,ENCHANTED_COAL,713.0,756.5,139738,193324,2455799,4834330,0.28,43.5,6.1,1.38
1638903086,ENCHANTED_COAL,713.0,756.5,139738,193324,2455799,4834330,0.28,43.5,6.1,1.38
1638903086,ENCHANTED_COAL,713.0,756.5,139738,193324,2455799,4834330,0.28,43.5,6.1,1.38
1638903086,ENCHANTED_COAL,713.0,756.5,139738,193324,2455799,4834330,0.28,43.5,6.1,1.38
1638903226,ENCHANTED_COAL,713.2,756.6,138526,192685,2457192,4834989,0.28,43.4,6.1,1.39
1638903233,ENCHANTED_COAL,713.2,756.6,138526,192685,2457192,4834989,0.28,43.4,6.1,1.39
1638903240,ENCHANTED_COAL,713.2,756.6,138526,193541,2457192,4835157,0.28,43.4,6.1,1.4
1638903248,ENCHANTED_COAL,713.2,756.6,138526,193541,2457192,4835157,0.28,43.4,6.1,1.4
1638903855,ENCHANTED_COAL,713.0,750.0,138807,168178,2458033,4840599,0.24,37.0,5.2,1.21
1638904100,ENCHANTED_COAL,711.1,756.7,137069,167526,2459692,4842005,0.24,45.6,6.4,1.22
1638904100,ENCHANTED_COAL,711.1,756.7,137069,167526,2459692,4842005,0.24,45.6,6.4,1.22
1638904100,ENCHANTED_COAL,711.1,756.7,137069,167526,2459692,4842005,0.24,45.6,6.4,1.22
1638904189,ENCHANTED_COAL,711.1,756.7,137196,166883,2459786,4842648,0.24,45.6,6.4,1.22
1638904196,ENCHANTED_COAL,711.1,756.7,137196,166883,2459786,4842648,0.24,45.6,6.4,1.22
1638905497,ENCHANTED_COAL,700.5,756.3,137688,218427,2464102,4855075,0.31,55.8,8.0,1.59
1638905504,ENCHANTED_COAL,700.5,756.3,137688,218427,2464102,4855075,0.31,55.8,8.0,1.59
1638906506,ENCHANTED_COAL,701.4,757.5,135937,192365,2467837,4859824,0.28,56.1,8.0,1.42
1638906538,ENCHANTED_COAL,701.4,757.4,136771,192194,2467911,4859995,0.28,56.0,8.0,1.41
1638906598,ENCHANTED_COAL,701.4,757.4,136751,191356,2468061,4860833,0.28,56.0,8.0,1.4
