UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_COAL_BLOCK,112304.2,119181.1,7236,45741,55069,89128,3.59,6876.9,6.1,6.32
1638903006,ENCHANTED_COAL_BLOCK,112304.3,119181.1,7238,45703,55071,89166,3.59,6876.8,6.1,6.31
1638903006,ENCHANTED_COAL_BLOCK,112304.3,119181.1,7238,45703,55071,89166,3.59,6876.8,6.1,6.31
1638903057,ENCHANTED_COAL_BLOCK,112304.4,119181.0,7691,44813,55071,89173,3.52,6876.6,6.1,5.83
1638903086,ENCHANTED_COAL_BLOCK,112304.5,119181.0,7688,45726,55073,89175,3.59,6876.5,6.1,5.95
1638903086,ENCHANTED_COAL_BLOCK,112304.5,119181.0,7688,45726,55073,89175,3.59,6876.5,6.1,5.95
1638903086,ENCHANTED_COAL_BLOCK,112304.5,119181.0,7688,45726,55073,89175,3.59,6876.5,6.1,5.95
1638903086,ENCHANTED_COAL_BLOCK,112304.5,119181.0,7688,45726,55073,89175,3.59,6876.5,6.1,5.95
1638903226,ENCHANTED_COAL_BLOCK,112304.6,119180.9,7695,45690,55077,89187,3.59,6876.3,6.1,5.94
1638903233,ENCHANTED_COAL_BLOCK,112304.6,119180.9,7695,45690,55077,89187,3.59,6876.3,6.1,5.94
1638903240,ENCHANTED_COAL_BLOCK,112304.6,119180.9,7691,45661,55081,89216,3.58,6876.3,6.1,5.94
1638903248,ENCHANTED_COAL_BLOCK,112304.6,119180.9,7691,45661,55081,89216,3.58,6876.3,6.1,5.94
1638903855,ENCHANTED_COAL_BLOCK,112650.0,119180.9,7686,47377,55087,89267,3.72,6530.9,5.800000000000001,6.16
1638904100,ENCHANTED_COAL_BLOCK,112305.2,119180.7,7256,46733,55097,89721,3.65,6875.5,6.1,6.44
1638904100,ENCHANTED_COAL_BLOCK,112305.2,119180.7,7256,46733,55097,89721,3.65,6875.5,6.1,6.44
1638904100,ENCHANTED_COAL_BLOCK,112305.2,119180.7,7256,46733,55097,89721,3.65,6875.5,6.1,6.44
1638904189,ENCHANTED_COAL_BLOCK,112305.1,119180.8,7256,46722,55097,89732,3.64,6875.7,6.1,6.44
1638904196,ENCHANTED_COAL_BLOCK,112305.1,119180.8,7256,46722,55097,89732,3.64,6875.7,6.1,6.44
1638905497,ENCHANTED_COAL_BLOCK,112649.8,119181.2,7176,47890,52082,86912,3.86,6531.4,5.800000000000001,6.67
1638905504,ENCHANTED_COAL_BLOCK,112649.8,119181.2,7176,47890,52082,86912,3.86,6531.4,5.800000000000001,6.67
