UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_DIAMOND,1270.7,1278.4,519717,907324,7148238,46114715,0.14,7.7,0.6,1.75
1638903006,ENCHANTED_DIAMOND,1270.7,1278.0,520720,970905,7148379,46121390,0.15,7.3,0.6,1.86
1638903006,ENCHANTED_DIAMOND,1270.7,1278.0,520720,970905,7148379,46121390,0.15,7.3,0.6,1.86
1638903057,ENCHANTED_DIAMOND,1270.7,1279.3,516100,967608,7152731,46124687,0.15,8.6,0.7000000000000001,1.87
1638903086,ENCHANTED_DIAMOND,1270.7,1279.2,516275,965953,7152891,46126342,0.15,8.5,0.7000000000000001,1.87
1638903086,ENCHANTED_DIAMOND,1270.7,1279.2,516275,965953,7152891,46126342,0.15,8.5,0.7000000000000001,1.87
1638903086,ENCHANTED_DIAMOND,1270.7,1279.2,516275,965953,7152891,46126342,0.15,8.5,0.7000000000000001,1.87
1638903086,ENCHANTED_DIAMOND,1270.7,1279.2,516275,965953,7152891,46126342,0.15,8.5,0.7000000000000001,1.87
1638903226,ENCHANTED_DIAMOND,1270.7,1279.2,515539,956613,7154462,46140938,0.15,8.5,0.7000000000000001,1.86
1638903233,ENCHANTED_DIAMOND,1270.7,1279.2,515539,956613,7154462,46140938,0.15,8.5,0.7000000000000001,1.86
1638903240,ENCHANTED_DIAMOND,1270.7,1279.1,515539,954641,7154462,46142910,0.14,8.4,0.7000000000000001,1.85
1638903248,ENCHANTED_DIAMOND,1270.7,1279.1,515539,954641,7154462,46142910,0.14,8.4,0.7000000000000001,1.85
1638903855,ENCHANTED_DIAMOND,1270.9,1276.7,586054,1007454,7157998,46202343,0.15,5.8,0.5,1.72
1638904100,ENCHANTED_DIAMOND,1270.9,1275.8,587102,981127,7158814,46229438,0.15,4.9,0.4,1.67
1638904100,ENCHANTED_DIAMOND,1270.9,1275.8,587102,981127,7158814,46229438,0.15,4.9,0.4,1.67
1638904100,ENCHANTED_DIAMOND,1270.9,1275.8,587102,981127,7158814,46229438,0.15,4.9,0.4,1.67
1638904189,ENCHANTED_DIAMOND,1270.9,1275.7,587747,971609,7158820,46238966,0.15,4.8,0.4,1.65
1638904196,ENCHANTED_DIAMOND,1270.9,1275.7,587747,971609,7158820,46238966,0.15,4.8,0.4,1.65
1638905497,ENCHANTED_DIAMOND,1270.8,1271.9,593720,906360,7165027,46355454,0.14,1.1,0.1,1.53
1638905504,ENCHANTED_DIAMOND,1270.8,1271.9,593720,906360,7165027,46355454,0.14,1.1,0.1,1.53
