UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_DIAMOND_BLOCK,203302.2,205031.0,32140,4089988,213695,466097,61.42,1728.8,0.8999999999999999,127.26
1638903006,ENCHANTED_DIAMOND_BLOCK,203302.2,205030.9,32164,4089946,213695,466139,61.42,1728.7,0.8999999999999999,127.16
1638903006,ENCHANTED_DIAMOND_BLOCK,203302.2,205030.9,32164,4089946,213695,466139,61.42,1728.7,0.8999999999999999,127.16
1638903057,ENCHANTED_DIAMOND_BLOCK,203302.2,205030.9,32164,4089938,213695,466147,61.42,1728.7,0.8999999999999999,127.16
1638903086,ENCHANTED_DIAMOND_BLOCK,203302.2,205030.8,32164,4089933,213695,466152,61.42,1728.6,0.8999999999999999,127.16
1638903086,ENCHANTED_DIAMOND_BLOCK,203302.2,205030.8,32164,4089933,213695,466152,61.42,1728.6,0.8999999999999999,127.16
1638903086,ENCHANTED_DIAMOND_BLOCK,203302.2,205030.8,32164,4089933,213695,466152,61.42,1728.6,0.8999999999999999,127.16
1638903086,ENCHANTED_DIAMOND_BLOCK,203302.2,205030.8,32164,4089933,213695,466152,61.42,1728.6,0.8999999999999999,127.16
1638903226,ENCHANTED_DIAMOND_BLOCK,203302.4,205030.8,32116,4090067,213719,466261,61.4,1728.4,0.8999999999999999,127.35
1638903233,ENCHANTED_DIAMOND_BLOCK,203302.4,205030.8,32116,4090067,213719,466261,61.4,1728.4,0.8999999999999999,127.35
1638903240,ENCHANTED_DIAMOND_BLOCK,203302.4,205030.8,32116,4090060,213719,466268,61.4,1728.4,0.8999999999999999,127.35
1638903248,ENCHANTED_DIAMOND_BLOCK,203302.4,205030.8,32116,4090060,213719,466268,61.4,1728.4,0.8999999999999999,127.35
1638903855,ENCHANTED_DIAMOND_BLOCK,203302.3,205030.4,32125,4089919,213738,466548,61.36,1728.1,0.8999999999999999,127.31
