UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_EGG,3010.8,6618.5,19121,1017074,61773,568987,12.51,3607.7,119.8,53.19
1638903006,ENCHANTED_EGG,3010.8,6618.4,19159,1017074,61773,568987,12.51,3607.6,119.8,53.09
1638903006,ENCHANTED_EGG,3010.8,6618.4,19159,1017074,61773,568987,12.51,3607.6,119.8,53.09
1638903057,ENCHANTED_EGG,3010.8,6618.4,18888,1017074,61773,568987,12.51,3607.6,119.8,53.85
1638903086,ENCHANTED_EGG,3010.8,6618.4,18888,1017038,61773,569023,12.51,3607.6,119.8,53.85
1638903086,ENCHANTED_EGG,3010.8,6618.4,18888,1017038,61773,569023,12.51,3607.6,119.8,53.85
1638903086,ENCHANTED_EGG,3010.8,6618.4,18888,1017038,61773,569023,12.51,3607.6,119.8,53.85
1638903086,ENCHANTED_EGG,3010.8,6618.4,18888,1017038,61773,569023,12.51,3607.6,119.8,53.85
1638903226,ENCHANTED_EGG,3010.9,6257.2,18916,1016911,61773,569151,12.51,3246.3,107.8,53.76
1638903233,ENCHANTED_EGG,3010.9,6257.2,18916,1016911,61773,569151,12.51,3246.3,107.8,53.76
1638903240,ENCHANTED_EGG,3010.8,6257.1,19580,1016911,61773,569151,12.51,3246.3,107.8,51.94
1638903248,ENCHANTED_EGG,3010.8,6257.1,19580,1016911,61773,569151,12.51,3246.3,107.8,51.94
1638903855,ENCHANTED_EGG,3010.8,5931.4,22660,1016596,61889,569466,12.5,2920.6,97.0,44.86
1638904100,ENCHANTED_EGG,3010.8,5931.4,22886,1016538,61922,569524,12.49,2920.6,97.0,44.42
1638904100,ENCHANTED_EGG,3010.8,5931.4,22886,1016538,61922,569524,12.49,2920.6,97.0,44.42
1638904100,ENCHANTED_EGG,3010.8,5931.4,22886,1016538,61922,569524,12.49,2920.6,97.0,44.42
1638904189,ENCHANTED_EGG,3010.8,5931.4,22853,1016524,61955,569538,12.49,2920.6,97.0,44.48
1638904196,ENCHANTED_EGG,3010.8,5931.4,22853,1016524,61955,569538,12.49,2920.6,97.0,44.48
1638905497,ENCHANTED_EGG,3010.3,5930.0,26084,1015402,61999,570660,12.46,2919.7,97.0,38.93
1638905504,ENCHANTED_EGG,3010.3,5930.0,26084,1015402,61999,570660,12.46,2919.7,97.0,38.93
