UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_EMERALD,969.2,1067.1,328033,122776,1436568,1874780,0.46,97.9,10.1,-2.67
1638903006,ENCHANTED_EMERALD,969.2,1067.2,328023,122635,1436578,1874921,0.46,98.0,10.1,-2.67
1638903006,ENCHANTED_EMERALD,969.2,1067.2,328023,122635,1436578,1874921,0.46,98.0,10.1,-2.67
1638903057,ENCHANTED_EMERALD,969.2,1067.2,328022,122635,1436579,1874921,0.46,98.0,10.1,-2.67
1638903086,ENCHANTED_EMERALD,969.2,1067.2,328024,122598,1436579,1874958,0.46,98.0,10.1,-2.68
1638903086,ENCHANTED_EMERALD,969.2,1067.2,328024,122598,1436579,1874958,0.46,98.0,10.1,-2.68
1638903086,ENCHANTED_EMERALD,969.2,1067.2,328024,122598,1436579,1874958,0.46,98.0,10.1,-2.68
1638903086,ENCHANTED_EMERALD,969.2,1067.2,328024,122598,1436579,1874958,0.46,98.0,10.1,-2.68
1638903226,ENCHANTED_EMERALD,969.2,1067.7,327496,122209,1437125,1875347,0.46,98.5,10.2,-2.68
1638903233,ENCHANTED_EMERALD,969.2,1067.7,327496,122209,1437125,1875347,0.46,98.5,10.2,-2.68
1638903240,ENCHANTED_EMERALD,969.2,1067.7,327288,122041,1437333,1875525,0.46,98.5,10.2,-2.68
1638903248,ENCHANTED_EMERALD,969.2,1067.7,327288,122041,1437333,1875525,0.46,98.5,10.2,-2.68
1638903855,ENCHANTED_EMERALD,969.1,1068.8,327238,120052,1438907,1878127,0.45,99.7,10.3,-2.73
1638904100,ENCHANTED_EMERALD,969.2,1068.8,327020,120265,1439163,1878810,0.45,99.6,10.3,-2.72
1638904100,ENCHANTED_EMERALD,969.2,1068.8,327020,120265,1439163,1878810,0.45,99.6,10.3,-2.72
1638904100,ENCHANTED_EMERALD,969.2,1068.8,327020,120265,1439163,1878810,0.45,99.6,10.3,-2.72
1638904189,ENCHANTED_EMERALD,969.2,1068.8,326937,119846,1439291,1879276,0.45,99.6,10.3,-2.73
1638904196,ENCHANTED_EMERALD,969.2,1068.8,326937,119846,1439291,1879276,0.45,99.6,10.3,-2.73
1638905497,ENCHANTED_EMERALD,969.2,1069.3,322271,119247,1447893,1883473,0.44,100.1,10.3,-2.7
1638905504,ENCHANTED_EMERALD,969.2,1069.3,322271,119247,1447893,1883473,0.44,100.1,10.3,-2.7
1638906506,ENCHANTED_EMERALD,969.1,1069.3,321629,116311,1449439,1886409,0.43,100.2,10.3,-2.77
1638906538,ENCHANTED_EMERALD,969.1,1069.3,321595,116311,1449473,1886409,0.43,100.2,10.3,-2.76
1638906598,ENCHANTED_EMERALD,969.1,1069.3,321694,116214,1449481,1886506,0.43,100.2,10.3,-2.77
1638906612,ENCHANTED_EMERALD,969.1,1069.3,321694,116214,1449481,1886506,0.43,100.2,10.3,-2.77
1638906620,ENCHANTED_EMERALD,969.1,1069.3,321694,116214,1449481,1886506,0.43,100.2,10.3,-2.77
1638906646,ENCHANTED_EMERALD,969.1,1069.3,321677,116130,1449498,1886590,0.43,100.2,10.3,-2.77
1638906653,ENCHANTED_EMERALD,969.1,1069.2,321677,116065,1449498,1886655,0.43,100.1,10.3,-2.77
1638906660,ENCHANTED_EMERALD,969.1,1069.2,321743,116065,1449503,1886655,0.43,100.1,10.3,-2.77
1638906889,ENCHANTED_EMERALD,969.1,1069.5,318896,115089,1451602,1887631,0.43,100.4,10.4,-2.77
1638906898,ENCHANTED_EMERALD,969.1,1069.5,318896,114985,1451602,1887735,0.43,100.4,10.4,-2.77
1638906939,ENCHANTED_EMERALD,969.1,1069.5,318896,114982,1451602,1887738,0.43,100.4,10.4,-2.77
1638906980,ENCHANTED_EMERALD,969.1,1069.3,319005,114804,1451602,1887916,0.43,100.2,10.3,-2.78
1638907080,ENCHANTED_EMERALD,969.1,1069.2,319001,114669,1451612,1888051,0.43,100.1,10.3,-2.78
1638907129,ENCHANTED_EMERALD,969.1,1069.2,319001,114286,1451612,1888434,0.42,100.1,10.3,-2.79
1638907209,ENCHANTED_EMERALD,969.1,1069.2,319001,114146,1451612,1888574,0.42,100.1,10.3,-2.79
1638907229,ENCHANTED_EMERALD,969.1,1069.2,319001,113880,1451612,1888840,0.42,100.1,10.3,-2.8
1638907265,ENCHANTED_EMERALD,969.1,1069.2,319001,113700,1451612,1889020,0.42,100.1,10.3,-2.81
1638907280,ENCHANTED_EMERALD,969.1,1069.5,319001,113700,1451612,1889020,0.42,100.4,10.4,-2.81
1638907311,ENCHANTED_EMERALD,969.1,1069.5,318711,113578,1451902,1889142,0.42,100.4,10.4,-2.81
1638907322,ENCHANTED_EMERALD,969.1,1069.5,318711,113578,1451902,1889142,0.42,100.4,10.4,-2.81
1638907346,ENCHANTED_EMERALD,969.1,1069.5,318711,113371,1451902,1889349,0.42,100.4,10.4,-2.81
1638907359,ENCHANTED_EMERALD,969.1,1069.5,318711,113371,1451902,1889349,0.42,100.4,10.4,-2.81
1638907396,ENCHANTED_EMERALD,969.1,1069.5,318701,112405,1451912,1890315,0.42,100.4,10.4,-2.84
1638907404,ENCHANTED_EMERALD,969.1,1069.5,318701,112405,1451912,1890315,0.42,100.4,10.4,-2.84
1638907415,ENCHANTED_EMERALD,969.1,1069.4,318605,112404,1452008,1890316,0.42,100.3,10.3,-2.83
