UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_ENDSTONE,846.2,930.8,188847,104933,1088661,1235976,0.59,84.6,10.0,-1.8
1638903006,ENCHANTED_ENDSTONE,846.2,930.8,188839,104222,1088669,1236687,0.59,84.6,10.0,-1.81
1638903006,ENCHANTED_ENDSTONE,846.2,930.8,188839,104222,1088669,1236687,0.59,84.6,10.0,-1.81
1638903057,ENCHANTED_ENDSTONE,846.2,930.8,188838,104199,1088670,1236710,0.59,84.6,10.0,-1.81
1638903086,ENCHANTED_ENDSTONE,846.2,930.8,188838,104197,1088670,1236712,0.59,84.6,10.0,-1.81
1638903086,ENCHANTED_ENDSTONE,846.2,930.8,188838,104197,1088670,1236712,0.59,84.6,10.0,-1.81
1638903086,ENCHANTED_ENDSTONE,846.2,930.8,188838,104197,1088670,1236712,0.59,84.6,10.0,-1.81
1638903086,ENCHANTED_ENDSTONE,846.2,930.8,188838,104197,1088670,1236712,0.59,84.6,10.0,-1.81
1638903226,ENCHANTED_ENDSTONE,846.2,930.5,189784,103996,1089190,1236913,0.59,84.3,10.0,-1.82
1638903233,ENCHANTED_ENDSTONE,846.2,930.5,189784,103996,1089190,1236913,0.59,84.3,10.0,-1.82
1638903240,ENCHANTED_ENDSTONE,846.2,930.5,189783,103977,1089191,1236932,0.59,84.3,10.0,-1.83
1638903248,ENCHANTED_ENDSTONE,846.2,930.5,189783,103977,1089191,1236932,0.59,84.3,10.0,-1.83
1638903855,ENCHANTED_ENDSTONE,846.3,930.6,187372,104635,1062305,1208775,0.61,84.3,10.0,-1.79
1638904100,ENCHANTED_ENDSTONE,846.5,930.6,188249,105743,1062439,1209011,0.61,84.1,9.9,-1.78
1638904100,ENCHANTED_ENDSTONE,846.5,930.6,188249,105743,1062439,1209011,0.61,84.1,9.9,-1.78
1638904100,ENCHANTED_ENDSTONE,846.5,930.6,188249,105743,1062439,1209011,0.61,84.1,9.9,-1.78
1638904189,ENCHANTED_ENDSTONE,846.6,930.6,188249,114306,1062439,1210448,0.66,84.0,9.9,-1.65
1638904196,ENCHANTED_ENDSTONE,846.6,930.6,188249,114306,1062439,1210448,0.66,84.0,9.9,-1.65
1638905497,ENCHANTED_ENDSTONE,846.2,929.8,189558,102313,1065620,1214880,0.59,83.6,9.9,-1.85
1638905504,ENCHANTED_ENDSTONE,846.2,929.8,189558,102313,1065620,1214880,0.59,83.6,9.9,-1.85
1638906506,ENCHANTED_ENDSTONE,846.2,930.5,188111,100423,1068702,1217090,0.58,84.3,10.0,-1.87
1638906538,ENCHANTED_ENDSTONE,846.2,930.5,188113,100421,1068702,1217092,0.58,84.3,10.0,-1.87
1638906598,ENCHANTED_ENDSTONE,846.2,930.5,188189,100162,1068702,1217351,0.58,84.3,10.0,-1.88
1638906612,ENCHANTED_ENDSTONE,846.2,930.5,188189,100160,1068702,1217353,0.58,84.3,10.0,-1.88
1638906620,ENCHANTED_ENDSTONE,846.2,930.5,188189,100160,1068702,1217353,0.58,84.3,10.0,-1.88
1638906646,ENCHANTED_ENDSTONE,846.2,930.4,188189,100123,1068702,1217390,0.58,84.2,10.0,-1.88
1638906653,ENCHANTED_ENDSTONE,846.2,930.4,188268,100119,1068702,1217394,0.58,84.2,10.0,-1.88
1638906660,ENCHANTED_ENDSTONE,846.2,930.4,188268,100119,1068702,1217394,0.58,84.2,10.0,-1.88
1638906889,ENCHANTED_ENDSTONE,846.3,930.4,188218,100038,1068752,1217675,0.58,84.1,9.9,-1.88
1638906898,ENCHANTED_ENDSTONE,846.4,930.4,188218,100032,1068752,1217681,0.58,84.0,9.9,-1.88
1638906939,ENCHANTED_ENDSTONE,846.4,930.3,188232,99902,1068752,1217689,0.57,83.9,9.9,-1.88
1638906980,ENCHANTED_ENDSTONE,846.2,931.5,186440,99080,1070544,1218511,0.57,85.3,10.1,-1.88
1638907080,ENCHANTED_ENDSTONE,846.3,931.4,186759,98792,1070545,1218815,0.57,85.1,10.1,-1.89
1638907129,ENCHANTED_ENDSTONE,846.4,931.4,186759,99334,1070545,1218823,0.57,85.0,10.0,-1.88
1638907209,ENCHANTED_ENDSTONE,846.6,931.4,186759,99553,1070545,1218844,0.57,84.8,10.0,-1.88
1638907229,ENCHANTED_ENDSTONE,846.6,931.4,186759,99520,1070545,1218877,0.57,84.8,10.0,-1.88
1638907265,ENCHANTED_ENDSTONE,846.6,931.4,186759,99475,1070545,1218922,0.57,84.8,10.0,-1.88
1638907280,ENCHANTED_ENDSTONE,846.6,931.4,186759,99475,1070545,1218922,0.57,84.8,10.0,-1.88
1638907311,ENCHANTED_ENDSTONE,846.6,931.4,186759,99456,1070545,1218941,0.57,84.8,10.0,-1.88
1638907322,ENCHANTED_ENDSTONE,846.6,931.4,186759,99454,1070545,1218943,0.57,84.8,10.0,-1.88
1638907346,ENCHANTED_ENDSTONE,846.6,931.4,186759,99444,1070545,1218953,0.57,84.8,10.0,-1.88
1638907359,ENCHANTED_ENDSTONE,846.6,931.4,186759,99444,1070545,1218953,0.57,84.8,10.0,-1.88
1638907396,ENCHANTED_ENDSTONE,846.6,931.3,186762,99423,1070545,1218974,0.57,84.7,10.0,-1.88
1638907404,ENCHANTED_ENDSTONE,846.6,931.3,186762,99423,1070545,1218974,0.57,84.7,10.0,-1.88
1638907415,ENCHANTED_ENDSTONE,846.6,931.4,186730,99384,1070577,1219013,0.57,84.8,10.0,-1.88
1638907521,ENCHANTED_ENDSTONE,846.6,931.3,186707,99055,1070601,1219342,0.57,84.7,10.0,-1.88
1638907532,ENCHANTED_ENDSTONE,846.6,931.3,186707,99055,1070601,1219342,0.57,84.7,10.0,-1.88
1638907545,ENCHANTED_ENDSTONE,846.6,931.4,186643,99053,1070665,1219344,0.57,84.8,10.0,-1.88
1638907557,ENCHANTED_ENDSTONE,846.6,931.4,186643,99034,1070665,1219363,0.57,84.8,10.0,-1.88
1638907570,ENCHANTED_ENDSTONE,846.6,931.4,186649,99032,1070665,1219365,0.57,84.8,10.0,-1.88
1638907607,ENCHANTED_ENDSTONE,846.6,931.4,186649,99023,1070665,1219374,0.57,84.8,10.0,-1.88
1638907625,ENCHANTED_ENDSTONE,846.5,931.3,186649,99023,1070665,1219374,0.57,84.8,10.0,-1.88
1638907672,ENCHANTED_ENDSTONE,846.5,931.2,187291,98983,1070665,1219414,0.57,84.7,10.0,-1.89
