UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_EYE_OF_ENDER,5386.6,5968.6,75063,133762,373709,434079,2.16,582.0,10.8,1.78
1638903006,ENCHANTED_EYE_OF_ENDER,5386.6,5968.1,75102,133730,373757,434111,2.16,581.5,10.8,1.78
1638903006,ENCHANTED_EYE_OF_ENDER,5386.6,5968.1,75102,133730,373757,434111,2.16,581.5,10.8,1.78
1638903057,ENCHANTED_EYE_OF_ENDER,5386.6,5968.7,75053,133726,373821,434115,2.16,582.1,10.8,1.78
1638903086,ENCHANTED_EYE_OF_ENDER,5386.6,5968.6,75019,133718,373885,434123,2.16,582.0,10.8,1.78
1638903086,ENCHANTED_EYE_OF_ENDER,5386.6,5968.6,75019,133718,373885,434123,2.16,582.0,10.8,1.78
1638903086,ENCHANTED_EYE_OF_ENDER,5386.6,5968.6,75019,133718,373885,434123,2.16,582.0,10.8,1.78
1638903086,ENCHANTED_EYE_OF_ENDER,5386.6,5968.6,75019,133718,373885,434123,2.16,582.0,10.8,1.78
1638903226,ENCHANTED_EYE_OF_ENDER,5386.7,5968.7,74781,133700,374159,434261,2.16,582.0,10.8,1.79
1638903233,ENCHANTED_EYE_OF_ENDER,5386.7,5968.7,74781,133700,374159,434261,2.16,582.0,10.8,1.79
1638903240,ENCHANTED_EYE_OF_ENDER,5386.7,5968.7,74781,133683,374159,434278,2.15,582.0,10.8,1.79
1638903248,ENCHANTED_EYE_OF_ENDER,5386.7,5968.7,74781,133683,374159,434278,2.15,582.0,10.8,1.79
1638903855,ENCHANTED_EYE_OF_ENDER,5386.7,5969.2,74711,133516,374980,434516,2.15,582.5,10.8,1.79
1638904100,ENCHANTED_EYE_OF_ENDER,5386.7,5969.8,73611,134008,376116,435080,2.16,583.1,10.8,1.82
1638904100,ENCHANTED_EYE_OF_ENDER,5386.7,5969.8,73611,134008,376116,435080,2.16,583.1,10.8,1.82
1638904100,ENCHANTED_EYE_OF_ENDER,5386.7,5969.8,73611,134008,376116,435080,2.16,583.1,10.8,1.82
1638904189,ENCHANTED_EYE_OF_ENDER,5386.8,5970.0,73562,134039,376245,435149,2.16,583.2,10.8,1.82
1638904196,ENCHANTED_EYE_OF_ENDER,5386.8,5970.0,73562,134039,376245,435149,2.16,583.2,10.8,1.82
1638905497,ENCHANTED_EYE_OF_ENDER,5386.8,5968.9,73827,133708,377162,436218,2.15,582.1,10.8,1.81
1638905504,ENCHANTED_EYE_OF_ENDER,5386.8,5968.9,73827,133708,377162,436218,2.15,582.1,10.8,1.81
1638906506,ENCHANTED_EYE_OF_ENDER,5386.9,5968.6,73611,133239,371682,429293,2.17,581.7,10.8,1.81
1638906538,ENCHANTED_EYE_OF_ENDER,5386.8,5968.6,73609,133213,371718,429319,2.17,581.8,10.8,1.81
1638906598,ENCHANTED_EYE_OF_ENDER,5386.7,5968.5,73749,133186,371750,429346,2.17,581.8,10.8,1.81
1638906612,ENCHANTED_EYE_OF_ENDER,5386.7,5968.5,73686,133185,371814,429347,2.17,581.8,10.8,1.81
1638906620,ENCHANTED_EYE_OF_ENDER,5386.7,5968.5,73686,133185,371814,429347,2.17,581.8,10.8,1.81
1638906646,ENCHANTED_EYE_OF_ENDER,5386.7,5968.5,73686,133184,371814,429348,2.17,581.8,10.8,1.81
1638906653,ENCHANTED_EYE_OF_ENDER,5386.7,5968.5,73686,133184,371814,429348,2.17,581.8,10.8,1.81
1638906660,ENCHANTED_EYE_OF_ENDER,5386.7,5968.5,73654,133184,371846,429348,2.17,581.8,10.8,1.81
1638906889,ENCHANTED_EYE_OF_ENDER,5387.0,5968.2,73627,133419,371953,429365,2.18,581.2,10.8,1.81
1638906898,ENCHANTED_EYE_OF_ENDER,5387.0,5968.2,73627,133417,371953,429367,2.18,581.2,10.8,1.81
1638906939,ENCHANTED_EYE_OF_ENDER,5387.0,5968.4,73626,133413,371954,429371,2.18,581.4,10.8,1.81
1638906980,ENCHANTED_EYE_OF_ENDER,5387.1,5968.3,73583,133462,372028,429378,2.18,581.2,10.8,1.81
1638907080,ENCHANTED_EYE_OF_ENDER,5387.3,5969.1,73444,133706,372196,429411,2.18,581.8,10.8,1.82
1638907129,ENCHANTED_EYE_OF_ENDER,5387.3,5969.1,73346,133682,372294,429415,2.18,581.8,10.8,1.82
1638907209,ENCHANTED_EYE_OF_ENDER,5387.4,5970.0,72428,134008,373212,429416,2.18,582.6,10.8,1.85
1638907229,ENCHANTED_EYE_OF_ENDER,5387.4,5970.0,72428,134008,373212,429416,2.18,582.6,10.8,1.85
1638907265,ENCHANTED_EYE_OF_ENDER,5387.4,5970.0,72428,133960,373212,429464,2.18,582.6,10.8,1.85
1638907280,ENCHANTED_EYE_OF_ENDER,5387.4,5969.9,72464,133959,373213,429465,2.18,582.5,10.8,1.85
1638907311,ENCHANTED_EYE_OF_ENDER,5387.5,5969.9,72453,133956,373224,429468,2.18,582.4,10.8,1.85
1638907322,ENCHANTED_EYE_OF_ENDER,5387.6,5969.9,72453,133956,373224,429468,2.18,582.3,10.8,1.85
1638907346,ENCHANTED_EYE_OF_ENDER,5387.8,5969.9,72453,134070,373224,429509,2.19,582.1,10.8,1.85
1638907359,ENCHANTED_EYE_OF_ENDER,5387.8,5969.9,72453,134070,373224,429509,2.19,582.1,10.8,1.85
1638907396,ENCHANTED_EYE_OF_ENDER,5387.8,5970.0,72325,134199,373352,429510,2.19,582.2,10.8,1.86
1638907404,ENCHANTED_EYE_OF_ENDER,5387.8,5970.0,72325,134199,373352,429510,2.19,582.2,10.8,1.86
1638907415,ENCHANTED_EYE_OF_ENDER,5387.9,5970.0,72325,134242,373352,429513,2.19,582.1,10.8,1.86
1638907521,ENCHANTED_EYE_OF_ENDER,5388.1,5969.9,72353,134258,373357,429529,2.19,581.8,10.8,1.86
1638907532,ENCHANTED_EYE_OF_ENDER,5388.1,5969.9,72353,134258,373357,429529,2.19,581.8,10.8,1.86
1638907545,ENCHANTED_EYE_OF_ENDER,5388.1,5969.9,72353,134256,373357,429531,2.19,581.8,10.8,1.86
1638907557,ENCHANTED_EYE_OF_ENDER,5388.2,5969.9,72353,134186,373357,429532,2.19,581.7,10.8,1.85
1638907570,ENCHANTED_EYE_OF_ENDER,5388.2,5970.0,72307,134205,373403,429536,2.19,581.8,10.8,1.86
1638907607,ENCHANTED_EYE_OF_ENDER,5387.7,5970.0,72307,134110,373403,429631,2.19,582.3,10.8,1.85
1638907625,ENCHANTED_EYE_OF_ENDER,5387.7,5970.0,72307,133493,373403,429636,2.17,582.3,10.8,1.85
1638907672,ENCHANTED_EYE_OF_ENDER,5387.9,5970.0,72275,133342,373435,429639,2.17,582.1,10.8,1.84
