UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7427,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903006,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7427,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903006,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7427,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903057,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7427,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903086,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7427,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903086,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7427,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903086,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7427,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903086,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7427,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903226,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903233,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903240,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903248,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638903855,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638904100,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638904100,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638904100,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638904189,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638904196,ENCHANTED_FIREWORK_ROCKET,119132.3,136524.8,7429,10440,4229,3256,22.44,17392.5,14.6,1.41
1638905497,ENCHANTED_FIREWORK_ROCKET,119132.3,134785.6,5361,10440,4248,3256,22.44,15653.3,13.1,1.95
1638905504,ENCHANTED_FIREWORK_ROCKET,119132.3,134785.6,5361,10440,4248,3256,22.44,15653.3,13.100000000000001,1.95
