UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_FLINT,2017.8,2028.9,649330,680686,2081369,5297204,0.9,11.1,0.6,1.05
1638903006,ENCHANTED_FLINT,2017.8,2028.9,649033,698005,2081675,5297485,0.92,11.1,0.6,1.08
1638903006,ENCHANTED_FLINT,2017.8,2028.9,649033,698005,2081675,5297485,0.92,11.1,0.6,1.08
1638903057,ENCHANTED_FLINT,2017.9,2028.9,649024,698165,2081684,5297485,0.92,11.0,0.5,1.08
1638903086,ENCHANTED_FLINT,2017.9,2028.9,649024,698142,2081684,5297508,0.92,11.0,0.5,1.08
1638903086,ENCHANTED_FLINT,2017.9,2028.9,649024,698142,2081684,5297508,0.92,11.0,0.5,1.08
1638903086,ENCHANTED_FLINT,2017.9,2028.9,649024,698142,2081684,5297508,0.92,11.0,0.5,1.08
1638903086,ENCHANTED_FLINT,2017.9,2028.9,649024,698142,2081684,5297508,0.92,11.0,0.5,1.08
1638903226,ENCHANTED_FLINT,2017.8,2028.0,649027,696940,2082068,5298607,0.92,10.2,0.5,1.07
1638903233,ENCHANTED_FLINT,2017.8,2028.0,649027,696940,2082068,5298607,0.92,10.2,0.5,1.07
1638903240,ENCHANTED_FLINT,2017.8,2028.0,649027,696879,2082068,5298668,0.92,10.2,0.5,1.07
1638903248,ENCHANTED_FLINT,2017.8,2028.0,649027,696879,2082068,5298668,0.92,10.2,0.5,1.07
1638903855,ENCHANTED_FLINT,2018.0,2027.8,649726,698163,2082597,5300700,0.92,9.8,0.5,1.07
1638904100,ENCHANTED_FLINT,2017.9,2027.5,650281,696633,2082821,5302650,0.92,9.6,0.5,1.07
1638904100,ENCHANTED_FLINT,2017.9,2027.5,650281,696633,2082821,5302650,0.92,9.6,0.5,1.07
1638904100,ENCHANTED_FLINT,2017.9,2027.5,650281,696633,2082821,5302650,0.92,9.6,0.5,1.07
1638904189,ENCHANTED_FLINT,2017.8,2029.2,648019,694937,2085125,5304346,0.92,11.4,0.6,1.07
1638904196,ENCHANTED_FLINT,2017.8,2029.2,648019,694937,2085125,5304346,0.92,11.4,0.6,1.07
1638905497,ENCHANTED_FLINT,2017.8,2029.4,645426,665167,2059081,5189014,0.9,11.6,0.6,1.03
1638905504,ENCHANTED_FLINT,2017.8,2029.4,645426,665167,2059081,5189014,0.9,11.6,0.6,1.03
