UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_GHAST_TEAR,187.3,240.7,538792,841952,2424760,4350642,1.35,53.4,28.5,1.56
1638903006,ENCHANTED_GHAST_TEAR,187.2,240.6,539816,838577,2424760,4354017,1.35,53.4,28.5,1.55
1638903006,ENCHANTED_GHAST_TEAR,187.2,240.6,539816,838577,2424760,4354017,1.35,53.4,28.5,1.55
1638903057,ENCHANTED_GHAST_TEAR,187.2,240.6,539816,838441,2424760,4354153,1.35,53.4,28.5,1.55
1638903086,ENCHANTED_GHAST_TEAR,187.2,240.6,539816,838430,2424760,4354164,1.35,53.4,28.5,1.55
1638903086,ENCHANTED_GHAST_TEAR,187.2,240.6,539816,838430,2424760,4354164,1.35,53.4,28.5,1.55
1638903086,ENCHANTED_GHAST_TEAR,187.2,240.6,539816,838430,2424760,4354164,1.35,53.4,28.5,1.55
1638903086,ENCHANTED_GHAST_TEAR,187.2,240.6,539816,838430,2424760,4354164,1.35,53.4,28.5,1.55
1638903226,ENCHANTED_GHAST_TEAR,187.2,240.5,541701,838416,2424760,4354178,1.35,53.3,28.5,1.55
1638903233,ENCHANTED_GHAST_TEAR,187.2,240.5,541701,838416,2424760,4354178,1.35,53.3,28.5,1.55
1638903240,ENCHANTED_GHAST_TEAR,187.2,240.5,541701,838416,2424760,4354178,1.35,53.3,28.5,1.55
1638903248,ENCHANTED_GHAST_TEAR,187.2,240.5,541701,838416,2424760,4354178,1.35,53.3,28.5,1.55
1638903855,ENCHANTED_GHAST_TEAR,187.2,240.3,544906,835828,2424849,4357022,1.34,53.1,28.4,1.53
1638904100,ENCHANTED_GHAST_TEAR,187.2,240.1,546326,835828,2425041,4357022,1.34,52.9,28.3,1.53
1638904100,ENCHANTED_GHAST_TEAR,187.2,240.1,546326,835828,2425041,4357022,1.34,52.9,28.3,1.53
1638904100,ENCHANTED_GHAST_TEAR,187.2,240.1,546326,835828,2425041,4357022,1.34,52.9,28.3,1.53
1638904189,ENCHANTED_GHAST_TEAR,187.2,240.1,546326,835828,2425041,4357022,1.34,52.9,28.3,1.53
1638904196,ENCHANTED_GHAST_TEAR,187.2,240.1,546326,835828,2425041,4357022,1.34,52.9,28.3,1.53
1638905497,ENCHANTED_GHAST_TEAR,186.9,239.8,583480,896506,2347147,4266188,1.47,52.9,28.3,1.54
1638905504,ENCHANTED_GHAST_TEAR,186.9,239.8,583480,896506,2347147,4266188,1.47,52.9,28.299999999999997,1.54
