UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.9,239951,693818,2537109,2462224,1.97,467.9,37.7,2.89
1638903006,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.7,242412,692561,2537111,2463881,1.97,467.7,37.7,2.86
1638903006,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.7,242412,692561,2537111,2463881,1.97,467.7,37.7,2.86
1638903057,ENCHANTED_GLOWSTONE_DUST,1240.1,1707.7,242412,692079,2537111,2464363,1.97,467.6,37.7,2.85
1638903086,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.6,242281,506980,2537242,2464450,1.44,467.6,37.7,2.09
1638903086,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.6,242281,506980,2537242,2464450,1.44,467.6,37.7,2.09
1638903086,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.6,242281,506980,2537242,2464450,1.44,467.6,37.7,2.09
1638903086,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.6,242281,506980,2537242,2464450,1.44,467.6,37.7,2.09
1638903226,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.2,246069,506898,2537424,2464532,1.44,467.2,37.7,2.06
1638903233,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.2,246069,506898,2537424,2464532,1.44,467.2,37.7,2.06
1638903240,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.2,246916,506898,2537441,2464532,1.44,467.2,37.7,2.05
1638903248,ENCHANTED_GLOWSTONE_DUST,1240.0,1707.2,246916,506898,2537441,2464532,1.44,467.2,37.7,2.05
1638903855,ENCHANTED_GLOWSTONE_DUST,1240.2,1705.6,252172,505798,2539363,2467083,1.44,465.4,37.5,2.01
1638904100,ENCHANTED_GLOWSTONE_DUST,1240.2,1704.6,253697,505812,2540684,2468579,1.43,464.4,37.4,1.99
1638904100,ENCHANTED_GLOWSTONE_DUST,1240.2,1704.6,253697,505812,2540684,2468579,1.43,464.4,37.4,1.99
1638904100,ENCHANTED_GLOWSTONE_DUST,1240.2,1704.6,253697,505812,2540684,2468579,1.43,464.4,37.4,1.99
1638904189,ENCHANTED_GLOWSTONE_DUST,1240.6,1704.3,255314,507939,2540879,2468636,1.44,463.7,37.4,1.99
1638904196,ENCHANTED_GLOWSTONE_DUST,1240.6,1704.3,255314,507939,2540879,2468636,1.44,463.7,37.4,1.99
1638905497,ENCHANTED_GLOWSTONE_DUST,1240.4,1699.2,266113,499473,2543316,2479001,1.41,458.8,37.0,1.88
1638905504,ENCHANTED_GLOWSTONE_DUST,1240.4,1699.2,266113,499473,2543316,2479001,1.41,458.8,37.0,1.88
1638906506,ENCHANTED_GLOWSTONE_DUST,1240.6,1650.9,298570,499978,2549050,2481234,1.41,410.3,33.1,1.67
1638906538,ENCHANTED_GLOWSTONE_DUST,1240.8,1650.8,298887,499760,2549053,2481453,1.41,410.0,33.0,1.67
1638906598,ENCHANTED_GLOWSTONE_DUST,1241.0,1650.8,297739,501347,2549246,2481561,1.41,409.8,33.0,1.68
1638906612,ENCHANTED_GLOWSTONE_DUST,1241.1,1650.8,297738,501347,2549247,2481561,1.41,409.7,33.0,1.68
1638906620,ENCHANTED_GLOWSTONE_DUST,1241.1,1650.8,297738,501347,2549247,2481561,1.41,409.7,33.0,1.68
1638906646,ENCHANTED_GLOWSTONE_DUST,1241.1,1650.7,297809,501772,2549247,2481649,1.42,409.6,33.0,1.68
1638906653,ENCHANTED_GLOWSTONE_DUST,1241.1,1650.6,297941,501760,2549247,2481661,1.42,409.5,33.0,1.68
1638906660,ENCHANTED_GLOWSTONE_DUST,1241.1,1650.6,297941,501760,2549247,2481661,1.42,409.5,33.0,1.68
1638906889,ENCHANTED_GLOWSTONE_DUST,1241.2,1649.8,303189,502740,2549996,2481796,1.42,408.6,32.9,1.66
1638906898,ENCHANTED_GLOWSTONE_DUST,1241.2,1649.8,303157,502739,2550028,2481797,1.42,408.6,32.9,1.66
1638906939,ENCHANTED_GLOWSTONE_DUST,1241.2,1649.7,303156,502739,2550029,2481797,1.42,408.5,32.9,1.66
1638906980,ENCHANTED_GLOWSTONE_DUST,1241.2,1649.4,306307,502700,2550344,2481853,1.42,408.2,32.9,1.64
