UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_GOLD,1055.0,1113.5,788831,1036045,3726756,8085836,0.9,58.5,5.5,1.31
1638903006,ENCHANTED_GOLD,1054.4,1113.1,789948,1032284,3726756,8089597,0.89,58.7,5.6000000000000005,1.31
1638903006,ENCHANTED_GOLD,1054.4,1113.1,789948,1032284,3726756,8089597,0.89,58.7,5.6000000000000005,1.31
1638903057,ENCHANTED_GOLD,1054.4,1113.5,788856,1032155,3727848,8089726,0.89,59.1,5.6000000000000005,1.31
1638903086,ENCHANTED_GOLD,1054.6,1113.5,787934,1036294,3728770,8089899,0.9,58.9,5.6000000000000005,1.32
1638903086,ENCHANTED_GOLD,1054.6,1113.5,787934,1036294,3728770,8089899,0.9,58.9,5.6000000000000005,1.32
1638903086,ENCHANTED_GOLD,1054.6,1113.5,787934,1036294,3728770,8089899,0.9,58.9,5.6000000000000005,1.32
1638903086,ENCHANTED_GOLD,1054.6,1113.5,787934,1036294,3728770,8089899,0.9,58.9,5.6000000000000005,1.32
1638903226,ENCHANTED_GOLD,1054.6,1113.8,785360,1035361,3731348,8091152,0.9,59.2,5.6000000000000005,1.32
1638903233,ENCHANTED_GOLD,1054.6,1113.8,785360,1035361,3731348,8091152,0.9,59.2,5.6000000000000005,1.32
1638903240,ENCHANTED_GOLD,1054.6,1113.8,785360,1033470,3731348,8093135,0.89,59.2,5.6000000000000005,1.32
1638903248,ENCHANTED_GOLD,1054.6,1113.8,785360,1033470,3731348,8093135,0.89,59.2,5.6000000000000005,1.32
1638903855,ENCHANTED_GOLD,1054.4,1114.1,789309,1034583,3739553,8100170,0.89,59.7,5.7,1.31
1638904100,ENCHANTED_GOLD,1054.2,1112.5,803175,1032819,3740432,8101994,0.89,58.3,5.5,1.29
1638904100,ENCHANTED_GOLD,1054.2,1112.5,803175,1032819,3740432,8101994,0.89,58.3,5.5,1.29
1638904100,ENCHANTED_GOLD,1054.2,1112.5,803175,1032819,3740432,8101994,0.89,58.3,5.5,1.29
1638904189,ENCHANTED_GOLD,1054.2,1112.3,804318,1032259,3740432,8104254,0.89,58.1,5.5,1.28
1638904196,ENCHANTED_GOLD,1054.2,1112.3,804318,1032259,3740432,8104254,0.89,58.1,5.5,1.28
1638905497,ENCHANTED_GOLD,1054.2,1105.1,824134,1030651,3749781,8125516,0.89,50.9,4.8,1.25
1638905504,ENCHANTED_GOLD,1054.2,1105.1,824134,1030651,3749781,8125516,0.89,50.9,4.8,1.25
1638906506,ENCHANTED_GOLD,1054.1,1110.1,821124,1025152,3757627,8134955,0.88,56.0,5.3,1.25
1638906538,ENCHANTED_GOLD,1054.1,1110.1,821114,1025134,3757637,8134973,0.88,56.0,5.3,1.25
1638906598,ENCHANTED_GOLD,1054.1,1110.1,821272,1022615,3757642,8137502,0.88,56.0,5.3,1.25
1638906612,ENCHANTED_GOLD,1054.1,1110.1,821206,1022551,3757708,8137566,0.88,56.0,5.3,1.25
1638906620,ENCHANTED_GOLD,1054.1,1110.1,821206,1022551,3757708,8137566,0.88,56.0,5.3,1.25
1638906646,ENCHANTED_GOLD,1054.1,1109.9,821093,1022551,3757857,8137566,0.88,55.8,5.3,1.25
1638906653,ENCHANTED_GOLD,1054.1,1109.9,821425,1022536,3757866,8137581,0.88,55.8,5.3,1.24
1638906660,ENCHANTED_GOLD,1054.1,1110.3,821424,1022352,3757867,8137765,0.88,56.2,5.3,1.24
1638906889,ENCHANTED_GOLD,1054.4,1109.9,819709,1055922,3760407,8143603,0.91,55.5,5.3,1.29
1638906898,ENCHANTED_GOLD,1054.4,1109.9,819710,1055837,3760411,8143688,0.91,55.5,5.3,1.29
1638906939,ENCHANTED_GOLD,1054.4,1110.1,818429,1055473,3761692,8144052,0.91,55.7,5.3,1.29
1638906980,ENCHANTED_GOLD,1054.4,1105.4,818205,1055198,3762781,8145511,0.91,51.0,4.8,1.29
1638907080,ENCHANTED_GOLD,1054.5,1100.2,819861,1055168,3763223,8146565,0.91,45.7,4.3,1.29
1638907129,ENCHANTED_GOLD,1054.4,1095.4,821577,1054390,3763303,8146751,0.91,41.0,3.9,1.28
1638907209,ENCHANTED_GOLD,1054.4,1091.3,821530,1053804,3763375,8147337,0.91,36.9,3.5000000000000004,1.28
1638907229,ENCHANTED_GOLD,1054.4,1091.3,821850,1052926,3764207,8148287,0.9,36.9,3.5000000000000004,1.28
1638907265,ENCHANTED_GOLD,1054.4,1087.6,822511,1052503,3764207,8148710,0.9,33.2,3.1,1.28
1638907280,ENCHANTED_GOLD,1054.4,1087.6,822511,1052503,3764207,8148710,0.9,33.2,3.1,1.28
1638907311,ENCHANTED_GOLD,1054.4,1087.6,821460,1052423,3764217,8148790,0.9,33.2,3.1,1.28
1638907322,ENCHANTED_GOLD,1054.4,1087.6,821204,1052423,3764473,8148790,0.9,33.2,3.1,1.28
1638907346,ENCHANTED_GOLD,1054.5,1087.6,821076,1054309,3764601,8148904,0.91,33.1,3.1,1.28
1638907359,ENCHANTED_GOLD,1054.5,1087.6,821076,1054309,3764601,8148904,0.91,33.1,3.1,1.28
1638907396,ENCHANTED_GOLD,1054.5,1087.5,820375,1054287,3764612,8148926,0.91,33.0,3.1,1.29
1638907404,ENCHANTED_GOLD,1054.5,1087.5,820375,1054287,3764612,8148926,0.91,33.0,3.1,1.29
1638907415,ENCHANTED_GOLD,1054.5,1087.5,821455,1054268,3764613,8148945,0.91,33.0,3.1,1.28
1638907521,ENCHANTED_GOLD,1054.6,1083.9,821407,1055626,3765773,8150587,0.91,29.3,2.8000000000000003,1.29
1638907532,ENCHANTED_GOLD,1054.6,1083.9,821407,1055626,3765773,8150587,0.91,29.3,2.8000000000000003,1.29
1638907545,ENCHANTED_GOLD,1054.6,1081.0,820570,1055449,3765837,8150764,0.91,26.4,2.5,1.29
1638907557,ENCHANTED_GOLD,1054.7,1081.0,820570,1055163,3765837,8151050,0.91,26.3,2.5,1.29
1638907570,ENCHANTED_GOLD,1054.6,1081.0,820570,1054800,3765837,8151423,0.91,26.4,2.5,1.29
1638907607,ENCHANTED_GOLD,1054.6,1081.0,820532,1054769,3765875,8151454,0.91,26.4,2.5,1.29
1638907625,ENCHANTED_GOLD,1054.6,1083.9,820531,1054558,3765876,8151665,0.91,29.3,2.8000000000000003,1.29
1638907672,ENCHANTED_GOLD,1054.6,1083.8,820339,1053941,3766068,8152282,0.9,29.2,2.8000000000000003,1.28
