UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_GUNPOWDER,1665.7,1861.0,129783,236141,632970,701493,2.36,195.3,11.7,1.82
1638903006,ENCHANTED_GUNPOWDER,1665.7,1861.0,129783,236083,632970,701551,2.36,195.3,11.7,1.82
1638903006,ENCHANTED_GUNPOWDER,1665.7,1861.0,129783,236083,632970,701551,2.36,195.3,11.7,1.82
1638903057,ENCHANTED_GUNPOWDER,1665.7,1861.0,129783,236083,632970,701551,2.36,195.3,11.7,1.82
1638903086,ENCHANTED_GUNPOWDER,1665.7,1861.0,129783,236083,632970,701551,2.36,195.3,11.7,1.82
1638903086,ENCHANTED_GUNPOWDER,1665.7,1861.0,129783,236083,632970,701551,2.36,195.3,11.7,1.82
1638903086,ENCHANTED_GUNPOWDER,1665.7,1861.0,129783,236083,632970,701551,2.36,195.3,11.7,1.82
1638903086,ENCHANTED_GUNPOWDER,1665.7,1861.0,129783,236083,632970,701551,2.36,195.3,11.7,1.82
1638903226,ENCHANTED_GUNPOWDER,1665.7,1861.0,129523,210235,633230,701599,2.1,195.3,11.7,1.62
1638903233,ENCHANTED_GUNPOWDER,1665.7,1861.0,129523,210235,633230,701599,2.1,195.3,11.7,1.62
1638903240,ENCHANTED_GUNPOWDER,1665.7,1861.0,129523,210174,633230,701660,2.1,195.3,11.7,1.62
1638903248,ENCHANTED_GUNPOWDER,1665.7,1861.0,129523,210174,633230,701660,2.1,195.3,11.7,1.62
1638903855,ENCHANTED_GUNPOWDER,1665.3,1861.1,128986,208905,633767,702953,2.08,195.8,11.8,1.62
1638904100,ENCHANTED_GUNPOWDER,1665.3,1861.0,129772,208792,633959,703066,2.08,195.7,11.8,1.61
1638904100,ENCHANTED_GUNPOWDER,1665.3,1861.0,129772,208792,633959,703066,2.08,195.7,11.8,1.61
1638904100,ENCHANTED_GUNPOWDER,1665.3,1861.0,129772,208792,633959,703066,2.08,195.7,11.8,1.61
1638904189,ENCHANTED_GUNPOWDER,1665.3,1860.9,129772,207260,633959,705098,2.06,195.6,11.7,1.6
1638904196,ENCHANTED_GUNPOWDER,1665.3,1860.9,129772,207260,633959,705098,2.06,195.6,11.7,1.6
1638905497,ENCHANTED_GUNPOWDER,1665.4,1849.7,135950,207446,597549,671792,2.16,184.3,11.1,1.53
1638905504,ENCHANTED_GUNPOWDER,1665.4,1849.7,135950,207446,597549,671792,2.16,184.3,11.1,1.53
