UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_HARD_STONE,2044.2,2102.1,293064,763146,1471919,4570784,1.17,57.9,2.8000000000000003,2.6
1638903006,ENCHANTED_HARD_STONE,2044.1,2102.0,293256,764541,1472751,4575389,1.17,57.9,2.8000000000000003,2.61
1638903006,ENCHANTED_HARD_STONE,2044.1,2102.0,293256,764541,1472751,4575389,1.17,57.9,2.8000000000000003,2.61
1638903057,ENCHANTED_HARD_STONE,2044.1,2102.2,293266,763666,1472751,4576264,1.17,58.1,2.8000000000000003,2.6
1638903086,ENCHANTED_HARD_STONE,2044.1,2102.2,292978,761634,1473039,4578296,1.16,58.1,2.8000000000000003,2.6
1638903086,ENCHANTED_HARD_STONE,2044.1,2102.2,292978,761634,1473039,4578296,1.16,58.1,2.8000000000000003,2.6
1638903086,ENCHANTED_HARD_STONE,2044.1,2102.2,292978,761634,1473039,4578296,1.16,58.1,2.8000000000000003,2.6
1638903086,ENCHANTED_HARD_STONE,2044.1,2102.2,292978,761634,1473039,4578296,1.16,58.1,2.8000000000000003,2.6
1638903226,ENCHANTED_HARD_STONE,2044.1,2102.2,292914,760676,1473103,4579254,1.16,58.1,2.8000000000000003,2.6
1638903233,ENCHANTED_HARD_STONE,2044.1,2102.2,292914,760676,1473103,4579254,1.16,58.1,2.8000000000000003,2.6
1638903240,ENCHANTED_HARD_STONE,2044.1,2102.2,292914,760505,1473103,4579425,1.16,58.1,2.8000000000000003,2.6
1638903248,ENCHANTED_HARD_STONE,2044.1,2102.2,292914,760505,1473103,4579425,1.16,58.1,2.8000000000000003,2.6
1638903855,ENCHANTED_HARD_STONE,2044.2,2101.6,293693,790892,1473306,4583977,1.21,57.4,2.8000000000000003,2.69
1638904100,ENCHANTED_HARD_STONE,2044.3,2101.0,295993,791261,1473450,4584932,1.21,56.7,2.8000000000000003,2.67
1638904100,ENCHANTED_HARD_STONE,2044.3,2101.0,295993,791261,1473450,4584932,1.21,56.7,2.8000000000000003,2.67
1638904100,ENCHANTED_HARD_STONE,2044.3,2101.0,295993,791261,1473450,4584932,1.21,56.7,2.8000000000000003,2.67
1638904189,ENCHANTED_HARD_STONE,2044.3,2100.5,298654,790607,1473450,4585586,1.21,56.2,2.7,2.65
1638904196,ENCHANTED_HARD_STONE,2044.3,2100.5,298654,790607,1473450,4585586,1.21,56.2,2.7,2.65
1638905497,ENCHANTED_HARD_STONE,2044.4,2102.0,292507,795068,1435387,4399732,1.26,57.6,2.8000000000000003,2.72
1638905504,ENCHANTED_HARD_STONE,2044.4,2102.0,292507,795068,1435387,4399732,1.26,57.6,2.8000000000000003,2.72
