UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_HAY_BLOCK,4896.5,5218.6,48205,57173,423428,319839,1.25,322.1,6.6000000000000005,1.19
1638903006,ENCHANTED_HAY_BLOCK,4896.5,5218.6,48205,57112,423428,319900,1.25,322.1,6.6000000000000005,1.18
1638903006,ENCHANTED_HAY_BLOCK,4896.5,5218.6,48205,57112,423428,319900,1.25,322.1,6.6000000000000005,1.18
1638903057,ENCHANTED_HAY_BLOCK,4896.5,5218.6,48013,57112,423620,319900,1.25,322.1,6.6000000000000005,1.19
1638903086,ENCHANTED_HAY_BLOCK,4896.5,5218.6,48013,57112,423620,319900,1.25,322.1,6.6000000000000005,1.19
1638903086,ENCHANTED_HAY_BLOCK,4896.5,5218.6,48013,57112,423620,319900,1.25,322.1,6.6000000000000005,1.19
1638903086,ENCHANTED_HAY_BLOCK,4896.5,5218.6,48013,57112,423620,319900,1.25,322.1,6.6000000000000005,1.19
1638903086,ENCHANTED_HAY_BLOCK,4896.5,5218.6,48013,57112,423620,319900,1.25,322.1,6.6000000000000005,1.19
1638903226,ENCHANTED_HAY_BLOCK,4896.6,5218.6,47982,58136,423660,319900,1.27,322.0,6.6000000000000005,1.21
1638903233,ENCHANTED_HAY_BLOCK,4896.6,5218.6,47982,58136,423660,319900,1.27,322.0,6.6000000000000005,1.21
1638903240,ENCHANTED_HAY_BLOCK,4896.6,5218.6,47982,58136,423660,319900,1.27,322.0,6.6000000000000005,1.21
1638903248,ENCHANTED_HAY_BLOCK,4896.6,5218.6,47982,58136,423660,319900,1.27,322.0,6.6000000000000005,1.21
1638903855,ENCHANTED_HAY_BLOCK,4896.6,5254.2,47960,56736,424516,321192,1.24,357.6,7.3,1.18
1638904100,ENCHANTED_HAY_BLOCK,4896.6,5254.1,47938,56627,424629,321305,1.23,357.5,7.3,1.18
1638904100,ENCHANTED_HAY_BLOCK,4896.6,5254.1,47938,56627,424629,321305,1.23,357.5,7.3,1.18
1638904100,ENCHANTED_HAY_BLOCK,4896.6,5254.1,47938,56627,424629,321305,1.23,357.5,7.3,1.18
1638904189,ENCHANTED_HAY_BLOCK,4896.6,5254.0,48585,56620,424629,321312,1.23,357.4,7.3,1.17
1638904196,ENCHANTED_HAY_BLOCK,4896.6,5254.0,48585,56620,424629,321312,1.23,357.4,7.3,1.17
1638905497,ENCHANTED_HAY_BLOCK,4896.7,5253.5,48593,56179,425784,322385,1.22,356.8,7.3,1.16
1638905504,ENCHANTED_HAY_BLOCK,4896.7,5253.5,48593,56179,425784,322385,1.22,356.8,7.3,1.16
1638906506,ENCHANTED_HAY_BLOCK,4896.9,5253.4,48598,57024,426237,322731,1.24,356.5,7.3,1.17
1638906538,ENCHANTED_HAY_BLOCK,4896.9,5253.4,48582,57024,426253,322731,1.24,356.5,7.3,1.17
1638906598,ENCHANTED_HAY_BLOCK,4897.0,5253.3,48615,57207,426255,322732,1.24,356.3,7.3,1.18
1638906612,ENCHANTED_HAY_BLOCK,4897.1,5253.3,48615,57207,426255,322732,1.24,356.2,7.3,1.18
1638906620,ENCHANTED_HAY_BLOCK,4897.1,5253.3,48615,57207,426255,322732,1.24,356.2,7.3,1.18
1638906646,ENCHANTED_HAY_BLOCK,4897.1,5253.3,48614,57201,426256,322739,1.24,356.2,7.3,1.18
1638906653,ENCHANTED_HAY_BLOCK,4897.1,5253.3,48614,57201,426256,322739,1.24,356.2,7.3,1.18
1638906660,ENCHANTED_HAY_BLOCK,4897.1,5253.3,48614,57201,426256,322739,1.24,356.2,7.3,1.18
1638906889,ENCHANTED_HAY_BLOCK,4896.9,5253.4,48550,57022,426412,322762,1.24,356.5,7.3,1.17
1638906898,ENCHANTED_HAY_BLOCK,4896.9,5253.4,48550,57022,426412,322762,1.24,356.5,7.3,1.17
1638906939,ENCHANTED_HAY_BLOCK,4896.9,5253.4,48550,57022,426412,322762,1.24,356.5,7.3,1.17
1638906980,ENCHANTED_HAY_BLOCK,4896.9,5253.3,48752,57022,426412,322762,1.24,356.4,7.3,1.17
1638907080,ENCHANTED_HAY_BLOCK,4897.0,5253.5,48449,56922,426715,322926,1.23,356.5,7.3,1.17
1638907129,ENCHANTED_HAY_BLOCK,4897.0,5253.5,48443,56922,426721,322926,1.23,356.5,7.3,1.18
1638907209,ENCHANTED_HAY_BLOCK,4897.0,5253.4,48536,56922,426721,322926,1.23,356.4,7.3,1.17
1638907229,ENCHANTED_HAY_BLOCK,4897.0,5253.4,48536,56922,426721,322926,1.23,356.4,7.3,1.17
1638907265,ENCHANTED_HAY_BLOCK,4897.0,5253.4,48536,56922,426721,322926,1.23,356.4,7.3,1.17
1638907280,ENCHANTED_HAY_BLOCK,4897.0,5253.4,48536,56922,426721,322926,1.23,356.4,7.3,1.17
1638907311,ENCHANTED_HAY_BLOCK,4897.0,5253.4,48536,56922,426721,322926,1.23,356.4,7.3,1.17
1638907322,ENCHANTED_HAY_BLOCK,4897.0,5253.4,48536,56894,426721,322954,1.23,356.4,7.3,1.17
1638907346,ENCHANTED_HAY_BLOCK,4897.0,5253.4,48468,56894,426789,322954,1.23,356.4,7.3,1.17
1638907359,ENCHANTED_HAY_BLOCK,4897.0,5253.4,48468,56894,426789,322954,1.23,356.4,7.3,1.17
1638907396,ENCHANTED_HAY_BLOCK,4896.9,5253.3,48488,56585,426789,323263,1.23,356.4,7.3,1.17
1638907404,ENCHANTED_HAY_BLOCK,4896.9,5253.3,48488,56585,426789,323263,1.23,356.4,7.3,1.17
1638907415,ENCHANTED_HAY_BLOCK,4896.9,5253.3,48473,56580,426805,323268,1.23,356.4,7.3,1.17
1638907521,ENCHANTED_HAY_BLOCK,4897.0,5253.5,48417,56644,426861,323268,1.23,356.5,7.3,1.17
1638907532,ENCHANTED_HAY_BLOCK,4897.0,5253.5,48417,56644,426861,323268,1.23,356.5,7.3,1.17
1638907545,ENCHANTED_HAY_BLOCK,4897.0,5253.5,48417,56606,426861,323306,1.23,356.5,7.3,1.17
1638907557,ENCHANTED_HAY_BLOCK,4897.0,5253.5,48416,56606,426862,323306,1.23,356.5,7.3,1.17
1638907570,ENCHANTED_HAY_BLOCK,4897.0,5253.5,48352,56606,426926,323306,1.23,356.5,7.3,1.17
1638907607,ENCHANTED_HAY_BLOCK,4897.0,5253.5,48352,56599,426926,323313,1.23,356.5,7.3,1.17
1638907625,ENCHANTED_HAY_BLOCK,4897.0,5253.5,48352,56599,426926,323313,1.23,356.5,7.3,1.17
1638907672,ENCHANTED_HAY_BLOCK,4897.0,5253.4,48346,56599,426942,323313,1.23,356.4,7.3,1.17
