UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_HUGE_MUSHROOM_2,59994.0,97737.9,10504,87077,675683,673354,0.91,37743.9,62.9,8.29
1638903006,ENCHANTED_HUGE_MUSHROOM_2,61881.5,97737.9,10504,87335,675683,673354,0.91,35856.4,57.9,8.31
1638903006,ENCHANTED_HUGE_MUSHROOM_2,61881.5,97737.9,10504,87335,675683,673354,0.91,35856.4,57.9,8.31
1638903057,ENCHANTED_HUGE_MUSHROOM_2,61881.7,97737.9,10504,87375,675683,673354,0.91,35856.2,57.9,8.32
1638903086,ENCHANTED_HUGE_MUSHROOM_2,61881.9,97737.9,10504,87508,675683,673354,0.91,35856.0,57.9,8.33
1638903086,ENCHANTED_HUGE_MUSHROOM_2,61881.9,97737.9,10504,87508,675683,673354,0.91,35856.0,57.9,8.33
1638903086,ENCHANTED_HUGE_MUSHROOM_2,61881.9,97737.9,10504,87508,675683,673354,0.91,35856.0,57.9,8.33
1638903086,ENCHANTED_HUGE_MUSHROOM_2,61881.9,97737.9,10504,87508,675683,673354,0.91,35856.0,57.9,8.33
1638903226,ENCHANTED_HUGE_MUSHROOM_2,61882.3,97737.9,10504,87587,675683,673354,0.91,35855.6,57.9,8.34
1638903233,ENCHANTED_HUGE_MUSHROOM_2,61882.3,97737.9,10504,87587,675683,673354,0.91,35855.6,57.9,8.34
1638903240,ENCHANTED_HUGE_MUSHROOM_2,61882.4,97737.9,10504,87592,675683,673354,0.91,35855.5,57.9,8.34
1638903248,ENCHANTED_HUGE_MUSHROOM_2,61882.4,97737.9,10504,87592,675683,673354,0.91,35855.5,57.9,8.34
1638903855,ENCHANTED_HUGE_MUSHROOM_2,61882.5,97737.9,10999,87682,675687,673853,0.91,35855.4,57.9,7.97
1638904100,ENCHANTED_HUGE_MUSHROOM_2,61883.3,97737.7,10580,88634,675687,673853,0.92,35854.4,57.9,8.38
1638904100,ENCHANTED_HUGE_MUSHROOM_2,61883.3,97737.7,10580,88634,675687,673853,0.92,35854.4,57.9,8.38
1638904100,ENCHANTED_HUGE_MUSHROOM_2,61883.3,97737.7,10580,88634,675687,673853,0.92,35854.4,57.9,8.38
1638904189,ENCHANTED_HUGE_MUSHROOM_2,61883.5,97737.7,10580,88693,675687,673853,0.92,35854.2,57.9,8.38
1638904196,ENCHANTED_HUGE_MUSHROOM_2,61883.5,97737.7,10580,88693,675687,673853,0.92,35854.2,57.9,8.38
1638905497,ENCHANTED_HUGE_MUSHROOM_2,61884.9,97737.2,10907,88631,675696,673880,0.92,35852.3,57.9,8.13
1638905504,ENCHANTED_HUGE_MUSHROOM_2,61884.9,97737.2,10907,88631,675696,673880,0.92,35852.3,57.9,8.13
