UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_ICE,852.3,935.2,284877,1822131,1619516,3363567,3.79,82.9,9.7,6.4
1638903006,ENCHANTED_ICE,852.1,935.1,285709,1821483,1619708,3364215,3.79,83.0,9.7,6.38
1638903006,ENCHANTED_ICE,852.1,935.1,285709,1821483,1619708,3364215,3.79,83.0,9.7,6.38
1638903057,ENCHANTED_ICE,852.1,934.8,286809,1818938,1619708,3366760,3.78,82.7,9.7,6.34
1638903086,ENCHANTED_ICE,852.1,934.8,286808,1819526,1619709,3366972,3.78,82.7,9.7,6.34
1638903086,ENCHANTED_ICE,852.1,934.8,286808,1819526,1619709,3366972,3.78,82.7,9.7,6.34
1638903086,ENCHANTED_ICE,852.1,934.8,286808,1819526,1619709,3366972,3.78,82.7,9.7,6.34
1638903086,ENCHANTED_ICE,852.1,934.8,286808,1819526,1619709,3366972,3.78,82.7,9.7,6.34
1638903226,ENCHANTED_ICE,852.2,934.3,288149,1830752,1619709,3367746,3.81,82.1,9.6,6.35
1638903233,ENCHANTED_ICE,852.2,934.3,288149,1830752,1619709,3367746,3.81,82.1,9.6,6.35
1638903240,ENCHANTED_ICE,852.2,934.3,288149,1830751,1619709,3367747,3.81,82.1,9.6,6.35
1638903248,ENCHANTED_ICE,852.2,934.3,288149,1830751,1619709,3367747,3.81,82.1,9.6,6.35
1638903855,ENCHANTED_ICE,852.1,934.0,289199,1818658,1620082,3370989,3.78,81.9,9.6,6.29
1638904100,ENCHANTED_ICE,852.2,933.4,295719,1821396,1620083,3371451,3.78,81.2,9.5,6.16
1638904100,ENCHANTED_ICE,852.2,933.4,295719,1821396,1620083,3371451,3.78,81.2,9.5,6.16
1638904100,ENCHANTED_ICE,852.2,933.4,295719,1821396,1620083,3371451,3.78,81.2,9.5,6.16
1638904189,ENCHANTED_ICE,852.3,933.2,295580,1820572,1620147,3371779,3.78,80.9,9.5,6.16
1638904196,ENCHANTED_ICE,852.3,933.2,295580,1820572,1620147,3371779,3.78,80.9,9.5,6.16
1638905497,ENCHANTED_ICE,856.1,933.5,288203,1818082,1623423,3381117,3.76,77.4,9.0,6.31
1638905504,ENCHANTED_ICE,856.1,933.5,288203,1818082,1623423,3381117,3.76,77.4,9.0,6.31
