UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_LAPIS_LAZULI,672.5,711.1,244427,453497,5083570,13291848,0.24,38.6,5.7,1.86
1638903006,ENCHANTED_LAPIS_LAZULI,690.0,715.9,241998,473017,5085999,13295968,0.25,25.9,3.8,1.95
1638903006,ENCHANTED_LAPIS_LAZULI,690.0,715.9,241998,473017,5085999,13295968,0.25,25.9,3.8,1.95
1638903057,ENCHANTED_LAPIS_LAZULI,690.1,715.8,242675,479895,5086023,13296438,0.25,25.7,3.7,1.98
1638903086,ENCHANTED_LAPIS_LAZULI,690.1,716.2,239981,479617,5088717,13296716,0.25,26.1,3.8,2.0
1638903086,ENCHANTED_LAPIS_LAZULI,690.1,716.2,239981,479617,5088717,13296716,0.25,26.1,3.8,2.0
1638903086,ENCHANTED_LAPIS_LAZULI,690.1,716.2,239981,479617,5088717,13296716,0.25,26.1,3.8,2.0
1638903086,ENCHANTED_LAPIS_LAZULI,690.1,716.2,239981,479617,5088717,13296716,0.25,26.1,3.8,2.0
1638903226,ENCHANTED_LAPIS_LAZULI,690.2,720.7,238340,475753,5090733,13300753,0.25,30.5,4.4,2.0
1638903233,ENCHANTED_LAPIS_LAZULI,690.2,720.7,238340,475753,5090733,13300753,0.25,30.5,4.4,2.0
1638903240,ENCHANTED_LAPIS_LAZULI,690.2,726.4,236420,476771,5092653,13300755,0.25,36.2,5.2,2.02
1638903248,ENCHANTED_LAPIS_LAZULI,690.2,726.4,236420,476771,5092653,13300755,0.25,36.2,5.2,2.02
1638903855,ENCHANTED_LAPIS_LAZULI,650.6,740.3,227712,504750,5105719,13313770,0.27,89.7,13.8,2.22
1638904100,ENCHANTED_LAPIS_LAZULI,650.6,739.6,233265,499828,5106949,13320692,0.26,89.0,13.7,2.14
1638904100,ENCHANTED_LAPIS_LAZULI,650.6,739.6,233265,499828,5106949,13320692,0.26,89.0,13.7,2.14
1638904100,ENCHANTED_LAPIS_LAZULI,650.6,739.6,233265,499828,5106949,13320692,0.26,89.0,13.7,2.14
1638904189,ENCHANTED_LAPIS_LAZULI,650.5,739.3,233223,503950,5107171,13324594,0.26,88.8,13.7,2.16
1638904196,ENCHANTED_LAPIS_LAZULI,650.5,739.3,233223,503950,5107171,13324594,0.26,88.8,13.7,2.16
1638905497,ENCHANTED_LAPIS_LAZULI,650.9,744.9,219594,464250,5093817,13284915,0.24,94.0,14.4,2.11
1638905504,ENCHANTED_LAPIS_LAZULI,650.9,744.9,219594,464250,5093817,13284915,0.24,94.0,14.4,2.11
1638906506,ENCHANTED_LAPIS_LAZULI,670.3,724.8,239936,481899,5078223,13268937,0.25,54.5,8.1,2.01
1638906538,ENCHANTED_LAPIS_LAZULI,670.5,724.7,239107,489605,5080035,13270302,0.26,54.2,8.1,2.05
1638906598,ENCHANTED_LAPIS_LAZULI,700.0,719.2,241643,494845,5080035,13272126,0.26,19.2,2.7,2.05
1638906612,ENCHANTED_LAPIS_LAZULI,700.0,719.2,241579,494845,5080099,13272126,0.26,19.2,2.7,2.05
1638906620,ENCHANTED_LAPIS_LAZULI,700.0,719.2,241579,494845,5080099,13272126,0.26,19.2,2.7,2.05
1638906646,ENCHANTED_LAPIS_LAZULI,700.1,719.1,241172,502659,5080506,13272383,0.27,19.0,2.7,2.08
1638906653,ENCHANTED_LAPIS_LAZULI,700.1,719.1,242028,502525,5080506,13272517,0.27,19.0,2.7,2.08
1638906660,ENCHANTED_LAPIS_LAZULI,700.1,719.0,242018,502378,5080516,13272664,0.26,18.9,2.7,2.08
1638906889,ENCHANTED_LAPIS_LAZULI,700.1,716.5,245543,501569,5081182,13277497,0.26,16.4,2.3,2.04
1638906898,ENCHANTED_LAPIS_LAZULI,700.1,716.4,246802,501424,5081182,13277642,0.26,16.3,2.3,2.03
1638906939,ENCHANTED_LAPIS_LAZULI,700.0,716.5,246354,499632,5083422,13279382,0.26,16.5,2.4,2.03
1638906980,ENCHANTED_LAPIS_LAZULI,700.0,718.7,244682,487772,5084766,13283195,0.26,18.7,2.7,1.99
1638907080,ENCHANTED_LAPIS_LAZULI,670.2,718.2,243579,459794,5086760,13287008,0.24,48.0,7.199999999999999,1.89
1638907129,ENCHANTED_LAPIS_LAZULI,670.4,718.2,243121,456615,5087218,13288498,0.24,47.8,7.1,1.88
1638907209,ENCHANTED_LAPIS_LAZULI,670.8,718.4,239673,462918,5087628,13289195,0.24,47.6,7.1,1.93
1638907229,ENCHANTED_LAPIS_LAZULI,680.0,718.3,241028,465138,5087628,13289575,0.25,38.3,5.6000000000000005,1.93
1638907265,ENCHANTED_LAPIS_LAZULI,680.0,718.3,241028,464331,5087628,13290382,0.24,38.3,5.6000000000000005,1.93
1638907280,ENCHANTED_LAPIS_LAZULI,680.0,718.3,241028,469331,5087628,13290382,0.25,38.3,5.6000000000000005,1.95
1638907311,ENCHANTED_LAPIS_LAZULI,680.0,718.2,241036,469085,5087628,13290628,0.25,38.2,5.6000000000000005,1.95
1638907322,ENCHANTED_LAPIS_LAZULI,681.9,718.2,241036,469085,5087628,13290628,0.25,36.3,5.3,1.95
1638907346,ENCHANTED_LAPIS_LAZULI,681.9,718.3,241036,455257,5087628,13290716,0.24,36.4,5.3,1.89
1638907359,ENCHANTED_LAPIS_LAZULI,681.9,718.3,241036,455257,5087628,13290716,0.24,36.4,5.3,1.89
1638907396,ENCHANTED_LAPIS_LAZULI,680.0,718.2,241427,447839,5087766,13290734,0.24,38.2,5.6000000000000005,1.85
1638907404,ENCHANTED_LAPIS_LAZULI,680.0,718.2,241427,447839,5087766,13290734,0.24,38.2,5.6000000000000005,1.85
1638907415,ENCHANTED_LAPIS_LAZULI,680.0,718.2,241427,445926,5087766,13292647,0.23,38.2,5.6000000000000005,1.85
1638907521,ENCHANTED_LAPIS_LAZULI,680.1,717.9,243540,470002,5087856,13293147,0.25,37.8,5.6000000000000005,1.93
1638907532,ENCHANTED_LAPIS_LAZULI,680.1,717.9,243540,470002,5087856,13293147,0.25,37.8,5.6000000000000005,1.93
1638907545,ENCHANTED_LAPIS_LAZULI,680.1,717.9,243540,470000,5087856,13293149,0.25,37.8,5.6000000000000005,1.93
1638907557,ENCHANTED_LAPIS_LAZULI,680.1,717.9,243540,470000,5087856,13293149,0.25,37.8,5.6000000000000005,1.93
1638907570,ENCHANTED_LAPIS_LAZULI,680.1,717.9,243516,469872,5087880,13293277,0.25,37.8,5.6000000000000005,1.93
1638907607,ENCHANTED_LAPIS_LAZULI,680.1,717.9,243506,469872,5087890,13293277,0.25,37.8,5.6000000000000005,1.93
1638907625,ENCHANTED_LAPIS_LAZULI,680.1,717.8,243506,469854,5087890,13293295,0.25,37.7,5.5,1.93
1638907672,ENCHANTED_LAPIS_LAZULI,680.1,717.8,242672,468097,5088914,13295052,0.25,37.7,5.5,1.93
