UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.0,46099.9,38979,233171,150212,466067,3.5,919.9,2.0,5.98
1638903006,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.0,46099.9,38979,232938,150212,466300,3.5,919.9,2.0,5.98
1638903006,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.0,46099.9,38979,232938,150212,466300,3.5,919.9,2.0,5.98
1638903057,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.0,46099.9,38979,232925,150212,466313,3.5,919.9,2.0,5.98
1638903086,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.1,46099.9,38971,232957,150220,466321,3.5,919.8,2.0,5.98
1638903086,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.1,46099.9,38971,232957,150220,466321,3.5,919.8,2.0,5.98
1638903086,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.1,46099.9,38971,232957,150220,466321,3.5,919.8,2.0,5.98
1638903086,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.1,46099.9,38971,232957,150220,466321,3.5,919.8,2.0,5.98
1638903226,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.0,46099.8,39264,232837,150230,466447,3.49,919.8,2.0,5.93
1638903233,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.0,46099.8,39264,232837,150230,466447,3.49,919.8,2.0,5.93
1638903240,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.0,46099.8,39264,232837,150230,466447,3.49,919.8,2.0,5.93
1638903248,ENCHANTED_LAPIS_LAZULI_BLOCK,45180.0,46099.8,39264,232837,150230,466447,3.49,919.8,2.0,5.93
1638903855,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.5,46099.4,39243,231849,150273,467128,3.47,919.9,2.0,5.91
1638904100,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.7,46099.4,39243,231611,150292,467434,3.47,919.7,2.0,5.9
1638904100,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.7,46099.4,39243,231611,150292,467434,3.47,919.7,2.0,5.9
1638904100,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.7,46099.4,39243,231611,150292,467434,3.47,919.7,2.0,5.9
1638904189,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.5,46099.8,39170,231566,150365,467439,3.47,920.3,2.0,5.91
1638904196,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.5,46099.8,39170,231566,150365,467439,3.47,920.3,2.0,5.91
1638905497,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.0,46099.6,39778,219492,150836,468780,3.28,920.6,2.0,5.52
1638905504,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.0,46099.6,39778,219492,150836,468780,3.28,920.6,2.0,5.52
1638906506,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.1,46099.1,39899,220114,150910,469271,3.28,920.0,2.0,5.52
1638906538,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.1,46099.5,39899,220081,150910,469304,3.28,920.4,2.0,5.52
1638906598,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.2,46099.5,39851,220080,150958,469305,3.28,920.3,2.0,5.52
1638906612,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.3,46099.4,39851,220100,150958,469305,3.28,920.1,2.0,5.52
1638906620,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.3,46099.4,39851,220100,150958,469305,3.28,920.1,2.0,5.52
1638906646,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.3,46099.4,39859,220065,150972,469352,3.28,920.1,2.0,5.52
1638906653,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.3,46099.3,39859,219464,150972,469358,3.27,920.0,2.0,5.51
1638906660,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.4,46099.3,39908,219464,150972,469358,3.27,919.9,2.0,5.5
1638906889,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.5,46099.5,39846,220390,151039,469509,3.29,920.0,2.0,5.53
1638906898,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.5,46099.5,39846,220383,151039,469516,3.29,920.0,2.0,5.53
1638906939,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.5,46099.4,39846,220383,151039,469516,3.29,919.9,2.0,5.53
1638906980,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.5,46099.3,39879,220015,151039,469884,3.28,919.8,2.0,5.52
1638907080,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.5,46099.3,39879,219956,151039,469943,3.28,919.8,2.0,5.52
1638907129,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.5,46099.5,39839,219956,151047,469943,3.28,920.0,2.0,5.52
1638907209,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.4,39843,219916,151111,470015,3.28,919.8,2.0,5.52
1638907229,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39843,219907,151111,470024,3.28,919.7,2.0,5.52
1638907265,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39844,219907,151111,470024,3.28,919.7,2.0,5.52
1638907280,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39844,219907,151111,470024,3.28,919.7,2.0,5.52
1638907311,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39844,219901,151111,470030,3.27,919.7,2.0,5.52
1638907322,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39844,219901,151111,470030,3.27,919.7,2.0,5.52
1638907346,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39844,219901,151111,470030,3.27,919.7,2.0,5.52
1638907359,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39844,219901,151111,470030,3.27,919.7,2.0,5.52
1638907396,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39844,219832,151111,470030,3.27,919.7,2.0,5.52
1638907404,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39844,219832,151111,470030,3.27,919.7,2.0,5.52
1638907415,ENCHANTED_LAPIS_LAZULI_BLOCK,45179.6,46099.3,39844,219827,151111,470035,3.27,919.7,2.0,5.52
1638907521,ENCHANTED_LAPIS_LAZULI_BLOCK,45225.6,46099.5,39812,219873,151143,470053,3.27,873.9,1.9,5.52
1638907532,ENCHANTED_LAPIS_LAZULI_BLOCK,45225.6,46099.5,39812,219873,151143,470053,3.27,873.9,1.9,5.52
1638907545,ENCHANTED_LAPIS_LAZULI_BLOCK,45225.7,46099.5,39812,219872,151143,470054,3.27,873.8,1.9,5.52
1638907557,ENCHANTED_LAPIS_LAZULI_BLOCK,45225.6,46099.5,39804,219872,151151,470054,3.27,873.9,1.9,5.52
1638907570,ENCHANTED_LAPIS_LAZULI_BLOCK,45225.6,46099.5,39804,219860,151151,470066,3.27,873.9,1.9,5.52
1638907607,ENCHANTED_LAPIS_LAZULI_BLOCK,45225.6,46099.5,39804,219860,151151,470066,3.27,873.9,1.9,5.52
1638907625,ENCHANTED_LAPIS_LAZULI_BLOCK,45225.6,46099.5,39804,219860,151151,470066,3.27,873.9,1.9,5.52
1638907672,ENCHANTED_LAPIS_LAZULI_BLOCK,45225.6,46099.6,39804,219841,151151,470085,3.27,874.0,1.9,5.52
