UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_LAVA_BUCKET,246945.2,253241.0,1176,27591,82155,45146,4.28,6295.8,2.5,23.46
1638903006,ENCHANTED_LAVA_BUCKET,246945.4,253240.8,1197,27601,82175,45147,4.28,6295.4,2.5,23.06
1638903006,ENCHANTED_LAVA_BUCKET,246945.4,253240.8,1197,27601,82175,45147,4.28,6295.4,2.5,23.06
1638903057,ENCHANTED_LAVA_BUCKET,246945.5,253240.8,1197,27608,82175,45149,4.28,6295.3,2.5,23.06
1638903086,ENCHANTED_LAVA_BUCKET,246945.5,253240.8,1194,27608,82178,45149,4.28,6295.3,2.5,23.12
1638903086,ENCHANTED_LAVA_BUCKET,246945.5,253240.8,1194,27608,82178,45149,4.28,6295.3,2.5,23.12
1638903086,ENCHANTED_LAVA_BUCKET,246945.5,253240.8,1194,27608,82178,45149,4.28,6295.3,2.5,23.12
1638903086,ENCHANTED_LAVA_BUCKET,246945.5,253240.8,1194,27608,82178,45149,4.28,6295.3,2.5,23.12
1638903226,ENCHANTED_LAVA_BUCKET,246945.4,253240.6,1222,27601,82188,45149,4.28,6295.2,2.5,22.59
1638903233,ENCHANTED_LAVA_BUCKET,246945.4,253240.6,1222,27601,82188,45149,4.28,6295.2,2.5,22.59
1638903240,ENCHANTED_LAVA_BUCKET,246945.4,253240.6,1221,27600,82189,45150,4.28,6295.2,2.5,22.6
1638903248,ENCHANTED_LAVA_BUCKET,246945.4,253240.6,1221,27600,82189,45150,4.28,6295.2,2.5,22.6
1638903855,ENCHANTED_LAVA_BUCKET,246945.7,253240.8,1112,28400,82088,45012,4.42,6295.1,2.5,25.54
1638904100,ENCHANTED_LAVA_BUCKET,246946.0,253240.1,1243,28419,82113,45019,4.42,6294.1,2.5,22.86
1638904100,ENCHANTED_LAVA_BUCKET,246946.0,253240.1,1243,28419,82113,45019,4.42,6294.1,2.5,22.86
1638904100,ENCHANTED_LAVA_BUCKET,246946.0,253240.1,1243,28419,82113,45019,4.42,6294.1,2.5,22.86
1638904189,ENCHANTED_LAVA_BUCKET,246945.9,253240.2,1220,28409,82137,45019,4.42,6294.3,2.5,23.29
1638904196,ENCHANTED_LAVA_BUCKET,246945.9,253240.2,1220,28409,82137,45019,4.42,6294.3,2.5,23.29
1638905497,ENCHANTED_LAVA_BUCKET,246946.6,253238.9,1248,28328,82014,44956,4.41,6292.3,2.5,22.7
1638905504,ENCHANTED_LAVA_BUCKET,246946.6,253238.9,1248,28328,82014,44956,4.41,6292.3,2.5,22.7
1638906506,ENCHANTED_LAVA_BUCKET,246946.9,253237.0,1260,28397,81876,44997,4.42,6290.1,2.5,22.54
1638906538,ENCHANTED_LAVA_BUCKET,246946.8,253237.1,1260,28382,81877,45004,4.41,6290.3,2.5,22.53
1638906598,ENCHANTED_LAVA_BUCKET,246946.8,253237.0,1269,28375,81885,45011,4.41,6290.2,2.5,22.36
1638906612,ENCHANTED_LAVA_BUCKET,246946.8,253237.0,1254,28372,81886,45014,4.41,6290.2,2.5,22.63
1638906620,ENCHANTED_LAVA_BUCKET,246946.8,253237.0,1254,28372,81886,45014,4.41,6290.2,2.5,22.63
1638906646,ENCHANTED_LAVA_BUCKET,246946.9,253237.0,1254,28372,81886,45014,4.41,6290.1,2.5,22.63
1638906653,ENCHANTED_LAVA_BUCKET,246946.9,253237.0,1254,28384,81886,45014,4.41,6290.1,2.5,22.63
1638906660,ENCHANTED_LAVA_BUCKET,246946.8,253237.0,1254,28376,81886,45022,4.41,6290.2,2.5,22.63
1638906889,ENCHANTED_LAVA_BUCKET,246946.9,253235.8,1270,28392,81903,45050,4.41,6288.9,2.5,22.36
1638906898,ENCHANTED_LAVA_BUCKET,246946.9,253235.8,1270,28392,81903,45050,4.41,6288.9,2.5,22.36
1638906939,ENCHANTED_LAVA_BUCKET,246946.8,253235.7,1270,28387,81903,45055,4.41,6288.9,2.5,22.35
1638906980,ENCHANTED_LAVA_BUCKET,246946.8,253235.7,1255,28356,81914,45089,4.4,6288.9,2.5,22.59
1638907080,ENCHANTED_LAVA_BUCKET,246947.0,253235.5,1271,28296,81935,45100,4.39,6288.5,2.5,22.26
1638907129,ENCHANTED_LAVA_BUCKET,247261.4,253235.5,1269,28298,81937,45101,4.39,5974.1,2.4,22.3
1638907209,ENCHANTED_LAVA_BUCKET,247261.5,253235.2,1281,28327,81942,45101,4.4,5973.7,2.4,22.11
1638907229,ENCHANTED_LAVA_BUCKET,247261.6,252637.8,1278,28327,81945,45101,4.4,5376.2,2.2,22.17
1638907265,ENCHANTED_LAVA_BUCKET,247261.7,252637.8,1304,28328,81945,45101,4.4,5376.1,2.2,21.72
1638907280,ENCHANTED_LAVA_BUCKET,247261.8,252637.7,1304,28330,81945,45101,4.4,5375.9,2.2,21.73
1638907311,ENCHANTED_LAVA_BUCKET,247261.8,253235.5,1279,28338,81970,45103,4.4,5973.7,2.4,22.16
1638907322,ENCHANTED_LAVA_BUCKET,247261.8,253235.5,1278,28338,81971,45103,4.4,5973.7,2.4,22.17
1638907346,ENCHANTED_LAVA_BUCKET,247261.8,253235.5,1262,28338,81987,45103,4.4,5973.7,2.4,22.45
1638907359,ENCHANTED_LAVA_BUCKET,247261.8,253235.5,1262,28338,81987,45103,4.4,5973.7,2.4,22.45
1638907396,ENCHANTED_LAVA_BUCKET,247261.9,253235.4,1259,28339,81990,45103,4.4,5973.5,2.4,22.51
1638907404,ENCHANTED_LAVA_BUCKET,247261.9,253235.4,1259,28339,81990,45103,4.4,5973.5,2.4,22.51
1638907415,ENCHANTED_LAVA_BUCKET,247262.1,253235.6,1261,28350,81995,45103,4.4,5973.5,2.4,22.48
1638907521,ENCHANTED_LAVA_BUCKET,247262.2,253236.1,1212,28397,82044,45112,4.41,5973.9,2.4,23.43
1638907532,ENCHANTED_LAVA_BUCKET,247262.2,253236.1,1212,28397,82044,45112,4.41,5973.9,2.4,23.43
1638907545,ENCHANTED_LAVA_BUCKET,247262.3,253236.3,1195,28398,82061,45118,4.41,5974.0,2.4,23.76
1638907557,ENCHANTED_LAVA_BUCKET,247262.3,253236.3,1188,28398,82068,45118,4.41,5974.0,2.4,23.9
1638907570,ENCHANTED_LAVA_BUCKET,247262.4,253236.2,1188,28398,82068,45118,4.41,5973.8,2.4,23.9
