UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_MELON,245.2,294.8,1800097,1042330,7120008,7972348,0.92,49.6,20.200000000000003,-1.73
1638903006,ENCHANTED_MELON,245.2,294.1,1808473,1043156,7121232,7972546,0.92,48.9,19.9,-1.73
1638903006,ENCHANTED_MELON,245.2,294.1,1808473,1043156,7121232,7972546,0.92,48.9,19.9,-1.73
1638903057,ENCHANTED_MELON,247.6,294.0,1810873,1042980,7121232,7972722,0.92,46.4,18.7,-1.74
1638903086,ENCHANTED_MELON,245.2,293.8,1811454,1042740,7121232,7973462,0.92,48.6,19.8,-1.74
1638903086,ENCHANTED_MELON,245.2,293.8,1811454,1042740,7121232,7973462,0.92,48.6,19.8,-1.74
1638903086,ENCHANTED_MELON,245.2,293.8,1811454,1042740,7121232,7973462,0.92,48.6,19.8,-1.74
1638903086,ENCHANTED_MELON,245.2,293.8,1811454,1042740,7121232,7973462,0.92,48.6,19.8,-1.74
1638903226,ENCHANTED_MELON,245.4,288.6,1821805,1044008,7121232,7974018,0.92,43.2,17.599999999999998,-1.75
1638903233,ENCHANTED_MELON,245.4,288.6,1821805,1044008,7121232,7974018,0.92,43.2,17.599999999999998,-1.75
1638903240,ENCHANTED_MELON,245.4,288.6,1826205,1043444,7121232,7974582,0.92,43.2,17.599999999999998,-1.75
1638903248,ENCHANTED_MELON,245.4,288.6,1826205,1043444,7121232,7974582,0.92,43.2,17.599999999999998,-1.75
1638903855,ENCHANTED_MELON,245.6,287.2,1841579,1058372,7122768,7979333,0.93,41.6,16.900000000000002,-1.74
1638904100,ENCHANTED_MELON,245.2,286.2,1855123,1042442,7123728,7994524,0.91,41.0,16.7,-1.78
1638904100,ENCHANTED_MELON,245.2,286.2,1855123,1042442,7123728,7994524,0.91,41.0,16.7,-1.78
1638904100,ENCHANTED_MELON,245.2,286.2,1855123,1042442,7123728,7994524,0.91,41.0,16.7,-1.78
1638904189,ENCHANTED_MELON,245.1,285.8,1859733,1009664,7082064,7964432,0.89,40.7,16.6,-1.84
1638904196,ENCHANTED_MELON,245.1,285.8,1859733,1009664,7082064,7964432,0.89,40.7,16.6,-1.84
1638905497,ENCHANTED_MELON,245.4,283.6,1900928,1020288,7088016,8011051,0.89,38.2,15.6,-1.86
1638905504,ENCHANTED_MELON,245.4,283.6,1900928,1020288,7088016,8011051,0.89,38.2,15.6,-1.86
1638906506,ENCHANTED_MELON,245.8,285.0,1891357,1077822,7134144,8019796,0.94,39.2,15.9,-1.75
1638906538,ENCHANTED_MELON,245.8,285.0,1891357,1077681,7134144,8019937,0.94,39.2,15.9,-1.76
1638906598,ENCHANTED_MELON,245.8,284.9,1896357,1077681,7134144,8019937,0.94,39.1,15.9,-1.76
1638906612,ENCHANTED_MELON,245.8,284.9,1896357,1077681,7134144,8019937,0.94,39.1,15.9,-1.76
1638906620,ENCHANTED_MELON,245.8,284.9,1896357,1077681,7134144,8019937,0.94,39.1,15.9,-1.76
1638906646,ENCHANTED_MELON,245.8,284.9,1896357,1076480,7134144,8021138,0.94,39.1,15.9,-1.76
1638906653,ENCHANTED_MELON,245.8,284.9,1896293,1076480,7134208,8021138,0.94,39.1,15.9,-1.76
1638906660,ENCHANTED_MELON,245.8,284.9,1896293,1076480,7134208,8021138,0.94,39.1,15.9,-1.76
1638906889,ENCHANTED_MELON,245.9,284.7,1895277,1080604,7135296,8021934,0.94,38.8,15.8,-1.75
1638906898,ENCHANTED_MELON,245.9,284.7,1896300,1080604,7135297,8021934,0.94,38.8,15.8,-1.75
1638906939,ENCHANTED_MELON,245.9,284.7,1896300,1080532,7135297,8022006,0.94,38.8,15.8,-1.75
1638906980,ENCHANTED_MELON,245.9,284.7,1895700,1080489,7135897,8022049,0.94,38.8,15.8,-1.75
1638907080,ENCHANTED_MELON,245.9,284.8,1894740,1080318,7137753,8022220,0.94,38.9,15.8,-1.75
1638907129,ENCHANTED_MELON,245.8,284.6,1901172,1076559,7137753,8025979,0.94,38.8,15.8,-1.77
1638907209,ENCHANTED_MELON,245.8,284.6,1898292,1075274,7140633,8026856,0.94,38.8,15.8,-1.77
1638907229,ENCHANTED_MELON,245.8,284.9,1894441,1075146,7142564,8026984,0.94,39.1,15.9,-1.76
1638907265,ENCHANTED_MELON,245.9,284.9,1892521,1080146,7144484,8026984,0.94,39.0,15.9,-1.75
1638907280,ENCHANTED_MELON,245.9,285.0,1891497,1080146,7145508,8026984,0.94,39.1,15.9,-1.75
1638907311,ENCHANTED_MELON,246.0,286.8,1885190,1087001,7149349,8027629,0.95,40.8,16.6,-1.73
