UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_MELON_BLOCK,25490.1,26707.1,36185,153019,167489,368032,2.91,1217.0,4.8,4.23
1638903006,ENCHANTED_MELON_BLOCK,25490.1,26707.1,36185,153000,167489,368051,2.91,1217.0,4.8,4.23
1638903006,ENCHANTED_MELON_BLOCK,25490.1,26707.1,36185,153000,167489,368051,2.91,1217.0,4.8,4.23
1638903057,ENCHANTED_MELON_BLOCK,25490.1,26707.1,36185,152997,167489,368054,2.91,1217.0,4.8,4.23
1638903086,ENCHANTED_MELON_BLOCK,25490.1,26707.1,36183,152994,167489,368057,2.91,1217.0,4.8,4.23
1638903086,ENCHANTED_MELON_BLOCK,25490.1,26707.1,36183,152994,167489,368057,2.91,1217.0,4.8,4.23
1638903086,ENCHANTED_MELON_BLOCK,25490.1,26707.1,36183,152994,167489,368057,2.91,1217.0,4.8,4.23
1638903086,ENCHANTED_MELON_BLOCK,25490.1,26707.1,36183,152994,167489,368057,2.91,1217.0,4.8,4.23
1638903226,ENCHANTED_MELON_BLOCK,25490.0,26706.9,36223,152760,167490,368291,2.9,1216.9,4.8,4.22
1638903233,ENCHANTED_MELON_BLOCK,25490.0,26706.9,36223,152760,167490,368291,2.9,1216.9,4.8,4.22
1638903240,ENCHANTED_MELON_BLOCK,25490.0,26707.1,35979,152753,167554,368298,2.9,1217.1,4.8,4.25
1638903248,ENCHANTED_MELON_BLOCK,25490.0,26707.1,35979,152753,167554,368298,2.9,1217.1,4.8,4.25
1638903855,ENCHANTED_MELON_BLOCK,25490.0,26706.9,35971,152585,167710,368530,2.9,1216.9,4.8,4.24
1638904100,ENCHANTED_MELON_BLOCK,25490.0,26706.5,37010,152563,167734,368552,2.9,1216.5,4.8,4.12
1638904100,ENCHANTED_MELON_BLOCK,25490.0,26706.5,37010,152563,167734,368552,2.9,1216.5,4.8,4.12
1638904100,ENCHANTED_MELON_BLOCK,25490.0,26706.5,37010,152563,167734,368552,2.9,1216.5,4.8,4.12
1638904189,ENCHANTED_MELON_BLOCK,25418.5,26706.5,37010,152418,167734,368697,2.89,1288.0,5.1,4.12
1638904196,ENCHANTED_MELON_BLOCK,25418.5,26706.5,37010,152418,167734,368697,2.89,1288.0,5.1,4.12
1638905497,ENCHANTED_MELON_BLOCK,25400.1,26706.1,37825,152627,167823,369519,2.89,1306.0,5.1,4.04
1638905504,ENCHANTED_MELON_BLOCK,25400.1,26706.1,37825,152627,167823,369519,2.89,1306.0,5.1,4.04
1638906506,ENCHANTED_MELON_BLOCK,25400.1,26706.2,37542,152752,168119,370326,2.89,1306.1,5.1,4.07
1638906538,ENCHANTED_MELON_BLOCK,25400.1,26706.2,37534,152751,168127,370327,2.89,1306.1,5.1,4.07
1638906598,ENCHANTED_MELON_BLOCK,25400.1,26706.1,37590,152751,168127,370327,2.89,1306.0,5.1,4.06
1638906612,ENCHANTED_MELON_BLOCK,25400.1,26706.1,37590,152751,168127,370327,2.89,1306.0,5.1,4.06
1638906620,ENCHANTED_MELON_BLOCK,25400.1,26706.1,37590,152751,168127,370327,2.89,1306.0,5.1,4.06
1638906646,ENCHANTED_MELON_BLOCK,25400.1,26706.1,37590,152749,168127,370329,2.89,1306.0,5.1,4.06
1638906653,ENCHANTED_MELON_BLOCK,25400.1,26706.1,37590,152749,168127,370329,2.89,1306.0,5.1,4.06
1638906660,ENCHANTED_MELON_BLOCK,25400.1,26706.1,37590,152749,168127,370329,2.89,1306.0,5.1,4.06
1638906889,ENCHANTED_MELON_BLOCK,25400.0,26705.9,37558,151819,168153,370457,2.87,1305.9,5.1,4.04
1638906898,ENCHANTED_MELON_BLOCK,25400.0,26705.9,37558,151819,168153,370457,2.87,1305.9,5.1,4.04
1638906939,ENCHANTED_MELON_BLOCK,25400.0,26705.9,37558,151819,168153,370457,2.87,1305.9,5.1,4.04
1638906980,ENCHANTED_MELON_BLOCK,25400.0,26705.9,37558,151819,168153,370457,2.87,1305.9,5.1,4.04
1638907080,ENCHANTED_MELON_BLOCK,25400.0,26705.9,37558,151551,168153,370725,2.86,1305.9,5.1,4.04
1638907129,ENCHANTED_MELON_BLOCK,25400.0,26705.9,37558,151538,168153,370738,2.86,1305.9,5.1,4.03
1638907209,ENCHANTED_MELON_BLOCK,25400.0,26705.8,37643,151528,168153,370748,2.86,1305.8,5.1,4.03
1638907229,ENCHANTED_MELON_BLOCK,25400.0,26705.8,37643,151527,168153,370749,2.86,1305.8,5.1,4.03
1638907265,ENCHANTED_MELON_BLOCK,25400.0,26705.8,37619,151522,168177,370754,2.86,1305.8,5.1,4.03
