UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_MITHRIL,1526.9,1617.6,558590,466427,3239353,14840078,0.22,90.7,5.9,-1.2
1638903006,ENCHANTED_MITHRIL,1527.1,1617.7,558142,446526,3239801,14840849,0.21,90.6,5.9,-1.25
1638903006,ENCHANTED_MITHRIL,1527.1,1617.7,558142,446526,3239801,14840849,0.21,90.6,5.9,-1.25
1638903057,ENCHANTED_MITHRIL,1527.2,1617.8,557253,447501,3240825,14840962,0.21,90.6,5.9,-1.25
1638903086,ENCHANTED_MITHRIL,1527.3,1617.7,557253,449342,3240825,14841121,0.21,90.4,5.9,-1.24
1638903086,ENCHANTED_MITHRIL,1527.3,1617.7,557253,449342,3240825,14841121,0.21,90.4,5.9,-1.24
1638903086,ENCHANTED_MITHRIL,1527.3,1617.7,557253,449342,3240825,14841121,0.21,90.4,5.9,-1.24
1638903086,ENCHANTED_MITHRIL,1527.3,1617.7,557253,449342,3240825,14841121,0.21,90.4,5.9,-1.24
1638903226,ENCHANTED_MITHRIL,1527.6,1617.8,551096,448661,3247046,14844501,0.21,90.2,5.9,-1.23
1638903233,ENCHANTED_MITHRIL,1527.6,1617.8,551096,448661,3247046,14844501,0.21,90.2,5.9,-1.23
1638903240,ENCHANTED_MITHRIL,1527.6,1617.8,551008,493457,3247134,14845505,0.23,90.2,5.9,-1.12
1638903248,ENCHANTED_MITHRIL,1527.6,1617.8,551008,493457,3247134,14845505,0.23,90.2,5.9,-1.12
1638903855,ENCHANTED_MITHRIL,1528.1,1617.2,558925,479285,3251988,14881171,0.23,89.1,5.800000000000001,-1.17
1638904100,ENCHANTED_MITHRIL,1530.2,1616.9,555901,502449,3252865,14883806,0.24,86.7,5.7,-1.11
1638904100,ENCHANTED_MITHRIL,1530.2,1616.9,555901,502449,3252865,14883806,0.24,86.7,5.7,-1.11
1638904100,ENCHANTED_MITHRIL,1530.2,1616.9,555901,502449,3252865,14883806,0.24,86.7,5.7,-1.11
1638904189,ENCHANTED_MITHRIL,1530.0,1616.9,555108,498473,3253665,14887782,0.23,86.9,5.7,-1.11
1638904196,ENCHANTED_MITHRIL,1530.0,1616.9,555108,498473,3253665,14887782,0.23,86.9,5.7,-1.11
1638905497,ENCHANTED_MITHRIL,1528.2,1606.8,562401,452753,3207332,14762386,0.21,78.6,5.1,-1.24
1638905504,ENCHANTED_MITHRIL,1528.2,1606.8,562401,452753,3207332,14762386,0.21,78.6,5.1,-1.24
1638906506,ENCHANTED_MITHRIL,1528.2,1607.6,558447,351093,3211970,14803872,0.17,79.4,5.2,-1.59
1638906538,ENCHANTED_MITHRIL,1528.2,1607.6,558319,351074,3212098,14803891,0.17,79.4,5.2,-1.59
1638906598,ENCHANTED_MITHRIL,1528.3,1616.3,558136,347626,3212874,14808107,0.16,88.0,5.800000000000001,-1.61
1638906612,ENCHANTED_MITHRIL,1528.3,1616.3,558136,348326,3212874,14808107,0.16,88.0,5.800000000000001,-1.6
1638906620,ENCHANTED_MITHRIL,1528.3,1616.3,558136,348326,3212874,14808107,0.16,88.0,5.800000000000001,-1.6
1638906646,ENCHANTED_MITHRIL,1528.4,1616.2,557879,352374,3213131,14808159,0.17,87.8,5.7,-1.58
1638906653,ENCHANTED_MITHRIL,1528.4,1616.2,558779,352373,3213131,14808160,0.17,87.8,5.7,-1.59
1638906660,ENCHANTED_MITHRIL,1528.4,1616.2,558779,352184,3213131,14808349,0.17,87.8,5.7,-1.59
1638906889,ENCHANTED_MITHRIL,1544.5,1615.9,560018,352014,3213565,14809486,0.17,71.4,4.6,-1.59
1638906898,ENCHANTED_MITHRIL,1544.5,1616.0,559954,351996,3213629,14809504,0.17,71.5,4.6,-1.59
1638906939,ENCHANTED_MITHRIL,1544.5,1616.0,558297,348998,3214413,14809537,0.16,71.5,4.6,-1.6
1638906980,ENCHANTED_MITHRIL,1527.7,1616.4,557497,342895,3215213,14816440,0.16,88.7,5.800000000000001,-1.63
1638907080,ENCHANTED_MITHRIL,1527.7,1616.7,554778,342222,3217026,14817613,0.16,89.0,5.800000000000001,-1.62
1638907129,ENCHANTED_MITHRIL,1527.9,1617.0,553601,341917,3218210,14819742,0.16,89.1,5.800000000000001,-1.62
1638907209,ENCHANTED_MITHRIL,1528.0,1616.9,553670,348063,3218500,14820046,0.16,88.9,5.800000000000001,-1.59
1638907229,ENCHANTED_MITHRIL,1528.0,1616.9,553670,346068,3218500,14822041,0.16,88.9,5.800000000000001,-1.6
1638907265,ENCHANTED_MITHRIL,1528.1,1617.0,553030,346677,3219140,14822074,0.16,88.9,5.800000000000001,-1.6
1638907280,ENCHANTED_MITHRIL,1528.1,1617.0,553030,346637,3219140,14822114,0.16,88.9,5.800000000000001,-1.6
1638907311,ENCHANTED_MITHRIL,1528.1,1617.5,552933,346635,3219237,14822116,0.16,89.4,5.9,-1.6
1638907322,ENCHANTED_MITHRIL,1528.2,1617.5,552773,346635,3219397,14822116,0.16,89.3,5.800000000000001,-1.59
1638907346,ENCHANTED_MITHRIL,1528.3,1617.5,552275,347602,3219895,14822181,0.16,89.2,5.800000000000001,-1.59
1638907359,ENCHANTED_MITHRIL,1528.3,1617.5,552275,347602,3219895,14822181,0.16,89.2,5.800000000000001,-1.59
1638907396,ENCHANTED_MITHRIL,1528.3,1617.5,552275,347302,3219895,14822481,0.16,89.2,5.800000000000001,-1.59
1638907404,ENCHANTED_MITHRIL,1528.3,1617.5,552275,347302,3219895,14822481,0.16,89.2,5.800000000000001,-1.59
1638907415,ENCHANTED_MITHRIL,1528.2,1617.5,552275,347257,3219895,14822526,0.16,89.3,5.800000000000001,-1.59
1638907521,ENCHANTED_MITHRIL,1528.5,1617.7,552035,347121,3220135,14822805,0.16,89.2,5.800000000000001,-1.59
1638907532,ENCHANTED_MITHRIL,1528.5,1617.7,552035,347121,3220135,14822805,0.16,89.2,5.800000000000001,-1.59
1638907545,ENCHANTED_MITHRIL,1528.4,1617.7,552035,347121,3220135,14822805,0.16,89.3,5.800000000000001,-1.59
1638907557,ENCHANTED_MITHRIL,1528.4,1617.7,552036,347058,3220135,14822805,0.16,89.3,5.800000000000001,-1.59
1638907570,ENCHANTED_MITHRIL,1528.5,1617.7,552036,357213,3220135,14822810,0.17,89.2,5.800000000000001,-1.55
1638907607,ENCHANTED_MITHRIL,1528.6,1608.7,553260,357140,3220135,14822813,0.17,80.1,5.2,-1.55
1638907625,ENCHANTED_MITHRIL,1528.6,1608.6,553260,360841,3220135,14823224,0.17,80.0,5.2,-1.53
1638907672,ENCHANTED_MITHRIL,1528.6,1608.3,556688,360536,3220229,14823529,0.17,79.7,5.2,-1.54
