UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903006,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903006,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903057,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903086,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903086,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903086,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903086,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903226,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903233,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903240,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903248,ENCHANTED_NETHERRACK,383.2,648.5,64033,172865,71542,142778,8.48,265.3,69.19999999999999,2.7
1638903855,ENCHANTED_NETHERRACK,383.2,648.3,64068,172855,71543,142788,8.47,265.1,69.19999999999999,2.7
1638904100,ENCHANTED_NETHERRACK,383.4,648.3,64068,174901,71543,142790,8.57,264.9,69.1,2.73
1638904100,ENCHANTED_NETHERRACK,383.4,648.3,64068,174901,71543,142790,8.57,264.9,69.1,2.73
1638904100,ENCHANTED_NETHERRACK,383.4,648.3,64068,174901,71543,142790,8.57,264.9,69.1,2.73
1638904189,ENCHANTED_NETHERRACK,383.2,648.2,64430,172853,71543,142792,8.47,265.0,69.19999999999999,2.68
1638904196,ENCHANTED_NETHERRACK,383.2,648.2,64430,172853,71543,142792,8.47,265.0,69.19999999999999,2.68
1638905497,ENCHANTED_NETHERRACK,385.0,648.2,64792,172972,71522,142530,8.5,263.2,68.4,2.67
1638905504,ENCHANTED_NETHERRACK,385.0,648.2,64792,172972,71522,142530,8.5,263.2,68.4,2.67
