UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_OBSIDIAN,2538.0,2580.9,248106,825686,2790389,8222863,0.7,42.9,1.7000000000000002,3.33
1638903006,ENCHANTED_OBSIDIAN,2538.0,2580.9,248096,825138,2790399,8223443,0.7,42.9,1.7000000000000002,3.33
1638903006,ENCHANTED_OBSIDIAN,2538.0,2580.9,248096,825138,2790399,8223443,0.7,42.9,1.7000000000000002,3.33
1638903057,ENCHANTED_OBSIDIAN,2538.0,2580.9,248091,824213,2790404,8224496,0.7,42.9,1.7000000000000002,3.32
1638903086,ENCHANTED_OBSIDIAN,2538.0,2580.9,248091,823791,2790404,8224918,0.7,42.9,1.7000000000000002,3.32
1638903086,ENCHANTED_OBSIDIAN,2538.0,2580.9,248091,823791,2790404,8224918,0.7,42.9,1.7000000000000002,3.32
1638903086,ENCHANTED_OBSIDIAN,2538.0,2580.9,248091,823791,2790404,8224918,0.7,42.9,1.7000000000000002,3.32
1638903086,ENCHANTED_OBSIDIAN,2538.0,2580.9,248091,823791,2790404,8224918,0.7,42.9,1.7000000000000002,3.32
1638903226,ENCHANTED_OBSIDIAN,2538.1,2576.2,248982,822989,2790477,8226370,0.7,38.1,1.5,3.31
1638903233,ENCHANTED_OBSIDIAN,2538.1,2576.2,248982,822989,2790477,8226370,0.7,38.1,1.5,3.31
1638903240,ENCHANTED_OBSIDIAN,2538.2,2576.3,248918,823277,2790541,8226402,0.7,38.1,1.5,3.31
1638903248,ENCHANTED_OBSIDIAN,2538.2,2576.3,248918,823277,2790541,8226402,0.7,38.1,1.5,3.31
1638903855,ENCHANTED_OBSIDIAN,2538.2,2580.0,246759,822969,2795548,8237621,0.7,41.8,1.6,3.34
1638904100,ENCHANTED_OBSIDIAN,2538.1,2581.1,246558,822008,2796705,8240695,0.7,43.0,1.7000000000000002,3.33
1638904100,ENCHANTED_OBSIDIAN,2538.1,2581.1,246558,822008,2796705,8240695,0.7,43.0,1.7000000000000002,3.33
1638904100,ENCHANTED_OBSIDIAN,2538.1,2581.1,246558,822008,2796705,8240695,0.7,43.0,1.7000000000000002,3.33
1638904189,ENCHANTED_OBSIDIAN,2538.3,2581.4,246017,822358,2797249,8240988,0.7,43.1,1.7000000000000002,3.34
1638904196,ENCHANTED_OBSIDIAN,2538.3,2581.4,246017,822358,2797249,8240988,0.7,43.1,1.7000000000000002,3.34
1638905497,ENCHANTED_OBSIDIAN,2547.0,2581.7,230806,731095,2787489,8246716,0.62,34.7,1.4,3.17
1638905504,ENCHANTED_OBSIDIAN,2547.0,2581.7,230806,731095,2787489,8246716,0.62,34.7,1.4000000000000001,3.17
