UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_PORK,1442.9,1532.0,426082,324009,876974,1028424,2.21,89.1,6.2,-1.32
1638903006,ENCHANTED_PORK,1442.9,1532.0,426066,323896,876990,1028537,2.2,89.1,6.2,-1.32
1638903006,ENCHANTED_PORK,1442.9,1532.0,426066,323896,876990,1028537,2.2,89.1,6.2,-1.32
1638903057,ENCHANTED_PORK,1442.7,1532.0,426058,322184,876998,1030249,2.19,89.3,6.2,-1.32
1638903086,ENCHANTED_PORK,1442.7,1532.0,425834,322184,877222,1030249,2.19,89.3,6.2,-1.32
1638903086,ENCHANTED_PORK,1442.7,1532.0,425834,322184,877222,1030249,2.19,89.3,6.2,-1.32
1638903086,ENCHANTED_PORK,1442.7,1532.0,425834,322184,877222,1030249,2.19,89.3,6.2,-1.32
1638903086,ENCHANTED_PORK,1442.7,1532.0,425834,322184,877222,1030249,2.19,89.3,6.2,-1.32
1638903226,ENCHANTED_PORK,1442.7,1531.9,426794,321695,877286,1030802,2.18,89.2,6.2,-1.33
1638903233,ENCHANTED_PORK,1442.7,1531.9,426794,321695,877286,1030802,2.18,89.2,6.2,-1.33
1638903240,ENCHANTED_PORK,1442.7,1531.9,426218,321695,877862,1030802,2.18,89.2,6.2,-1.32
1638903248,ENCHANTED_PORK,1442.7,1531.9,426218,321695,877862,1030802,2.18,89.2,6.2,-1.32
1638903855,ENCHANTED_PORK,1442.6,1532.1,416323,321263,881003,1031250,2.18,89.5,6.2,-1.3
1638904100,ENCHANTED_PORK,1442.1,1531.9,416444,320001,881116,1032512,2.17,89.8,6.2,-1.3
1638904100,ENCHANTED_PORK,1442.1,1531.9,416444,320001,881116,1032512,2.17,89.8,6.2,-1.3
1638904100,ENCHANTED_PORK,1442.1,1531.9,416444,320001,881116,1032512,2.17,89.8,6.2,-1.3
1638904189,ENCHANTED_PORK,1442.1,1532.0,416426,319680,881134,1032833,2.17,89.9,6.2,-1.3
