UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_POTATO,182.9,223.9,650393,857406,1984080,4212824,1.42,41.0,22.4,1.32
1638903006,ENCHANTED_POTATO,182.9,223.9,650376,857105,1984097,4213125,1.42,41.0,22.4,1.32
1638903006,ENCHANTED_POTATO,182.9,223.9,650376,857105,1984097,4213125,1.42,41.0,22.4,1.32
1638903057,ENCHANTED_POTATO,185.1,223.9,650375,857205,1984098,4213125,1.42,38.8,21.0,1.32
1638903086,ENCHANTED_POTATO,185.1,223.9,650353,713005,1984120,4213125,1.18,38.8,21.0,1.1
1638903086,ENCHANTED_POTATO,185.1,223.9,650353,713005,1984120,4213125,1.18,38.8,21.0,1.1
1638903086,ENCHANTED_POTATO,185.1,223.9,650353,713005,1984120,4213125,1.18,38.8,21.0,1.1
1638903086,ENCHANTED_POTATO,185.1,223.9,650353,713005,1984120,4213125,1.18,38.8,21.0,1.1
1638903226,ENCHANTED_POTATO,185.2,223.7,655161,710672,1984200,4213623,1.18,38.5,20.8,1.08
1638903233,ENCHANTED_POTATO,185.2,223.7,655161,710672,1984200,4213623,1.18,38.5,20.8,1.08
1638903240,ENCHANTED_POTATO,185.2,223.7,655129,710670,1984232,4213625,1.18,38.5,20.8,1.08
1638903248,ENCHANTED_POTATO,185.2,223.7,655129,710670,1984232,4213625,1.18,38.5,20.8,1.08
1638903855,ENCHANTED_POTATO,185.3,223.4,656895,712740,1985001,4216647,1.18,38.1,20.6,1.09
1638904100,ENCHANTED_POTATO,185.3,223.2,657268,697881,1985020,4217599,1.16,37.9,20.5,1.06
1638904100,ENCHANTED_POTATO,185.3,223.2,657268,697881,1985020,4217599,1.16,37.9,20.5,1.06
1638904100,ENCHANTED_POTATO,185.3,223.2,657268,697881,1985020,4217599,1.16,37.9,20.5,1.06
1638904189,ENCHANTED_POTATO,185.3,223.2,657267,697603,1985021,4217877,1.16,37.9,20.5,1.06
1638904196,ENCHANTED_POTATO,185.3,223.2,657267,697603,1985021,4217877,1.16,37.9,20.5,1.06
1638905497,ENCHANTED_POTATO,181.4,222.2,657939,683063,1992086,4234934,1.13,40.8,22.5,1.04
1638905504,ENCHANTED_POTATO,181.4,222.2,657939,683063,1992086,4234934,1.13,40.8,22.5,1.04
