UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220973,69169,833053,1.86,71.2,22.0,23.18
1638903006,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220944,69169,833082,1.86,71.2,22.0,23.18
1638903006,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220944,69169,833082,1.86,71.2,22.0,23.18
1638903057,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220938,69169,833088,1.86,71.2,22.0,23.18
1638903086,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220895,69169,833131,1.86,71.2,22.0,23.18
1638903086,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220895,69169,833131,1.86,71.2,22.0,23.18
1638903086,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220895,69169,833131,1.86,71.2,22.0,23.18
1638903086,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220895,69169,833131,1.86,71.2,22.0,23.18
1638903226,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220849,69169,833177,1.86,71.2,22.0,23.17
1638903233,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220849,69169,833177,1.86,71.2,22.0,23.17
1638903240,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220845,69169,833181,1.86,71.2,22.0,23.17
1638903248,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.4,9531,220845,69169,833181,1.86,71.2,22.0,23.17
1638903855,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.3,9540,290601,69169,833425,2.44,71.1,21.9,30.46
1638904100,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.2,9547,290296,69169,833730,2.44,71.0,21.9,30.41
1638904100,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.2,9547,290296,69169,833730,2.44,71.0,21.9,30.41
1638904100,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.2,9547,290296,69169,833730,2.44,71.0,21.9,30.41
1638904189,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.1,9553,290238,69169,833788,2.44,70.9,21.9,30.38
1638904196,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.1,9553,290238,69169,833788,2.44,70.9,21.9,30.38
1638905497,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.2,9538,289029,69202,834998,2.42,71.0,21.9,30.3
1638905504,ENCHANTED_PRISMARINE_CRYSTALS,324.2,395.2,9538,289029,69202,834998,2.42,71.0,21.9,30.3
1638906506,ENCHANTED_PRISMARINE_CRYSTALS,324.3,404.9,7367,358808,71380,835834,3.0,80.6,24.9,48.7
1638906538,ENCHANTED_PRISMARINE_CRYSTALS,324.3,404.9,7367,358650,71380,835992,3.0,80.6,24.9,48.68
1638906598,ENCHANTED_PRISMARINE_CRYSTALS,324.3,404.8,7379,358610,71380,836032,3.0,80.5,24.8,48.6
1638906612,ENCHANTED_PRISMARINE_CRYSTALS,324.3,404.8,7379,358605,71380,836037,3.0,80.5,24.8,48.6
1638906620,ENCHANTED_PRISMARINE_CRYSTALS,324.3,404.8,7379,358605,71380,836037,3.0,80.5,24.8,48.6
1638906646,ENCHANTED_PRISMARINE_CRYSTALS,324.3,404.8,7379,358445,71380,836197,3.0,80.5,24.8,48.58
1638906653,ENCHANTED_PRISMARINE_CRYSTALS,324.3,404.8,7379,358443,71380,836199,3.0,80.5,24.8,48.58
1638906660,ENCHANTED_PRISMARINE_CRYSTALS,324.3,404.8,7379,358443,71380,836199,3.0,80.5,24.8,48.58
1638906889,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,429787,71380,836535,3.6,80.4,24.8,58.24
1638906898,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,429787,71380,836535,3.6,80.4,24.8,58.24
1638906939,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,429785,71380,836537,3.6,80.4,24.8,58.24
1638906980,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,429705,71380,836617,3.6,80.4,24.8,58.23
1638907080,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428936,71380,837386,3.59,80.4,24.8,58.13
1638907129,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428927,71380,837395,3.59,80.4,24.8,58.13
1638907209,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428924,71380,837398,3.59,80.4,24.8,58.13
1638907229,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428917,71380,837405,3.59,80.4,24.8,58.13
1638907265,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428898,71380,837424,3.59,80.4,24.8,58.12
1638907280,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428898,71380,837424,3.59,80.4,24.8,58.12
1638907311,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428852,71380,837470,3.58,80.4,24.8,58.12
1638907322,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428852,71380,837470,3.58,80.4,24.8,58.12
1638907346,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428837,71380,837485,3.58,80.4,24.8,58.12
1638907359,ENCHANTED_PRISMARINE_CRYSTALS,324.4,404.8,7379,428837,71380,837485,3.58,80.4,24.8,58.12
1638907396,ENCHANTED_PRISMARINE_CRYSTALS,324.5,404.8,7379,478836,71380,837486,4.0,80.3,24.7,64.89
1638907404,ENCHANTED_PRISMARINE_CRYSTALS,324.5,404.8,7379,478836,71380,837486,4.0,80.3,24.7,64.89
1638907415,ENCHANTED_PRISMARINE_CRYSTALS,324.5,404.8,7379,478771,71380,837551,4.0,80.3,24.7,64.88
1638907521,ENCHANTED_PRISMARINE_CRYSTALS,324.6,404.8,7379,488685,71380,837637,4.08,80.2,24.7,66.23
1638907532,ENCHANTED_PRISMARINE_CRYSTALS,324.6,404.8,7379,488685,71380,837637,4.08,80.2,24.7,66.23
1638907545,ENCHANTED_PRISMARINE_CRYSTALS,324.6,404.8,7379,488684,71380,837638,4.08,80.2,24.7,66.23
1638907557,ENCHANTED_PRISMARINE_CRYSTALS,324.6,404.8,7378,488684,71381,837638,4.08,80.2,24.7,66.24
1638907570,ENCHANTED_PRISMARINE_CRYSTALS,324.6,404.8,7378,488682,71381,837640,4.08,80.2,24.7,66.24
1638907607,ENCHANTED_PRISMARINE_CRYSTALS,324.6,404.8,7378,488676,71381,837646,4.08,80.2,24.7,66.23
1638907625,ENCHANTED_PRISMARINE_CRYSTALS,324.6,404.8,7378,488665,71381,837657,4.08,80.2,24.7,66.23
1638907672,ENCHANTED_PRISMARINE_CRYSTALS,324.6,404.8,7378,488659,71381,837663,4.08,80.2,24.7,66.23
