UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_PUMPKIN,1053.0,1182.1,126487,709041,1144912,2035796,2.44,129.1,12.3,5.61
1638903006,ENCHANTED_PUMPKIN,1053.0,1181.9,127126,708938,1144968,2035899,2.44,128.9,12.2,5.58
1638903006,ENCHANTED_PUMPKIN,1053.0,1181.9,127126,708938,1144968,2035899,2.44,128.9,12.2,5.58
1638903057,ENCHANTED_PUMPKIN,1053.0,1182.0,126934,708872,1145160,2035966,2.44,129.0,12.3,5.58
1638903086,ENCHANTED_PUMPKIN,1053.0,1182.0,126934,708854,1145160,2035984,2.44,129.0,12.3,5.58
1638903086,ENCHANTED_PUMPKIN,1053.0,1182.0,126934,708854,1145160,2035984,2.44,129.0,12.3,5.58
1638903086,ENCHANTED_PUMPKIN,1053.0,1182.0,126934,708854,1145160,2035984,2.44,129.0,12.3,5.58
1638903086,ENCHANTED_PUMPKIN,1053.0,1182.0,126934,708854,1145160,2035984,2.44,129.0,12.3,5.58
1638903226,ENCHANTED_PUMPKIN,1053.1,1179.9,127072,708575,1145160,2036420,2.44,126.8,12.0,5.58
1638903233,ENCHANTED_PUMPKIN,1053.1,1179.9,127072,708575,1145160,2036420,2.44,126.8,12.0,5.58
1638903240,ENCHANTED_PUMPKIN,1053.1,1179.9,127482,708575,1145161,2036420,2.44,126.8,12.0,5.56
1638903248,ENCHANTED_PUMPKIN,1053.1,1179.9,127482,708575,1145161,2036420,2.44,126.8,12.0,5.56
1638903855,ENCHANTED_PUMPKIN,1053.0,1182.6,126027,705350,1147713,2040157,2.42,129.6,12.3,5.6
1638904100,ENCHANTED_PUMPKIN,1053.1,1182.5,126087,705524,1147714,2040995,2.42,129.4,12.3,5.6
1638904100,ENCHANTED_PUMPKIN,1053.1,1182.5,126087,705524,1147714,2040995,2.42,129.4,12.3,5.6
1638904100,ENCHANTED_PUMPKIN,1053.1,1182.5,126087,705524,1147714,2040995,2.42,129.4,12.3,5.6
1638904189,ENCHANTED_PUMPKIN,1053.0,1182.4,126578,705306,1147723,2041213,2.42,129.4,12.3,5.57
1638904196,ENCHANTED_PUMPKIN,1053.0,1182.4,126578,705306,1147723,2041213,2.42,129.4,12.3,5.57
1638905497,ENCHANTED_PUMPKIN,1053.2,1169.7,126442,705891,1150317,2044980,2.42,116.5,11.1,5.58
1638905504,ENCHANTED_PUMPKIN,1053.2,1169.7,126442,705891,1150317,2044980,2.42,116.5,11.1,5.58
