UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_QUARTZ,1209.0,1286.3,325004,273908,1563189,4437007,0.43,77.3,6.4,-1.19
1638903006,ENCHANTED_QUARTZ,1209.0,1344.0,322836,273448,1565366,4437467,0.43,135.0,11.2,-1.18
1638903006,ENCHANTED_QUARTZ,1209.0,1344.0,322836,273448,1565366,4437467,0.43,135.0,11.2,-1.18
1638903057,ENCHANTED_QUARTZ,1209.0,1344.0,322612,273413,1565590,4437502,0.43,135.0,11.2,-1.18
1638903086,ENCHANTED_QUARTZ,1209.0,1344.0,322612,273166,1565590,4437749,0.43,135.0,11.2,-1.18
1638903086,ENCHANTED_QUARTZ,1209.0,1344.0,322612,273166,1565590,4437749,0.43,135.0,11.2,-1.18
1638903086,ENCHANTED_QUARTZ,1209.0,1344.0,322612,273166,1565590,4437749,0.43,135.0,11.2,-1.18
1638903086,ENCHANTED_QUARTZ,1209.0,1344.0,322612,273166,1565590,4437749,0.43,135.0,11.2,-1.18
1638903226,ENCHANTED_QUARTZ,1209.0,1343.9,322623,272894,1565595,4438021,0.43,134.9,11.2,-1.18
1638903233,ENCHANTED_QUARTZ,1209.0,1343.9,322623,272894,1565595,4438021,0.43,134.9,11.2,-1.18
1638903240,ENCHANTED_QUARTZ,1209.0,1343.9,322623,272736,1565595,4438179,0.43,134.9,11.2,-1.18
1638903248,ENCHANTED_QUARTZ,1209.0,1343.9,322623,272736,1565595,4438179,0.43,134.9,11.2,-1.18
1638903855,ENCHANTED_QUARTZ,1209.1,1343.9,322712,289311,1565775,4441604,0.46,134.8,11.1,-1.12
1638904100,ENCHANTED_QUARTZ,1209.1,1343.9,322205,287401,1566295,4443514,0.45,134.8,11.1,-1.12
1638904100,ENCHANTED_QUARTZ,1209.1,1343.9,322205,287401,1566295,4443514,0.45,134.8,11.1,-1.12
1638904100,ENCHANTED_QUARTZ,1209.1,1343.9,322205,287401,1566295,4443514,0.45,134.8,11.1,-1.12
1638904189,ENCHANTED_QUARTZ,1209.1,1343.8,323335,286268,1567296,4444647,0.45,134.7,11.1,-1.13
1638904196,ENCHANTED_QUARTZ,1209.1,1343.8,323335,286268,1567296,4444647,0.45,134.7,11.1,-1.13
1638905497,ENCHANTED_QUARTZ,1212.0,1343.8,307636,284829,1571259,4456517,0.45,131.8,10.9,-1.08
1638905504,ENCHANTED_QUARTZ,1212.0,1343.8,307636,284829,1571259,4456517,0.45,131.8,10.9,-1.08
