UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_QUARTZ_BLOCK,199508.2,209427.2,13535,155969,48943,77132,14.15,9919.0,5.0,11.52
1638903006,ENCHANTED_QUARTZ_BLOCK,199508.2,209427.2,13535,155969,48943,77132,14.15,9919.0,5.0,11.52
1638903006,ENCHANTED_QUARTZ_BLOCK,199508.2,209427.2,13535,155969,48943,77132,14.15,9919.0,5.0,11.52
1638903057,ENCHANTED_QUARTZ_BLOCK,199508.3,209427.1,13613,155997,48943,77133,14.16,9918.8,5.0,11.46
1638903086,ENCHANTED_QUARTZ_BLOCK,199508.3,209427.1,13613,155997,48943,77133,14.16,9918.8,5.0,11.46
1638903086,ENCHANTED_QUARTZ_BLOCK,199508.3,209427.1,13613,155997,48943,77133,14.16,9918.8,5.0,11.46
1638903086,ENCHANTED_QUARTZ_BLOCK,199508.3,209427.1,13613,155997,48943,77133,14.16,9918.8,5.0,11.46
1638903086,ENCHANTED_QUARTZ_BLOCK,199508.3,209427.1,13613,155997,48943,77133,14.16,9918.8,5.0,11.46
1638903226,ENCHANTED_QUARTZ_BLOCK,199507.1,209427.1,13612,155938,48945,77192,14.14,9920.0,5.0,11.46
1638903233,ENCHANTED_QUARTZ_BLOCK,199507.1,209427.1,13612,155938,48945,77192,14.14,9920.0,5.0,11.46
1638903240,ENCHANTED_QUARTZ_BLOCK,199507.1,209427.1,13612,155938,48945,77192,14.14,9920.0,5.0,11.46
1638903248,ENCHANTED_QUARTZ_BLOCK,199507.1,209427.1,13612,155938,48945,77192,14.14,9920.0,5.0,11.46
1638903855,ENCHANTED_QUARTZ_BLOCK,152972.3,209426.8,13693,152479,48751,77816,13.72,56454.5,36.9,11.14
1638904100,ENCHANTED_QUARTZ_BLOCK,152972.9,209426.6,13694,152892,48759,77818,13.75,56453.7,36.9,11.16
1638904100,ENCHANTED_QUARTZ_BLOCK,152972.9,209426.6,13694,152892,48759,77818,13.75,56453.7,36.9,11.16
1638904100,ENCHANTED_QUARTZ_BLOCK,152972.9,209426.6,13694,152892,48759,77818,13.75,56453.7,36.9,11.16
1638904189,ENCHANTED_QUARTZ_BLOCK,152973.1,209426.5,13694,153033,48759,77837,13.76,56453.4,36.9,11.18
1638904196,ENCHANTED_QUARTZ_BLOCK,152973.1,209426.5,13694,153033,48759,77837,13.76,56453.4,36.9,11.18
1638905497,ENCHANTED_QUARTZ_BLOCK,152975.4,203780.5,13874,153511,48674,77745,13.82,50805.1,33.2,11.06
1638905504,ENCHANTED_QUARTZ_BLOCK,152975.4,203780.5,13874,153511,48674,77745,13.82,50805.1,33.2,11.06
