UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_RABBIT_FOOT,2195.6,2633.5,213867,193221,590658,487303,2.78,437.9,19.9,-1.11
1638903006,ENCHANTED_RABBIT_FOOT,2195.6,2633.4,215900,193215,590658,487309,2.78,437.8,19.9,-1.12
1638903006,ENCHANTED_RABBIT_FOOT,2195.6,2633.4,215900,193215,590658,487309,2.78,437.8,19.9,-1.12
1638903057,ENCHANTED_RABBIT_FOOT,2195.6,2633.4,215900,193214,590658,487310,2.78,437.8,19.9,-1.12
1638903086,ENCHANTED_RABBIT_FOOT,2195.6,2633.4,215900,193050,590658,487474,2.77,437.8,19.9,-1.12
1638903086,ENCHANTED_RABBIT_FOOT,2195.6,2633.4,215900,193050,590658,487474,2.77,437.8,19.9,-1.12
1638903086,ENCHANTED_RABBIT_FOOT,2195.6,2633.4,215900,193050,590658,487474,2.77,437.8,19.9,-1.12
1638903086,ENCHANTED_RABBIT_FOOT,2195.6,2633.4,215900,193050,590658,487474,2.77,437.8,19.9,-1.12
1638903226,ENCHANTED_RABBIT_FOOT,2195.6,2633.3,216203,191544,590658,487480,2.75,437.7,19.9,-1.13
1638903233,ENCHANTED_RABBIT_FOOT,2195.6,2633.3,216203,191544,590658,487480,2.75,437.7,19.9,-1.13
1638903240,ENCHANTED_RABBIT_FOOT,2195.6,2633.3,216203,191544,590658,487480,2.75,437.7,19.9,-1.13
1638903248,ENCHANTED_RABBIT_FOOT,2195.6,2633.3,216203,191544,590658,487480,2.75,437.7,19.9,-1.13
1638903855,ENCHANTED_RABBIT_FOOT,2217.7,2633.4,214769,191594,592258,487994,2.75,415.7,18.7,-1.12
1638904100,ENCHANTED_RABBIT_FOOT,2195.7,2633.3,215326,191557,592259,488031,2.75,437.6,19.9,-1.12
1638904100,ENCHANTED_RABBIT_FOOT,2195.7,2633.3,215326,191557,592259,488031,2.75,437.6,19.9,-1.12
1638904100,ENCHANTED_RABBIT_FOOT,2195.7,2633.3,215326,191557,592259,488031,2.75,437.6,19.9,-1.12
1638904189,ENCHANTED_RABBIT_FOOT,2195.7,2633.3,215326,191557,592259,488031,2.75,437.6,19.9,-1.12
1638904196,ENCHANTED_RABBIT_FOOT,2195.7,2633.3,215326,191557,592259,488031,2.75,437.6,19.9,-1.12
1638905497,ENCHANTED_RABBIT_FOOT,2195.7,2632.4,216814,191914,592516,488348,2.75,436.7,19.9,-1.13
1638905504,ENCHANTED_RABBIT_FOOT,2195.7,2632.4,216814,191914,592516,488348,2.75,436.7,19.9,-1.13
1638906506,ENCHANTED_RABBIT_FOOT,2196.1,2632.3,216882,194389,593093,488753,2.78,436.2,19.9,-1.12
