UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_RAW_BEEF,617.8,647.5,158659,1193493,1717207,2858140,2.92,29.7,4.8,7.52
1638903006,ENCHANTED_RAW_BEEF,617.8,647.5,158659,1193455,1717207,2858178,2.92,29.7,4.8,7.52
1638903006,ENCHANTED_RAW_BEEF,617.8,647.5,158659,1193455,1717207,2858178,2.92,29.7,4.8,7.52
1638903057,ENCHANTED_RAW_BEEF,617.8,647.5,158659,1193455,1717207,2858178,2.92,29.7,4.8,7.52
1638903086,ENCHANTED_RAW_BEEF,617.8,647.5,158659,1193455,1717207,2858178,2.92,29.7,4.8,7.52
1638903086,ENCHANTED_RAW_BEEF,617.8,647.5,158659,1193455,1717207,2858178,2.92,29.7,4.8,7.52
1638903086,ENCHANTED_RAW_BEEF,617.8,647.5,158659,1193455,1717207,2858178,2.92,29.7,4.8,7.52
1638903086,ENCHANTED_RAW_BEEF,617.8,647.5,158659,1193455,1717207,2858178,2.92,29.7,4.8,7.52
1638903226,ENCHANTED_RAW_BEEF,617.8,647.6,159509,1193370,1717687,2858263,2.92,29.8,4.8,7.48
1638903233,ENCHANTED_RAW_BEEF,617.8,647.6,159509,1193370,1717687,2858263,2.92,29.8,4.8,7.48
1638903240,ENCHANTED_RAW_BEEF,617.9,647.6,159509,1193370,1717687,2858263,2.92,29.7,4.8,7.48
1638903248,ENCHANTED_RAW_BEEF,617.9,647.6,159509,1193370,1717687,2858263,2.92,29.7,4.8,7.48
1638903855,ENCHANTED_RAW_BEEF,617.8,647.6,158997,1191523,1718199,2861134,2.92,29.8,4.8,7.49
1638904100,ENCHANTED_RAW_BEEF,617.8,647.6,158469,1191149,1718727,2861508,2.91,29.8,4.8,7.52
1638904100,ENCHANTED_RAW_BEEF,617.8,647.6,158469,1191149,1718727,2861508,2.91,29.8,4.8,7.52
1638904100,ENCHANTED_RAW_BEEF,617.8,647.6,158469,1191149,1718727,2861508,2.91,29.8,4.8,7.52
1638904189,ENCHANTED_RAW_BEEF,618.0,647.5,158488,1214647,1718727,2861510,2.97,29.5,4.8,7.66
1638904196,ENCHANTED_RAW_BEEF,618.0,647.5,158488,1214647,1718727,2861510,2.97,29.5,4.8,7.66
1638905497,ENCHANTED_RAW_BEEF,618.0,650.0,148933,1307550,1726317,2868735,3.19,32.0,5.2,8.78
1638905504,ENCHANTED_RAW_BEEF,618.0,650.0,148933,1307550,1726317,2868735,3.19,32.0,5.2,8.78
1638906506,ENCHANTED_RAW_BEEF,618.0,650.0,124541,1304251,1728429,2872034,3.18,32.0,5.2,10.47
1638906538,ENCHANTED_RAW_BEEF,618.1,650.0,124541,1305255,1728429,2872054,3.18,31.9,5.2,10.48
1638906598,ENCHANTED_RAW_BEEF,618.1,650.0,124541,1305249,1728429,2872060,3.18,31.9,5.2,10.48
1638906612,ENCHANTED_RAW_BEEF,618.1,650.0,124541,1305249,1728429,2872060,3.18,31.9,5.2,10.48
1638906620,ENCHANTED_RAW_BEEF,618.1,650.0,124541,1305249,1728429,2872060,3.18,31.9,5.2,10.48
1638906646,ENCHANTED_RAW_BEEF,618.1,650.0,124541,1305249,1728429,2872060,3.18,31.9,5.2,10.48
1638906653,ENCHANTED_RAW_BEEF,618.1,650.0,124541,1305255,1728429,2872060,3.18,31.9,5.2,10.48
1638906660,ENCHANTED_RAW_BEEF,618.1,650.0,124541,1305255,1728429,2872060,3.18,31.9,5.2,10.48
1638906889,ENCHANTED_RAW_BEEF,618.2,650.0,124541,1304671,1728429,2872804,3.18,31.8,5.1,10.48
1638906898,ENCHANTED_RAW_BEEF,618.1,650.0,124541,1304664,1728429,2872811,3.18,31.9,5.2,10.48
1638906939,ENCHANTED_RAW_BEEF,618.1,649.9,124701,1304397,1728429,2873078,3.18,31.8,5.1,10.46
1638906980,ENCHANTED_RAW_BEEF,618.1,646.7,125090,1304395,1728429,2873080,3.18,28.6,4.6,10.43
1638907080,ENCHANTED_RAW_BEEF,618.0,649.9,124066,1304199,1729453,2873272,3.18,31.9,5.2,10.51
1638907129,ENCHANTED_RAW_BEEF,618.0,649.9,124196,1304155,1729453,2873316,3.18,31.9,5.2,10.5
1638907209,ENCHANTED_RAW_BEEF,618.0,649.9,124196,1304155,1729453,2873316,3.18,31.9,5.2,10.5
1638907229,ENCHANTED_RAW_BEEF,618.1,649.9,124196,1304838,1729453,2873657,3.18,31.8,5.1,10.51
1638907265,ENCHANTED_RAW_BEEF,618.1,649.9,124196,1304794,1729453,2873701,3.18,31.8,5.1,10.51
1638907280,ENCHANTED_RAW_BEEF,618.1,649.9,124196,1304794,1729453,2873701,3.18,31.8,5.1,10.51
1638907311,ENCHANTED_RAW_BEEF,618.1,650.0,123492,1304794,1730157,2873701,3.18,31.9,5.2,10.57
1638907322,ENCHANTED_RAW_BEEF,618.1,650.0,123140,1304794,1730509,2873701,3.18,31.9,5.2,10.6
1638907346,ENCHANTED_RAW_BEEF,618.1,649.9,123140,1304495,1730509,2874000,3.18,31.8,5.1,10.59
1638907359,ENCHANTED_RAW_BEEF,618.1,649.9,123140,1304495,1730509,2874000,3.18,31.8,5.1,10.59
1638907396,ENCHANTED_RAW_BEEF,618.1,649.8,123153,1304491,1730509,2874004,3.18,31.7,5.1,10.59
1638907404,ENCHANTED_RAW_BEEF,618.1,649.8,123153,1304491,1730509,2874004,3.18,31.7,5.1,10.59
1638907415,ENCHANTED_RAW_BEEF,618.1,649.8,123185,1304491,1730509,2874004,3.18,31.7,5.1,10.59
1638907521,ENCHANTED_RAW_BEEF,618.1,649.7,124348,1304220,1730509,2874275,3.18,31.6,5.1,10.49
1638907532,ENCHANTED_RAW_BEEF,618.1,649.7,124348,1304220,1730509,2874275,3.18,31.6,5.1,10.49
1638907545,ENCHANTED_RAW_BEEF,618.1,649.7,124348,1304220,1730509,2874275,3.18,31.6,5.1,10.49
1638907557,ENCHANTED_RAW_BEEF,618.1,649.7,124252,1304220,1730605,2874275,3.18,31.6,5.1,10.5
1638907570,ENCHANTED_RAW_BEEF,618.1,649.7,124252,1304211,1730605,2874284,3.18,31.6,5.1,10.5
1638907607,ENCHANTED_RAW_BEEF,618.1,649.7,124124,1304185,1730733,2874310,3.18,31.6,5.1,10.51
1638907625,ENCHANTED_RAW_BEEF,618.1,649.7,125063,1304176,1730733,2874319,3.18,31.6,5.1,10.43
1638907672,ENCHANTED_RAW_BEEF,618.0,649.7,125063,1303845,1730733,2874650,3.17,31.7,5.1,10.43
