UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_RAW_FISH,2779.9,2863.8,645464,185487,3482970,4166398,0.31,83.9,3.0,-3.48
1638903006,ENCHANTED_RAW_FISH,2779.9,2863.7,618231,185181,3483226,4166704,0.31,83.8,3.0,-3.34
1638903006,ENCHANTED_RAW_FISH,2779.9,2863.7,618231,185181,3483226,4166704,0.31,83.8,3.0,-3.34
1638903057,ENCHANTED_RAW_FISH,2779.9,2863.7,618231,185095,3483226,4166790,0.31,83.8,3.0,-3.34
1638903086,ENCHANTED_RAW_FISH,2779.9,2863.7,618231,184681,3483226,4167204,0.31,83.8,3.0,-3.35
1638903086,ENCHANTED_RAW_FISH,2779.9,2863.7,618231,184681,3483226,4167204,0.31,83.8,3.0,-3.35
1638903086,ENCHANTED_RAW_FISH,2779.9,2863.7,618231,184681,3483226,4167204,0.31,83.8,3.0,-3.35
1638903086,ENCHANTED_RAW_FISH,2779.9,2863.7,618231,184681,3483226,4167204,0.31,83.8,3.0,-3.35
1638903226,ENCHANTED_RAW_FISH,2780.3,2863.7,618103,187910,3483354,4167623,0.32,83.4,3.0,-3.29
1638903233,ENCHANTED_RAW_FISH,2780.3,2863.7,618103,187910,3483354,4167623,0.32,83.4,3.0,-3.29
1638903240,ENCHANTED_RAW_FISH,2780.3,2863.7,618103,187931,3483354,4167666,0.32,83.4,3.0,-3.29
1638903248,ENCHANTED_RAW_FISH,2780.3,2863.7,618103,187931,3483354,4167666,0.32,83.4,3.0,-3.29
1638903855,ENCHANTED_RAW_FISH,2789.1,2941.9,606523,196346,3486600,4170030,0.33,152.8,5.5,-3.09
1638904100,ENCHANTED_RAW_FISH,2788.7,2941.9,606207,192894,3487164,4170900,0.32,153.2,5.5,-3.14
1638904100,ENCHANTED_RAW_FISH,2788.7,2941.9,606207,192894,3487164,4170900,0.32,153.2,5.5,-3.14
1638904100,ENCHANTED_RAW_FISH,2788.7,2941.9,606207,192894,3487164,4170900,0.32,153.2,5.5,-3.14
1638904189,ENCHANTED_RAW_FISH,2788.8,2941.8,606232,192691,3487172,4171263,0.32,153.0,5.5,-3.15
1638904196,ENCHANTED_RAW_FISH,2788.8,2941.8,606232,192691,3487172,4171263,0.32,153.0,5.5,-3.15
1638905497,ENCHANTED_RAW_FISH,2630.7,2937.9,651181,173440,3502429,4193095,0.29,307.2,11.7,-3.75
1638905504,ENCHANTED_RAW_FISH,2630.7,2937.9,651181,173440,3502429,4193095,0.29,307.2,11.700000000000001,-3.75
