UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_REDSTONE,238.3,268.5,519398,606711,6925617,10035604,0.42,30.2,12.7,1.17
1638903006,ENCHANTED_REDSTONE,238.3,269.5,516676,605641,6928402,10036674,0.42,31.2,13.1,1.17
1638903006,ENCHANTED_REDSTONE,238.3,269.5,516676,605641,6928402,10036674,0.42,31.2,13.1,1.17
1638903057,ENCHANTED_REDSTONE,238.4,269.4,516154,593630,6928934,10036929,0.41,31.0,13.0,1.15
1638903086,ENCHANTED_REDSTONE,238.4,269.4,516246,593331,6929002,10037229,0.41,31.0,13.0,1.15
1638903086,ENCHANTED_REDSTONE,238.4,269.4,516246,593331,6929002,10037229,0.41,31.0,13.0,1.15
1638903086,ENCHANTED_REDSTONE,238.4,269.4,516246,593331,6929002,10037229,0.41,31.0,13.0,1.15
1638903086,ENCHANTED_REDSTONE,238.4,269.4,516246,593331,6929002,10037229,0.41,31.0,13.0,1.15
1638903226,ENCHANTED_REDSTONE,238.5,268.7,523143,670690,6929517,10039880,0.47,30.2,12.7,1.28
1638903233,ENCHANTED_REDSTONE,238.5,268.7,523143,670690,6929517,10039880,0.47,30.2,12.7,1.28
1638903240,ENCHANTED_REDSTONE,238.5,268.7,523143,670550,6929517,10040020,0.47,30.2,12.7,1.28
1638903248,ENCHANTED_REDSTONE,238.5,268.7,523143,670550,6929517,10040020,0.47,30.2,12.7,1.28
1638903855,ENCHANTED_REDSTONE,238.6,268.7,517819,665012,6853582,9934775,0.47,30.1,12.6,1.28
1638904100,ENCHANTED_REDSTONE,238.5,268.1,523886,661510,6854326,9938305,0.47,29.6,12.4,1.26
1638904100,ENCHANTED_REDSTONE,238.5,268.1,523886,661510,6854326,9938305,0.47,29.6,12.4,1.26
1638904100,ENCHANTED_REDSTONE,238.5,268.1,523886,661510,6854326,9938305,0.47,29.6,12.4,1.26
1638904189,ENCHANTED_REDSTONE,238.5,268.1,523964,660364,6855133,9939452,0.47,29.6,12.4,1.26
1638904196,ENCHANTED_REDSTONE,238.5,268.1,523964,660364,6855133,9939452,0.47,29.6,12.4,1.26
1638905497,ENCHANTED_REDSTONE,238.5,267.9,535289,595913,6832135,9922404,0.42,29.4,12.3,1.11
1638905504,ENCHANTED_REDSTONE,238.5,267.9,535289,595913,6832135,9922404,0.42,29.4,12.3,1.11
