UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_RED_MUSHROOM,2606.0,3086.3,64624,696296,601669,551531,8.84,480.3,18.4,10.77
1638903006,ENCHANTED_RED_MUSHROOM,2606.1,3086.2,65054,696987,601669,551585,8.85,480.1,18.4,10.71
1638903006,ENCHANTED_RED_MUSHROOM,2606.1,3086.2,65054,696987,601669,551585,8.85,480.1,18.4,10.71
1638903057,ENCHANTED_RED_MUSHROOM,2606.1,3086.2,64934,696987,601789,551585,8.85,480.1,18.4,10.73
1638903086,ENCHANTED_RED_MUSHROOM,2606.1,3086.2,64870,696973,601853,551599,8.84,480.1,18.4,10.74
1638903086,ENCHANTED_RED_MUSHROOM,2606.1,3086.2,64870,696973,601853,551599,8.84,480.1,18.4,10.74
1638903086,ENCHANTED_RED_MUSHROOM,2606.1,3086.2,64870,696973,601853,551599,8.84,480.1,18.4,10.74
1638903086,ENCHANTED_RED_MUSHROOM,2606.1,3086.2,64870,696973,601853,551599,8.84,480.1,18.4,10.74
1638903226,ENCHANTED_RED_MUSHROOM,2606.1,3086.1,64852,696398,601918,552174,8.83,480.0,18.4,10.74
1638903233,ENCHANTED_RED_MUSHROOM,2606.1,3086.1,64852,696398,601918,552174,8.83,480.0,18.4,10.74
1638903240,ENCHANTED_RED_MUSHROOM,2606.1,3086.1,64852,696398,601918,552174,8.83,480.0,18.4,10.74
1638903248,ENCHANTED_RED_MUSHROOM,2606.1,3086.1,64852,696398,601918,552174,8.83,480.0,18.4,10.74
1638903855,ENCHANTED_RED_MUSHROOM,2605.9,3086.2,64841,695741,602628,552831,8.81,480.3,18.4,10.73
1638904100,ENCHANTED_RED_MUSHROOM,2606.0,3086.1,65567,695741,602628,552831,8.81,480.1,18.4,10.61
1638904100,ENCHANTED_RED_MUSHROOM,2606.0,3086.1,65567,695741,602628,552831,8.81,480.1,18.4,10.61
1638904100,ENCHANTED_RED_MUSHROOM,2606.0,3086.1,65567,695741,602628,552831,8.81,480.1,18.4,10.61
1638904189,ENCHANTED_RED_MUSHROOM,2605.9,3086.1,65570,695741,602628,552961,8.81,480.2,18.4,10.61
1638904196,ENCHANTED_RED_MUSHROOM,2605.9,3086.1,65570,695741,602628,552961,8.81,480.2,18.4,10.61
1638905497,ENCHANTED_RED_MUSHROOM,2606.2,3086.2,64478,696139,603302,553759,8.8,480.0,18.4,10.8
1638905504,ENCHANTED_RED_MUSHROOM,2606.2,3086.2,64478,696139,603302,553759,8.8,480.0,18.4,10.8
