UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_SEEDS,66.4,79.6,94651,443231,433669,2029452,1.53,13.2,19.9,4.68
1638903006,ENCHANTED_SEEDS,66.4,79.6,94651,443167,433669,2029516,1.53,13.2,19.9,4.68
1638903006,ENCHANTED_SEEDS,66.4,79.6,94651,443167,433669,2029516,1.53,13.2,19.9,4.68
1638903057,ENCHANTED_SEEDS,66.4,79.6,94651,443167,433669,2029516,1.53,13.2,19.9,4.68
1638903086,ENCHANTED_SEEDS,66.4,79.6,94651,443159,433669,2029524,1.53,13.2,19.9,4.68
1638903086,ENCHANTED_SEEDS,66.4,79.6,94651,443159,433669,2029524,1.53,13.2,19.9,4.68
1638903086,ENCHANTED_SEEDS,66.4,79.6,94651,443159,433669,2029524,1.53,13.2,19.9,4.68
1638903086,ENCHANTED_SEEDS,66.4,79.6,94651,443159,433669,2029524,1.53,13.2,19.9,4.68
1638903226,ENCHANTED_SEEDS,66.4,79.5,95150,442966,433669,2029717,1.53,13.1,19.7,4.66
1638903233,ENCHANTED_SEEDS,66.4,79.5,95150,442966,433669,2029717,1.53,13.1,19.7,4.66
1638903240,ENCHANTED_SEEDS,66.4,79.5,95150,442960,433669,2029723,1.53,13.1,19.7,4.66
1638903248,ENCHANTED_SEEDS,66.4,79.5,95150,442960,433669,2029723,1.53,13.1,19.7,4.66
1638903855,ENCHANTED_SEEDS,66.3,79.4,95213,434932,433670,2037751,1.49,13.1,19.8,4.57
1638904100,ENCHANTED_SEEDS,66.3,79.4,95212,434020,433671,2038663,1.49,13.1,19.8,4.56
1638904100,ENCHANTED_SEEDS,66.3,79.4,95212,434020,433671,2038663,1.49,13.1,19.8,4.56
1638904100,ENCHANTED_SEEDS,66.3,79.4,95212,434020,433671,2038663,1.49,13.1,19.8,4.56
1638904189,ENCHANTED_SEEDS,66.3,79.4,95212,433789,433671,2038894,1.49,13.1,19.8,4.56
1638904196,ENCHANTED_SEEDS,66.3,79.4,95212,433789,433671,2038894,1.49,13.1,19.8,4.56
1638905497,ENCHANTED_SEEDS,66.4,79.5,94431,435937,434761,2047706,1.49,13.1,19.7,4.62
1638905504,ENCHANTED_SEEDS,66.4,79.5,94431,435937,434761,2047706,1.49,13.1,19.7,4.62
1638906506,ENCHANTED_SEEDS,66.4,69.9,94330,435338,432837,2037463,1.5,3.5,5.3,4.62
1638906538,ENCHANTED_SEEDS,66.4,69.8,94330,435289,432837,2037512,1.5,3.4,5.1,4.61
1638906598,ENCHANTED_SEEDS,66.4,69.7,94409,435231,432837,2037570,1.5,3.3,5.0,4.61
1638906612,ENCHANTED_SEEDS,66.4,69.8,94409,435231,432837,2037570,1.5,3.4,5.1,4.61
1638906620,ENCHANTED_SEEDS,66.4,69.8,94409,435231,432837,2037570,1.5,3.4,5.1,4.61
1638906646,ENCHANTED_SEEDS,66.4,69.8,94407,435209,432839,2037592,1.5,3.4,5.1,4.61
1638906653,ENCHANTED_SEEDS,67.0,69.8,94407,434889,432839,2037912,1.49,2.8,4.2,4.61
1638906660,ENCHANTED_SEEDS,67.0,69.8,94407,454889,432839,2037912,1.56,2.8,4.2,4.82
1638906889,ENCHANTED_SEEDS,67.0,69.8,94535,450467,432839,2042334,1.54,2.8,4.2,4.77
1638906898,ENCHANTED_SEEDS,67.0,69.8,94535,450467,432839,2042334,1.54,2.8,4.2,4.77
1638906939,ENCHANTED_SEEDS,67.0,69.8,94535,449901,432839,2042900,1.54,2.8,4.2,4.76
1638906980,ENCHANTED_SEEDS,67.0,69.8,94535,449368,432839,2043433,1.54,2.8,4.2,4.75
1638907080,ENCHANTED_SEEDS,67.0,69.8,94535,448280,432839,2044521,1.53,2.8,4.2,4.74
1638907129,ENCHANTED_SEEDS,66.4,69.8,94534,434848,432840,2044626,1.49,3.4,5.1,4.6
1638907209,ENCHANTED_SEEDS,66.4,69.8,94533,434842,432841,2044632,1.49,3.4,5.1,4.6
1638907229,ENCHANTED_SEEDS,66.4,69.8,94533,434821,432841,2044653,1.49,3.4,5.1,4.6
1638907265,ENCHANTED_SEEDS,66.4,69.8,94533,434821,432841,2044653,1.49,3.4,5.1,4.6
1638907280,ENCHANTED_SEEDS,66.4,69.8,94533,434821,432841,2044653,1.49,3.4,5.1,4.6
1638907311,ENCHANTED_SEEDS,66.4,69.8,94541,434802,432841,2044672,1.49,3.4,5.1,4.6
1638907322,ENCHANTED_SEEDS,66.4,69.8,94541,434767,432841,2044707,1.49,3.4,5.1,4.6
1638907346,ENCHANTED_SEEDS,66.4,69.8,94541,434695,432841,2044779,1.49,3.4,5.1,4.6
1638907359,ENCHANTED_SEEDS,66.4,69.8,94541,434695,432841,2044779,1.49,3.4,5.1,4.6
1638907396,ENCHANTED_SEEDS,66.4,69.8,94541,409008,432841,2046031,1.4,3.4,5.1,4.33
1638907404,ENCHANTED_SEEDS,66.4,69.8,94541,409008,432841,2046031,1.4,3.4,5.1,4.33
1638907415,ENCHANTED_SEEDS,66.4,69.8,94541,409008,432841,2046031,1.4,3.4,5.1,4.33
1638907521,ENCHANTED_SEEDS,66.4,69.8,94541,408810,432841,2046229,1.4,3.4,5.1,4.32
1638907532,ENCHANTED_SEEDS,66.4,69.8,94541,408810,432841,2046229,1.4,3.4,5.1,4.32
1638907545,ENCHANTED_SEEDS,66.4,69.8,94541,408810,432841,2046229,1.4,3.4,5.1,4.32
1638907557,ENCHANTED_SEEDS,66.4,69.8,94541,408808,432841,2046231,1.4,3.4,5.1,4.32
1638907570,ENCHANTED_SEEDS,66.4,69.8,94541,408808,432841,2046231,1.4,3.4,5.1,4.32
1638907607,ENCHANTED_SEEDS,66.4,69.8,94541,408786,432841,2046253,1.4,3.4,5.1,4.32
1638907625,ENCHANTED_SEEDS,66.4,69.8,94541,408786,432841,2046253,1.4,3.4,5.1,4.32
1638907672,ENCHANTED_SEEDS,66.4,69.8,94541,408737,432841,2046302,1.4,3.4,5.1,4.32
