UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_SPIDER_EYE,1161.0,1230.5,311562,437645,1907417,5240766,0.58,69.5,6.0,1.4
1638903006,ENCHANTED_SPIDER_EYE,1161.0,1230.5,311529,437264,1907450,5241147,0.58,69.5,6.0,1.4
1638903006,ENCHANTED_SPIDER_EYE,1161.0,1230.5,311529,437264,1907450,5241147,0.58,69.5,6.0,1.4
1638903057,ENCHANTED_SPIDER_EYE,1161.0,1230.5,311529,437264,1907450,5241147,0.58,69.5,6.0,1.4
1638903086,ENCHANTED_SPIDER_EYE,1161.0,1223.5,311519,436715,1907460,5241696,0.58,62.5,5.4,1.4
1638903086,ENCHANTED_SPIDER_EYE,1161.0,1223.5,311519,436715,1907460,5241696,0.58,62.5,5.4,1.4
1638903086,ENCHANTED_SPIDER_EYE,1161.0,1223.5,311519,436715,1907460,5241696,0.58,62.5,5.4,1.4
1638903086,ENCHANTED_SPIDER_EYE,1161.0,1223.5,311519,436715,1907460,5241696,0.58,62.5,5.4,1.4
1638903226,ENCHANTED_SPIDER_EYE,1160.5,1223.5,311643,427263,1907460,5251148,0.57,63.0,5.4,1.37
1638903233,ENCHANTED_SPIDER_EYE,1160.5,1223.5,311643,427263,1907460,5251148,0.57,63.0,5.4,1.37
1638903240,ENCHANTED_SPIDER_EYE,1160.5,1223.5,311643,426985,1907460,5251426,0.57,63.0,5.4,1.37
1638903248,ENCHANTED_SPIDER_EYE,1160.5,1223.5,311643,426985,1907460,5251426,0.57,63.0,5.4,1.37
1638903855,ENCHANTED_SPIDER_EYE,1160.5,1211.2,311470,422925,1907596,5255490,0.56,50.7,4.4,1.36
1638904100,ENCHANTED_SPIDER_EYE,1160.5,1211.1,311178,422623,1907788,5255792,0.56,50.6,4.4,1.36
1638904100,ENCHANTED_SPIDER_EYE,1160.5,1211.1,311178,422623,1907788,5255792,0.56,50.6,4.4,1.36
1638904100,ENCHANTED_SPIDER_EYE,1160.5,1211.1,311178,422623,1907788,5255792,0.56,50.6,4.4,1.36
1638904189,ENCHANTED_SPIDER_EYE,1160.5,1211.1,311178,422231,1907788,5256184,0.56,50.6,4.4,1.36
1638904196,ENCHANTED_SPIDER_EYE,1160.5,1211.1,311178,422231,1907788,5256184,0.56,50.6,4.4,1.36
1638905497,ENCHANTED_SPIDER_EYE,1160.6,1247.8,294958,430039,1918393,5263765,0.57,87.2,7.5,1.46
1638905504,ENCHANTED_SPIDER_EYE,1160.6,1247.8,294958,430039,1918393,5263765,0.57,87.2,7.5,1.46
1638906506,ENCHANTED_SPIDER_EYE,1160.7,1246.9,298143,434985,1919066,5269587,0.58,86.2,7.399999999999999,1.46
1638906538,ENCHANTED_SPIDER_EYE,1160.7,1246.9,298143,434833,1919066,5269739,0.58,86.2,7.399999999999999,1.46
1638906598,ENCHANTED_SPIDER_EYE,1160.7,1246.9,298143,434824,1919066,5269748,0.58,86.2,7.399999999999999,1.46
1638906612,ENCHANTED_SPIDER_EYE,1160.7,1246.8,298143,434824,1919066,5269748,0.58,86.1,7.399999999999999,1.46
1638906620,ENCHANTED_SPIDER_EYE,1160.7,1246.8,298143,434824,1919066,5269748,0.58,86.1,7.399999999999999,1.46
1638906646,ENCHANTED_SPIDER_EYE,1160.7,1246.7,298726,434824,1919066,5269748,0.58,86.0,7.399999999999999,1.46
1638906653,ENCHANTED_SPIDER_EYE,1160.7,1246.7,298726,434824,1919066,5269748,0.58,86.0,7.399999999999999,1.46
1638906660,ENCHANTED_SPIDER_EYE,1160.7,1246.7,298726,434692,1919066,5269880,0.58,86.0,7.399999999999999,1.46
1638906889,ENCHANTED_SPIDER_EYE,1160.8,1246.2,302824,434964,1919066,5270568,0.58,85.4,7.399999999999999,1.44
1638906898,ENCHANTED_SPIDER_EYE,1160.8,1246.2,302833,434932,1919066,5270600,0.58,85.4,7.399999999999999,1.44
