UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_STRING,1150.1,1166.9,367969,1035415,3943999,11493455,0.63,16.8,1.5,2.81
1638903006,ENCHANTED_STRING,1150.2,1167.0,366736,1036300,3947392,11494070,0.63,16.8,1.5,2.83
1638903006,ENCHANTED_STRING,1150.2,1167.0,366736,1036300,3947392,11494070,0.63,16.8,1.5,2.83
1638903057,ENCHANTED_STRING,1150.2,1165.3,369744,1035415,3947648,11494070,0.63,15.1,1.3,2.8
1638903086,ENCHANTED_STRING,1150.3,1163.8,369424,1035289,3947968,11495196,0.63,13.5,1.2,2.8
1638903086,ENCHANTED_STRING,1150.3,1163.8,369424,1035289,3947968,11495196,0.63,13.5,1.2,2.8
1638903086,ENCHANTED_STRING,1150.3,1163.8,369424,1035289,3947968,11495196,0.63,13.5,1.2,2.8
1638903086,ENCHANTED_STRING,1150.3,1163.8,369424,1035289,3947968,11495196,0.63,13.5,1.2,2.8
1638903226,ENCHANTED_STRING,1120.0,1169.0,364814,1012094,3952879,11517714,0.62,49.0,4.4,2.77
1638903233,ENCHANTED_STRING,1120.0,1169.0,364814,1012094,3952879,11517714,0.62,49.0,4.4,2.77
1638903240,ENCHANTED_STRING,1120.1,1169.0,364814,1011820,3952879,11518436,0.61,48.9,4.4,2.77
1638903248,ENCHANTED_STRING,1120.1,1169.0,364814,1011820,3952879,11518436,0.61,48.9,4.4,2.77
1638903855,ENCHANTED_STRING,1108.5,1266.1,338513,1002982,3959670,11528356,0.61,157.6,14.2,2.96
1638904100,ENCHANTED_STRING,1110.1,1266.5,336579,1008782,3961889,11529212,0.61,156.4,14.099999999999998,3.0
1638904100,ENCHANTED_STRING,1110.1,1266.5,336579,1008782,3961889,11529212,0.61,156.4,14.099999999999998,3.0
1638904100,ENCHANTED_STRING,1110.1,1266.5,336579,1008782,3961889,11529212,0.61,156.4,14.099999999999998,3.0
1638904189,ENCHANTED_STRING,1110.2,1266.5,336131,1009529,3962801,11530001,0.61,156.3,14.099999999999998,3.0
1638904196,ENCHANTED_STRING,1110.2,1266.5,336131,1009529,3962801,11530001,0.61,156.3,14.099999999999998,3.0
1638905497,ENCHANTED_STRING,1108.6,1267.2,330893,1000663,3970920,11542642,0.61,158.6,14.3,3.02
1638905504,ENCHANTED_STRING,1108.6,1267.2,330893,1000663,3970920,11542642,0.61,158.6,14.299999999999999,3.02
