UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_SUGAR,417.8,461.0,178414,7679383,1572628,6530702,8.23,43.2,10.3,43.04
1638903006,ENCHANTED_SUGAR,417.8,461.0,178413,7679352,1572629,6530989,8.23,43.2,10.3,43.04
1638903006,ENCHANTED_SUGAR,417.8,461.0,178413,7679352,1572629,6530989,8.23,43.2,10.3,43.04
1638903057,ENCHANTED_SUGAR,417.8,461.3,177452,7679352,1573590,6530989,8.23,43.5,10.4,43.28
1638903086,ENCHANTED_SUGAR,417.8,461.3,177420,7679148,1573622,6531193,8.23,43.5,10.4,43.28
1638903086,ENCHANTED_SUGAR,417.8,461.3,177420,7679148,1573622,6531193,8.23,43.5,10.4,43.28
1638903086,ENCHANTED_SUGAR,417.8,461.3,177420,7679148,1573622,6531193,8.23,43.5,10.4,43.28
1638903086,ENCHANTED_SUGAR,417.8,461.3,177420,7679148,1573622,6531193,8.23,43.5,10.4,43.28
1638903226,ENCHANTED_SUGAR,417.9,461.3,177418,7694049,1573624,6531678,8.25,43.4,10.4,43.37
1638903233,ENCHANTED_SUGAR,417.9,461.3,177418,7694049,1573624,6531678,8.25,43.4,10.4,43.37
1638903240,ENCHANTED_SUGAR,417.9,461.3,177418,7693918,1573624,6531809,8.25,43.4,10.4,43.37
1638903248,ENCHANTED_SUGAR,417.9,461.3,177418,7693918,1573624,6531809,8.25,43.4,10.4,43.37
1638903855,ENCHANTED_SUGAR,417.7,461.3,176717,7592326,1573241,6490370,8.19,43.6,10.4,42.96
1638904100,ENCHANTED_SUGAR,417.7,461.3,174909,7591765,1575275,6491957,8.19,43.6,10.4,43.4
1638904100,ENCHANTED_SUGAR,417.7,461.3,174909,7591765,1575275,6491957,8.19,43.6,10.4,43.4
1638904100,ENCHANTED_SUGAR,417.7,461.3,174909,7591765,1575275,6491957,8.19,43.6,10.4,43.4
1638904189,ENCHANTED_SUGAR,417.8,461.2,175198,7611539,1575278,6492279,8.21,43.4,10.4,43.45
1638904196,ENCHANTED_SUGAR,417.8,461.2,175198,7611539,1575278,6492279,8.21,43.4,10.4,43.45
1638905497,ENCHANTED_SUGAR,418.5,461.1,173379,7695234,1578565,6499184,8.29,42.6,10.2,44.38
1638905504,ENCHANTED_SUGAR,418.5,461.1,173379,7695234,1578565,6499184,8.29,42.6,10.2,44.38
1638906506,ENCHANTED_SUGAR,418.3,459.6,177340,7664207,1580749,6532093,8.21,41.3,9.9,43.22
1638906538,ENCHANTED_SUGAR,418.3,459.6,177244,7663986,1580845,6532314,8.21,41.3,9.9,43.24
1638906598,ENCHANTED_SUGAR,418.3,459.6,177243,7663932,1580846,6532553,8.21,41.3,9.9,43.24
1638906612,ENCHANTED_SUGAR,418.5,459.6,177243,7663857,1580846,6532629,8.21,41.1,9.8,43.24
1638906620,ENCHANTED_SUGAR,418.5,459.6,177243,7663857,1580846,6532629,8.21,41.1,9.8,43.24
1638906646,ENCHANTED_SUGAR,418.6,459.6,177243,7665846,1580846,6532640,8.21,41.0,9.8,43.25
1638906653,ENCHANTED_SUGAR,418.6,459.6,177243,7665846,1580846,6532640,8.21,41.0,9.8,43.25
1638906660,ENCHANTED_SUGAR,418.6,459.5,177243,7665846,1580846,6532640,8.21,40.9,9.8,43.25
1638906889,ENCHANTED_SUGAR,419.0,459.4,179148,7844278,1581167,6533449,8.4,40.4,9.6,43.79
1638906898,ENCHANTED_SUGAR,419.0,459.4,179148,7844278,1581167,6533449,8.4,40.4,9.6,43.79
1638906939,ENCHANTED_SUGAR,419.0,459.4,179148,7844080,1581167,6533647,8.4,40.4,9.6,43.79
1638906980,ENCHANTED_SUGAR,419.1,459.3,179116,7875351,1581199,6534376,8.44,40.2,9.6,43.97
1638907080,ENCHANTED_SUGAR,419.2,459.3,180305,7875904,1581199,6534847,8.44,40.1,9.6,43.68
1638907129,ENCHANTED_SUGAR,419.3,459.3,180305,7875598,1581199,6535153,8.44,40.0,9.5,43.68
