UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_TITANIUM,6961.1,8745.7,70414,48762,531520,553921,0.62,1784.6,25.6,-1.44
1638903006,ENCHANTED_TITANIUM,6961.1,8745.7,70398,48751,531536,553932,0.62,1784.6,25.6,-1.44
1638903006,ENCHANTED_TITANIUM,6961.1,8745.7,70398,48751,531536,553932,0.62,1784.6,25.6,-1.44
1638903057,ENCHANTED_TITANIUM,6961.1,8745.7,70398,48750,531536,553933,0.62,1784.6,25.6,-1.44
1638903086,ENCHANTED_TITANIUM,6961.1,8745.6,71005,48750,531536,553933,0.62,1784.5,25.6,-1.46
1638903086,ENCHANTED_TITANIUM,6961.1,8745.6,71005,48750,531536,553933,0.62,1784.5,25.6,-1.46
1638903086,ENCHANTED_TITANIUM,6961.1,8745.6,71005,48750,531536,553933,0.62,1784.5,25.6,-1.46
1638903086,ENCHANTED_TITANIUM,6961.1,8745.6,71005,48750,531536,553933,0.62,1784.5,25.6,-1.46
1638903226,ENCHANTED_TITANIUM,7050.5,8745.4,71022,48929,531600,553962,0.62,1694.9,24.0,-1.45
1638903233,ENCHANTED_TITANIUM,7050.5,8745.4,71022,48929,531600,553962,0.62,1694.9,24.0,-1.45
1638903240,ENCHANTED_TITANIUM,7050.5,8745.3,71610,48929,531600,553962,0.62,1694.8,24.0,-1.46
1638903248,ENCHANTED_TITANIUM,7050.5,8745.3,71610,48929,531600,553962,0.62,1694.8,24.0,-1.46
1638903855,ENCHANTED_TITANIUM,7135.7,8744.8,72043,47676,531840,554140,0.6,1609.1,22.5,-1.51
1638904100,ENCHANTED_TITANIUM,7135.7,8744.8,71607,47672,531893,554144,0.6,1609.1,22.5,-1.5
1638904100,ENCHANTED_TITANIUM,7135.7,8744.8,71607,47672,531893,554144,0.6,1609.1,22.5,-1.5
1638904100,ENCHANTED_TITANIUM,7135.7,8744.8,71607,47672,531893,554144,0.6,1609.1,22.5,-1.5
1638904189,ENCHANTED_TITANIUM,7135.5,8744.7,71608,47537,531941,554247,0.6,1609.2,22.6,-1.51
1638904196,ENCHANTED_TITANIUM,7135.5,8744.7,71608,47537,531941,554247,0.6,1609.2,22.6,-1.51
1638905497,ENCHANTED_TITANIUM,6960.7,8744.8,70317,46852,532904,557823,0.59,1784.1,25.6,-1.5
1638905504,ENCHANTED_TITANIUM,6960.7,8744.8,70317,46852,532904,557823,0.59,1784.1,25.6,-1.5
1638906506,ENCHANTED_TITANIUM,6959.9,7500.0,73504,45398,533917,559928,0.57,540.1,7.8,-1.62
1638906538,ENCHANTED_TITANIUM,6959.9,7499.9,75296,45398,533981,559928,0.57,540.0,7.8,-1.66
1638906598,ENCHANTED_TITANIUM,6959.9,7499.7,75599,45211,534003,560115,0.57,539.8,7.8,-1.67
1638906612,ENCHANTED_TITANIUM,6959.9,7499.6,75599,45211,534003,560115,0.57,539.7,7.8,-1.67
1638906620,ENCHANTED_TITANIUM,6959.9,7499.6,75599,45211,534003,560115,0.57,539.7,7.8,-1.67
1638906646,ENCHANTED_TITANIUM,6959.9,7499.6,75600,45211,534003,560115,0.57,539.7,7.8,-1.67
1638906653,ENCHANTED_TITANIUM,6959.9,7499.6,75600,45170,534003,560156,0.56,539.7,7.8,-1.67
1638906660,ENCHANTED_TITANIUM,6959.9,7499.6,75600,45170,534003,560156,0.56,539.7,7.8,-1.67
1638906889,ENCHANTED_TITANIUM,6959.1,7445.4,75433,43517,534179,562017,0.54,486.3,7.000000000000001,-1.73
1638906898,ENCHANTED_TITANIUM,6855.8,7445.4,75433,43517,534179,562017,0.54,589.6,8.6,-1.73
1638906939,ENCHANTED_TITANIUM,6855.8,8575.8,68820,39035,534339,566499,0.48,1720.0,25.1,-1.76
1638906980,ENCHANTED_TITANIUM,6855.8,8575.8,68820,39023,534339,566511,0.48,1720.0,25.1,-1.76
1638907080,ENCHANTED_TITANIUM,6855.9,8575.8,68756,39026,534403,566732,0.48,1719.9,25.1,-1.76
1638907129,ENCHANTED_TITANIUM,6941.9,8575.8,68756,40361,534403,566741,0.5,1633.9,23.5,-1.7
1638907209,ENCHANTED_TITANIUM,6941.9,8575.8,68756,40352,534403,566747,0.5,1633.9,23.5,-1.7
1638907229,ENCHANTED_TITANIUM,6941.9,8575.7,68756,40350,534403,566749,0.5,1633.8,23.5,-1.7
1638907265,ENCHANTED_TITANIUM,6941.9,8575.7,68767,40350,534403,566749,0.5,1633.8,23.5,-1.7
1638907280,ENCHANTED_TITANIUM,6941.9,8575.7,68767,40350,534403,566749,0.5,1633.8,23.5,-1.7
1638907311,ENCHANTED_TITANIUM,6941.9,8575.8,68751,40350,534419,566749,0.5,1633.9,23.5,-1.7
1638907322,ENCHANTED_TITANIUM,6941.9,8575.8,68751,40350,534419,566749,0.5,1633.9,23.5,-1.7
1638907346,ENCHANTED_TITANIUM,6941.9,8575.7,68815,40350,534419,566749,0.5,1633.8,23.5,-1.71
1638907359,ENCHANTED_TITANIUM,6941.9,8575.7,68815,40350,534419,566749,0.5,1633.8,23.5,-1.71
