UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENDER_PEARL,6.2,8.0,3101507,3309191,14461826,137774799,0.17,1.8,29.0,1.07
1638903006,ENDER_PEARL,6.4,8.0,3100594,3492818,14462739,137785732,0.18,1.6,25.0,1.13
1638903006,ENDER_PEARL,6.4,8.0,3100594,3492818,14462739,137785732,0.18,1.6,25.0,1.13
1638903057,ENDER_PEARL,6.4,7.9,3100502,3470191,14462831,137808423,0.18,1.5,23.4,1.12
1638903086,ENDER_PEARL,6.4,7.9,3100886,3467500,14462831,137811114,0.18,1.5,23.4,1.12
1638903086,ENDER_PEARL,6.4,7.9,3100886,3467500,14462831,137811114,0.18,1.5,23.4,1.12
1638903086,ENDER_PEARL,6.4,7.9,3100886,3467500,14462831,137811114,0.18,1.5,23.4,1.12
1638903086,ENDER_PEARL,6.4,7.9,3100886,3467500,14462831,137811114,0.18,1.5,23.4,1.12
1638903226,ENDER_PEARL,6.6,7.6,3100548,3534386,14463858,137836404,0.18,1.0,15.2,1.14
1638903233,ENDER_PEARL,6.6,7.6,3100548,3534386,14463858,137836404,0.18,1.0,15.2,1.14
1638903240,ENDER_PEARL,6.6,7.6,3100548,3532113,14463858,137838677,0.18,1.0,15.2,1.14
1638903248,ENDER_PEARL,6.6,7.6,3100548,3532113,14463858,137838677,0.18,1.0,15.2,1.14
1638903855,ENDER_PEARL,6.3,8.0,3093211,3333908,14472050,137972573,0.17,1.7,27.0,1.08
1638904100,ENDER_PEARL,6.1,7.9,3093246,3281075,14326251,134329957,0.17,1.8,29.5,1.06
1638904100,ENDER_PEARL,6.1,7.9,3093246,3281075,14326251,134329957,0.17,1.8,29.5,1.06
1638904100,ENDER_PEARL,6.1,7.9,3093246,3281075,14326251,134329957,0.17,1.8,29.5,1.06
1638904189,ENDER_PEARL,6.2,7.9,3091294,3258497,14328251,134352535,0.17,1.7,27.4,1.05
1638904196,ENDER_PEARL,6.2,7.9,3091294,3258497,14328251,134352535,0.17,1.7,27.4,1.05
1638905497,ENDER_PEARL,6.1,7.8,3227719,3036937,14341264,134738545,0.16,1.7,27.9,-1.06
1638905504,ENDER_PEARL,6.1,7.8,3227719,3036937,14341264,134738545,0.16,1.7,27.900000000000002,-1.06
