UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,EXP_BOTTLE,26.6,37.3,426686,400467,1434290,1530470,1.83,10.7,40.2,-1.07
1638903006,EXP_BOTTLE,26.6,37.3,426622,400422,1434354,1530515,1.83,10.7,40.2,-1.07
1638903006,EXP_BOTTLE,26.6,37.3,426622,400422,1434354,1530515,1.83,10.7,40.2,-1.07
1638903057,EXP_BOTTLE,26.6,37.3,426622,400422,1434354,1530515,1.83,10.7,40.2,-1.07
1638903086,EXP_BOTTLE,26.6,37.2,426590,400409,1434386,1530528,1.83,10.6,39.8,-1.07
1638903086,EXP_BOTTLE,26.6,37.2,426590,400409,1434386,1530528,1.83,10.6,39.8,-1.07
1638903086,EXP_BOTTLE,26.6,37.2,426590,400409,1434386,1530528,1.83,10.6,39.8,-1.07
1638903086,EXP_BOTTLE,26.6,37.2,426590,400409,1434386,1530528,1.83,10.6,39.8,-1.07
1638903226,EXP_BOTTLE,26.7,37.6,426115,401320,1434860,1530617,1.84,10.9,40.8,-1.06
1638903233,EXP_BOTTLE,26.7,37.6,426115,401320,1434860,1530617,1.84,10.9,40.8,-1.06
1638903240,EXP_BOTTLE,26.7,37.6,426115,401320,1434860,1530617,1.84,10.9,40.8,-1.06
1638903248,EXP_BOTTLE,26.7,37.6,426115,401320,1434860,1530617,1.84,10.9,40.8,-1.06
1638903855,EXP_BOTTLE,26.6,37.4,427329,398597,1435500,1533404,1.82,10.8,40.6,-1.07
1638904100,EXP_BOTTLE,26.7,37.6,426310,397704,1435636,1534297,1.81,10.9,40.8,-1.07
1638904100,EXP_BOTTLE,26.7,37.6,426310,397704,1435636,1534297,1.81,10.9,40.8,-1.07
1638904100,EXP_BOTTLE,26.7,37.6,426310,397704,1435636,1534297,1.81,10.9,40.8,-1.07
1638904189,EXP_BOTTLE,26.6,37.6,426182,397704,1435764,1534297,1.81,11.0,41.4,-1.07
1638904196,EXP_BOTTLE,26.6,37.6,426182,397704,1435764,1534297,1.81,11.0,41.4,-1.07
1638905497,EXP_BOTTLE,27.4,38.0,421738,405085,1441183,1535829,1.85,10.6,38.7,-1.04
1638905504,EXP_BOTTLE,27.4,38.0,421738,405085,1441183,1535829,1.85,10.6,38.7,-1.04
